business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S S BODYGUARD & SECURITY SERVICE,Security Guard Agency,Security service,Security service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 90733 45216,https://www.facebook.com/share/17xbQnY5Qa/?mibextid=wwXIfr,5.0,,"Hridaypur Station Rd, Barasat, Kolkata, West Bengal 700127",Barasat,22.710711,88.4685094,ChIJ64TyyQmZ-DkRpQjEzPeezTk,https://www.google.com/maps/place/?q=place_id:ChIJ64TyyQmZ-DkRpQjEzPeezTk,part_315,2026-09-20 20:17:29
Job Need Security Service,Security Guard Agency,Security guard service,Security guard service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98368 88969,N/A,4.3,,"Banamalipur Road, Near Barasat Railway Station, Barasat, West Bengal 700124",Barasat,22.725075099999998,88.4856712,ChIJi5xakA6i-DkR8H8WbtuHL8s,https://www.google.com/maps/place/?q=place_id:ChIJi5xakA6i-DkR8H8WbtuHL8s,part_315,2026-09-20 20:17:29
A.B.S Security Agency,Security Guard Agency,Security guard service,Security guard service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,http://www.abssecurityagency365.com/,5.0,,"railway junction, Rash Behari School Road..Manasa Tola, Platform number 5, near Barasat, Barasat, West Bengal 700124",Barasat,22.725082,88.4845781,ChIJmyIVByaj-DkR3fpjpQe5Xu4,https://www.google.com/maps/place/?q=place_id:ChIJmyIVByaj-DkR3fpjpQe5Xu4,part_315,2026-09-20 20:17:29
BENGAL SECURE SECURITY SERVICE PRIVATE LIMITED (B S 3),Security Guard Agency,Security guard service,Security guard service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 96149 77300,http://www.bs3security.com/,4.4,,"3no, Chandigarh Main Road, 12, Dinabandhu Road, Madhyamgram, Kolkata, West Bengal 700130","Harish Nagar, Madhyamgram",22.6980541,88.4559907,ChIJmyXC_B-f-DkRDZIH42F_zhY,https://www.google.com/maps/place/?q=place_id:ChIJmyXC_B-f-DkRDZIH42F_zhY,part_315,2026-09-20 20:17:29
LOTUS SERVICES : man power provider,Security Guard Agency,Security guard service,Security guard service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 78950 64611,https://6458a46aeffba.site123.me/,4.7,,"Bakshi Apartment, CPTA Block, Madhyamgram, Barasat, West Bengal 700127","CPTA Block, Madhyamgram",22.709889699999998,88.4690576,ChIJzwHMPTuZ-DkR8SJ3TVu7iuk,https://www.google.com/maps/place/?q=place_id:ChIJzwHMPTuZ-DkR8SJ3TVu7iuk,part_315,2026-09-20 20:17:29
g c security services,Security Guard Agency,Security guard service,"Security guard service, Security service",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 94372 82062,N/A,4.1,,"116, 10, Sodepur Rd, Basunagar, Madhyamgram, Kolkata, West Bengal 700129","Basunagar, Madhyamgram",22.693417999999998,88.463003,ChIJXd5t_f6f-DkRxeb5dW1UsW0,https://www.google.com/maps/place/?q=place_id:ChIJXd5t_f6f-DkRxeb5dW1UsW0,part_315,2026-09-20 20:17:29
Barrackpore Security Services,Security Guard Agency,Security guard service,Security guard service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98311 08130,N/A,4.2,,"49/1, G.P.Road, opp. Barrackpore Plaza, Lalkuthi, Titagarh, Barrackpore, West Bengal 700123","Lalkuthi, Titagarh",22.7514796,88.3783797,ChIJDQQaYbSb-DkRfrQgXmgjyfY,https://www.google.com/maps/place/?q=place_id:ChIJDQQaYbSb-DkRfrQgXmgjyfY,part_315,2026-09-20 20:17:29
24/7 SECURITY SERVICE,Security Guard Agency,Security service,Security service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,4.3,,"S. B, KC Ghosh Rd, near DAYAMAYEE VILLA, Pansila, Barrackpore, West Bengal 700123",Pansila,22.7568067,88.37157309999999,ChIJwxz-V1ab-DkRmUSZVNsYe7Q,https://www.google.com/maps/place/?q=place_id:ChIJwxz-V1ab-DkRmUSZVNsYe7Q,part_315,2026-09-20 20:17:29
Victor Security Services,Security Guard Agency,Security service,Security service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98313 45532,N/A,3.7,,"326, Basunagar Gate Number 1 Rd, near Loknath Mandir, Post, Madhyamgram, Kolkata, West Bengal 700129","Post, Madhyamgram",22.698230199999998,88.46403819999999,ChIJxR4ZGVaf-DkRMAsgVaUTZMc,https://www.google.com/maps/place/?q=place_id:ChIJxR4ZGVaf-DkRMAsgVaUTZMc,part_315,2026-09-20 20:17:29
S S Security Agency,Security Guard Agency,Security service,Security service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 96747 46461,http://ashutoshchowdhury1.website3.me/,,,"Rabindra pally jagrity sangha maidan, near fire brigade, Palpara, Barasat, Kolkata, West Bengal 700126","Palpara, Barasat",22.7185512,88.47530259999999,ChIJjfM1y6KZ-DkRuxztIG50XNo,https://www.google.com/maps/place/?q=place_id:ChIJjfM1y6KZ-DkRuxztIG50XNo,part_315,2026-09-20 20:17:29
