business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Titan Eye+ at South Barasat, North 24 Parganas (Buy 1 Get 1 Free)",Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Glasses repair service, Optical instrument repair service, Optical Products Manufacturer, Optometrist, Sunglasses store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 75960 80622,https://www.titaneyeplus.com/,4.9,1033.0,"N/13, 3, Jessore Rd, opp. M.P. Jewellers, Barowaritola, Barasat, Kolkata, West Bengal 700124","Barowaritola, Barasat",22.711254999999998,88.47816259999999,ChIJbxRbXqqY-DkRqhIBsCblPJQ,https://www.google.com/maps/place/?q=place_id:ChIJbxRbXqqY-DkRqhIBsCblPJQ,part_315,2026-09-20 20:17:01
Popular Optical,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 62915 56561,http://www.popularoptical.in/,4.7,115.0,"71/C, Jessore Rd, south ), Prashadpur, Barasat, Kolkata, West Bengal 700124","south ), Prashadpur, Barasat",22.714084,88.47510319999999,ChIJXa7mWKmY-DkR_t0oKulNdwg,https://www.google.com/maps/place/?q=place_id:ChIJXa7mWKmY-DkR_t0oKulNdwg,part_315,2026-09-20 20:17:01
Spectiize ®,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Supplier, Doctor, Eye care center, Medical Center, Optical Products Manufacturer, Optometrist, Repair service, Sunglasses store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 94330 13320,https://spectiize.com/,4.9,243.0,"Bhadrabari More , Nabapally, near Oikatan Math, Barasat, West Bengal 700126",Barasat,22.724346,88.467117,ChIJIwRgnEOZ-DkRVT3tBTH-akQ,https://www.google.com/maps/place/?q=place_id:ChIJIwRgnEOZ-DkRVT3tBTH-akQ,part_315,2026-09-20 20:17:01
Drik Optical,Optical Store and Eyewear,Optician,Optician,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 97484 62890,N/A,4.9,68.0,"2, Hridaypur, Hridaypur Station Rd, near JD House, Barasat, West Bengal 700127","Kailas Nagar, Barasat",22.7102093,88.47196679999999,ChIJH_PMMBGZ-DkRjE1lS-dhvZk,https://www.google.com/maps/place/?q=place_id:ChIJH_PMMBGZ-DkRjE1lS-dhvZk,part_315,2026-09-20 20:17:01
Lenskart.com at Hridaypur (First Lens Replacement Free),Optical Store and Eyewear,Optician,"Optician, Eye care center, Optometrist, Repair service, Sunglasses store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 89293 41796,https://www.lenskart.com/stores/lenskart-com-Star-Mall-Junction-Barasat-Kolkata-287176/Home,4.9,4512.0,"74/4/2, Jessore Rd, opposite Star Mall, Sisir Kunja, Madhyamgram, Kolkata, West Bengal 700127","Sisir Kunja, Madhyamgram",22.7042133,88.4718879,ChIJCRxd4j-f-DkRcysowVTCTPY,https://www.google.com/maps/place/?q=place_id:ChIJCRxd4j-f-DkRcysowVTCTPY,part_315,2026-09-20 20:17:01
J Optical,Optical Store and Eyewear,Optician,Optician,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 95475 19552,N/A,5.0,10.0,"Nabapally Circular Rd, Laxmi Narayan Colony, Chkravartipara, Nabapally, Barasat, West Bengal 700126","Laxmi Narayan Colony, Chkravartipara, Nabapally",22.7220194,88.4766458,ChIJmecKTaaY-DkREl-XFmduNV8,https://www.google.com/maps/place/?q=place_id:ChIJmecKTaaY-DkREl-XFmduNV8,part_315,2026-09-20 20:17:01
EYECONIK OPTICIAN,Optical Store and Eyewear,Optician,Optician,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 95648 11196,N/A,5.0,5.0,"Dak Bunglow More, Jessore Rd, South, Barasat, West Bengal 700127","South, Barasat",22.7117561,88.47527679999999,ChIJsSvZcAqZ-DkRTDy4HWRXCVA,https://www.google.com/maps/place/?q=place_id:ChIJsSvZcAqZ-DkRTDy4HWRXCVA,part_315,2026-09-20 20:17:01
Optical Palace - Essilor Experts,Optical Store and Eyewear,Optometrist,"Optometrist, Contact lenses supplier, Eye care center, Sunglasses store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 80 6291 5812,https://www.essilor.com/in-en/,4.7,72.0,"Dak Bunglow More, Super Market, Jessore Rd, opposite PC Chandra Jewellers, Gupta Colony, Barasat, Kolkata, West Bengal 700124","Gupta Colony, Barasat",22.7116793,88.475471,ChIJnbsooquY-DkRGMdCyb5UJ-E,https://www.google.com/maps/place/?q=place_id:ChIJnbsooquY-DkRGMdCyb5UJ-E,part_315,2026-09-20 20:17:01
EYEWEAR STORE.in,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Optical instrument repair service, Optical Products Manufacturer, Optical Wholesaler, Sunglasses store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 77978 55580,https://www.eyewearstore.in/,4.9,382.0,"7/3/1, EAST, Ghosh Para Rd, Nilkantha Market, N, Shyamnagar, Kolkata, Bhatpara, West Bengal 743127","Nilkantha Market, N, Shyamnagar",22.8299865,88.3805986,ChIJlUqIo3GR-DkRneyk0vAbm-8,https://www.google.com/maps/place/?q=place_id:ChIJlUqIo3GR-DkRneyk0vAbm-8,part_315,2026-09-20 20:17:01
Himalaya Optix,Optical Store and Eyewear,Optician,Optician,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,3.6,5.0,"Dak Bunglow More, 8, Jessore Rd, Kailas Nagar, Barasat, Kolkata, West Bengal 700124","Kailas Nagar, Barasat",22.711302699999997,88.47677709999999,ChIJ3a5OqauY-DkR3tZ3TWOOFqs,https://www.google.com/maps/place/?q=place_id:ChIJ3a5OqauY-DkR3tZ3TWOOFqs,part_315,2026-09-20 20:17:01
