business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
B.P. Scientific & Electronics,Chemical Wholesalers,Scientific equipment supplier,Scientific equipment supplier,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 80176 76232,N/A,4.7,11.0,"Hriday pur, santi nagar, balaka, Barasat, West Bengal 700130","Ramkrishnapally, Barasat",22.7156266,88.4644927,ChIJLaTBKm-f-DkR3xEVycQ7j1c,https://www.google.com/maps/place/?q=place_id:ChIJLaTBKm-f-DkR3xEVycQ7j1c,part_315,2026-09-20 20:17:31
GANESH RASAYAN INDUSTRIES,Chemical Wholesalers,Water treatment supplier,Water treatment supplier,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,5.0,1.0,"20, Jessore Rd, Rathtala, Hridaypur, Kolkata, West Bengal 700124","Rathtala, Hridaypur",22.706888799999998,88.4736856,ChIJtTqjTfKf-DkRH6zO6tnCiNY,https://www.google.com/maps/place/?q=place_id:ChIJtTqjTfKf-DkRH6zO6tnCiNY,part_315,2026-09-20 20:17:31
West Bengal Chemical Industries Limited,Chemical Wholesalers,Pharmaceutical company,"Pharmaceutical company, Chemical Manufacturer, Pharmaceuticals Exporter",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 33 4025 1539,https://wbcil.com/,3.6,28.0,"145/1, Jessore Rd, Bangur Avenue, Block A, Lake Town, Kolkata, West Bengal 700089","Bangur Avenue, Block A, Lake Town",22.610008099999998,88.4041642,ChIJ58gHP_51AjoRLEVOjPoQPsc,https://www.google.com/maps/place/?q=place_id:ChIJ58gHP_51AjoRLEVOjPoQPsc,part_315,2026-09-20 20:17:31
Industrial chemical suppliers,Chemical Wholesalers,Supplier,Supplier,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 81001 21998,N/A,5.0,12.0,"8, Cossipore Rd, Cossipore, Kolkata, West Bengal 700002",Cossipore,22.6158175,88.3729765,ChIJf6LJfYyd-DkR4Cycx3DvXDY,https://www.google.com/maps/place/?q=place_id:ChIJf6LJfYyd-DkR4Cycx3DvXDY,part_315,2026-09-20 20:17:31
Chemical Traders & Distributors,Chemical Wholesalers,Chemical Exporter,Chemical Exporter,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98312 84777,https://ctd.ind.in/,5.0,1.0,"150, BK Paul Ave, Sovabazar, Beniatola, Kolkata, West Bengal 700005","Sovabazar, Beniatola",22.5962312,88.3635561,ChIJV8h_p5FU4KQRlAICO36vzfM,https://www.google.com/maps/place/?q=place_id:ChIJV8h_p5FU4KQRlAICO36vzfM,part_315,2026-09-20 20:17:31
Chemical Shop,Chemical Wholesalers,Pharmacy,Pharmacy,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,2.0,2.0,"700127, Kailas Nagar, Barasat, Kolkata, West Bengal 700124","Kailas Nagar, Barasat",22.7123794,88.4752898,ChIJq_ekk7-Z-DkRFZ4ihKCADT0,https://www.google.com/maps/place/?q=place_id:ChIJq_ekk7-Z-DkRFZ4ihKCADT0,part_315,2026-09-20 20:17:31
Dey's Chemical Co,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 93310 92407,N/A,4.0,4.0,"Rm No. 26A, 3rd floor, Strand Rd, Fairley Place, B.B.D. Bagh, Kolkata, West Bengal 700001","Fairley Place, B.B.D. Bagh",22.579808,88.3491136,ChIJZSWEoIt3AjoRB14MC--nDws,https://www.google.com/maps/place/?q=place_id:ChIJZSWEoIt3AjoRB14MC--nDws,part_315,2026-09-20 20:17:31
Shreeram Chemical Industries,Chemical Wholesalers,Manufacturer,Manufacturer,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 33 2237 6456,http://shreeramchemicals.com/,2.9,11.0,"50/2A, Cossipore, Newland, College Square, Kolkata, West Bengal 700012","Cossipore, Newland, College Square",22.572646,88.3638951,ChIJkZ-bGL93AjoRIdwivPO6pGA,https://www.google.com/maps/place/?q=place_id:ChIJkZ-bGL93AjoRIdwivPO6pGA,part_315,2026-09-20 20:17:31
Victor Sales Corporation,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Sanitation service, Sewage treatment plant, Water treatment supplier",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98043 10616,N/A,3.5,6.0,"Room #216 27, 2nd Floor, Weston St, Esplanade, Bow Barracks, Kolkata, West Bengal 700012","Esplanade, Bow Barracks",22.569480199999997,88.35501269999999,ChIJrTF41qh3AjoRBdAnTf8Waw0,https://www.google.com/maps/place/?q=place_id:ChIJrTF41qh3AjoRBdAnTf8Waw0,part_315,2026-09-20 20:17:31
Aditya Commercial Corporation,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98302 63788,https://www.adityacommercial.com/,4.3,11.0,"Ground Floor, 09, Amratala St, near KOTAK MAHINDRA BANK, Bortola, Barabazar Market, Kolkata, West Bengal 700001","Bortola, Barabazar Market",22.5785114,88.3539952,ChIJ22h3ZLB3AjoRWV39MrnMb4M,https://www.google.com/maps/place/?q=place_id:ChIJ22h3ZLB3AjoRWV39MrnMb4M,part_315,2026-09-20 20:17:31
