business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
More Supermarket,Supermarket,Supermarket,"Supermarket, Grocery store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 81081 38000,http://www.morestore.com/,4.0,301.0,"Panchanan Bhawan, Krishnanagar Rd, Gupta Colony, Barasat, Kolkata, West Bengal 700124","Gupta Colony, Barasat",22.7118315,88.4794192,ChIJhZFy1zCZ-DkR69F3xCTagI0,https://www.google.com/maps/place/?q=place_id:ChIJhZFy1zCZ-DkR69F3xCTagI0,part_315,2026-09-20 20:16:52
Apon Bazzar,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,5.0,2.0,"Hariharpur United Club, Hariharpur, Palpara, Barasat, Kolkata, West Bengal 700126","Hariharpur, Palpara, Barasat",22.7168787,88.47318779999999,ChIJQe-_XQCZ-DkRXFRCjKZKmMs,https://www.google.com/maps/place/?q=place_id:ChIJQe-_XQCZ-DkRXFRCjKZKmMs,part_315,2026-09-20 20:16:52
More Supermarket - Bhatrapally,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 81081 38000,https://www.moreretail.in/,4.1,223.0,"PF9G+RJ7, Bhatrapally, Kolkata, West Bengal 700126",Bhatrapally,22.7195277,88.4765341,ChIJd1nShqiY-DkRZN5GuA2Z-Qk,https://www.google.com/maps/place/?q=place_id:ChIJd1nShqiY-DkRZN5GuA2Z-Qk,part_315,2026-09-20 20:16:52
Apna Mart,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 70047 93332,https://www.apnamart.in/,3.2,6.0,"RBC Rd, Gupta Colony, Barasat, Kolkata, West Bengal 700124","Gupta Colony, Barasat",22.7117857,88.47736929999999,ChIJN7J5tPSZ-DkRDDklMObZbrc,https://www.google.com/maps/place/?q=place_id:ChIJN7J5tPSZ-DkRDDklMObZbrc,part_315,2026-09-20 20:16:52
Apna Mart Pal Bagan Ln Hridaypur | Supermarket & Grocery Delivery,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 70047 93332,https://www.apnamart.in/,2.5,2.0,"3043, Netaji Subhash Road, near Saptarshi bhaban, Nivedita Park South, Ramkrishnapally, Madhyamgram, Kolkata, West Bengal 700127","Nivedita Park South, Ramkrishnapally, Madhyamgram",22.7099467,88.4667388,ChIJW7APwKCZ-DkRrzxhO49c8BQ,https://www.google.com/maps/place/?q=place_id:ChIJW7APwKCZ-DkRrzxhO49c8BQ,part_315,2026-09-20 20:16:52
Spencers Retail | Star Mall,Supermarket,Hypermarket,Hypermarket,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 1800 123 6868,https://stores.spencers.in/spencers/madhyamgram/Star-Mall/spencers-in-Star-Mall-madhyamgram--30CTh0/home,4.4,4456.0,"STAR MALL, 74/1, Jessore Rd, below Sisir Kunja, Sisir Kunja, Madhyamgram, West Bengal 700129","Sisir Kunja, Madhyamgram",22.703107799999998,88.4717427,ChIJbbcWSwii-DkRUxG1Gi8hTEQ,https://www.google.com/maps/place/?q=place_id:ChIJbbcWSwii-DkRUxG1Gi8hTEQ,part_315,2026-09-20 20:16:52
More Supermarket - Barasat 2,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 72780 86262,https://more.in/,,,"Mahanam Plaza Dakshinpara, Jessore Rd, Barasat, Kolkata, West Bengal 700124",Barasat,22.71119,88.47899,ChIJIXGBKx-Z-DkRlGQtiPmwtOE,https://www.google.com/maps/place/?q=place_id:ChIJIXGBKx-Z-DkRlGQtiPmwtOE,part_315,2026-09-20 20:16:52
Tuktak Bazar Hut,Supermarket,Indian grocery store,Indian grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 84819 56957,N/A,5.0,2.0,"Sarada Sarani Rd, Ramkrishnapally, Hridaypur, Barasat, West Bengal 700127","Ramkrishnapally, Hridaypur",22.7123506,88.4672484,ChIJseagF1KZ-DkR1T6F9XG6YZw,https://www.google.com/maps/place/?q=place_id:ChIJseagF1KZ-DkR1T6F9XG6YZw,part_315,2026-09-20 20:16:52
Sai Variety Store,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98756 39243,N/A,5.0,2.0,"Kailas Nagar, Barasat, Madhyamgram, West Bengal 700127","Kailas Nagar, Barasat",22.7098296,88.474919,ChIJT8omMmqZ-DkRs5qzrGMc6yE,https://www.google.com/maps/place/?q=place_id:ChIJT8omMmqZ-DkRs5qzrGMc6yE,part_315,2026-09-20 20:16:52
Sadhu Enterprise,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 81009 01600,N/A,5.0,5.0,"Nripen Ghosh Sarani Rd, Hridaypur, Barasat, Kolkata, West Bengal 700127","Hridaypur, Barasat",22.713393999999997,88.4700792,ChIJh6mJH6CZ-DkRK15mAC35FqY,https://www.google.com/maps/place/?q=place_id:ChIJh6mJH6CZ-DkRK15mAC35FqY,part_315,2026-09-20 20:16:52
The Nag s,Supermarket,Grocery store,"Grocery store, Indian grocery store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 90384 26872,N/A,4.6,19.0,"31, Indraprastha Ln, Kailas Nagar, Hridaypur, Madhyamgram, West Bengal 700127","Kailas Nagar, Hridaypur",22.7124649,88.47381,ChIJr_3o7ZOZ-DkRsciVUrrX9hs,https://www.google.com/maps/place/?q=place_id:ChIJr_3o7ZOZ-DkRsciVUrrX9hs,part_315,2026-09-20 20:16:52
RADHA GOBINDA VARIETY STORES,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 84788 44522,N/A,4.8,6.0,"3, Nripen Ghosh Sarani, near Saha Steel Furniture, Palpara, Hridaypur, Madhyamgram, West Bengal 700127","Palpara, Hridaypur",22.7153971,88.4704464,ChIJrS8ZT4eZ-DkRp8SJS1h_OCE,https://www.google.com/maps/place/?q=place_id:ChIJrS8ZT4eZ-DkRp8SJS1h_OCE,part_315,2026-09-20 20:16:52
Babai Grocery Shop,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,4.6,8.0,"PF78+697, Sarada Sarani Rd, Ramkrishnapally, Barasat, Kolkata, West Bengal 700127","Ramkrishnapally, Barasat",22.713046199999997,88.4659353,ChIJPy7sm9mZ-DkRt0VY4A-svxc,https://www.google.com/maps/place/?q=place_id:ChIJPy7sm9mZ-DkRt0VY4A-svxc,part_315,2026-09-20 20:16:52
Maya Stores,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 62896 37854,N/A,4.9,7.0,"1,Prasadpur, South, Jessore Rd, opp. Khosla Elections, near Idbi Bank, Kailas Nagar, Barasat, West Bengal 700124","Kailas Nagar, Barasat",22.7149546,88.4748704,ChIJDSL5PROZ-DkRFH1EutTPj68,https://www.google.com/maps/place/?q=place_id:ChIJDSL5PROZ-DkRFH1EutTPj68,part_315,2026-09-20 20:16:52
Bidyut Bhandar,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98303 58192,N/A,4.6,37.0,"Mitra Para Rd, Barowaritola, Barasat, Kolkata, West Bengal 700124","Barowaritola, Barasat",22.7099709,88.47749739999999,ChIJz1pI76qY-DkRvSkV3YjQr3c,https://www.google.com/maps/place/?q=place_id:ChIJz1pI76qY-DkRvSkV3YjQr3c,part_315,2026-09-20 20:16:52
Sarkar Stores,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 62895 69961,N/A,4.7,3.0,"49, Amarabati Rd, Choto Bajar, Bhatrapally, Kolkata, West Bengal 700126","Choto Bajar, Bhatrapally",22.721617,88.472855,ChIJa_SZvqWY-DkRI_z67Fw8xGY,https://www.google.com/maps/place/?q=place_id:ChIJa_SZvqWY-DkRI_z67Fw8xGY,part_315,2026-09-20 20:16:52
Shatarupa Bhander,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 91430 13029,N/A,3.9,8.0,"NH 12, Kailas Nagar, Barasat, Kolkata, West Bengal 700127","Kailas Nagar, Barasat",22.7136891,88.4749774,ChIJDXlRxEKZ-DkROxaWI5yQgoY,https://www.google.com/maps/place/?q=place_id:ChIJDXlRxEKZ-DkROxaWI5yQgoY,part_315,2026-09-20 20:16:52
Madhyamgram Super Market,Supermarket,Supermarket,Supermarket,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,4.2,162.0,"Sodepur Barasat Rd, Super Market, Bireshpally, Madhyamgram, Kolkata, West Bengal 700129","Super Market, Bireshpally, Madhyamgram",22.6950027,88.4563297,ChIJm8QPwzmf-DkRcOZx_mN122A,https://www.google.com/maps/place/?q=place_id:ChIJm8QPwzmf-DkRcOZx_mN122A,part_315,2026-09-20 20:16:52
RADHAGOBINDA ENTERPRISE,Supermarket,Grocery store,Grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,5.0,2.0,"TA Block, 1, Hridaypur, C.P, Nripen Ghosh Sarani Rd, near Kali Mondir, Barasat, West Bengal 700127",Barasat,22.7127223,88.4698571,ChIJnRg3Zp6Z-DkRiLJ4f_5lY-Q,https://www.google.com/maps/place/?q=place_id:ChIJnRg3Zp6Z-DkRiLJ4f_5lY-Q,part_315,2026-09-20 20:16:52
Pulok Grocery Store (Pulaker Dokan),Supermarket,Indian grocery store,Indian grocery store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,4.0,24.0,"PF4G+XWJ, Dakshinpara Rd, Barowaritola, Barasat, Kolkata, West Bengal 700124","Barowaritola, Barasat",22.707453299999997,88.47726229999999,ChIJZ9QPn_Of-DkRbYhEGDpi0Eg,https://www.google.com/maps/place/?q=place_id:ChIJZ9QPn_Of-DkRbYhEGDpi0Eg,part_315,2026-09-20 20:16:52
Reliance Smart point,Supermarket,Supermarket,Supermarket,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 1800 102 7382,http://storelocator.ril.com/Retail.aspx,4.2,1118.0,"13, Laxmi Narayan Colony, Chkravartipara, Barasat, Kolkata, West Bengal 700126","Laxmi Narayan Colony, Chkravartipara, Barasat",22.7228677,88.4773572,ChIJvcHvp6eY-DkRHH5HC_KjCHs,https://www.google.com/maps/place/?q=place_id:ChIJvcHvp6eY-DkRHH5HC_KjCHs,part_315,2026-09-20 20:16:53
BABLU SEN GROCERY & RICE SHOP,Supermarket,Supermarket,"Supermarket, Rice shop",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,4.8,,"Ramkrishnapur, Banamalipur, Barasat, Kolkata, West Bengal 700124","Ramkrishnapur, Barasat",22.7305304,88.4916306,ChIJrYIuVEOj-DkReUsE8tiybZY,https://www.google.com/maps/place/?q=place_id:ChIJrYIuVEOj-DkReUsE8tiybZY,part_315,2026-09-20 20:16:55
New Sree Guru Trading Co.,Supermarket,Iron & Steel Store,Iron & Steel Store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98366 68706,N/A,5.0,,"choto bazar, 19 no, Circular Rd, beside DM complex, Nabapally, Barasat, West Bengal 700126",Nabapally,22.723043,88.4733682,ChIJLxqWkXWZ-DkReFVjbmDZ0wg,https://www.google.com/maps/place/?q=place_id:ChIJLxqWkXWZ-DkReFVjbmDZ0wg,part_315,2026-09-20 20:16:55
Arambagh's Foodmart (Barasat),Supermarket,Supermarket,"Supermarket, Department store, Indian grocery store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 83369 22134,http://www.arambaghfoodmart.com/,4.0,,"Ward No 10, Holding no 1747/1/1, Ma, Sarada Sarani Road, Barasat, Kolkata, West Bengal 700124",Barasat,22.724273999999998,88.4830107,ChIJq2ohPwmi-DkRn6INWLx8Tp0,https://www.google.com/maps/place/?q=place_id:ChIJq2ohPwmi-DkRn6INWLx8Tp0,part_315,2026-09-20 20:16:55
Great Eastern Retail Pvt.Ltd. Barasat,Supermarket,Electronics store,Electronics store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,https://www.greateasternretail.com/,4.0,,"Rathtala 30, Jessore Rd, Barasat, Kolkata, West Bengal 700127",Barasat,22.7082958,88.4743855,ChIJla84qbCj-DkRDtS_kv1NuPY,https://www.google.com/maps/place/?q=place_id:ChIJla84qbCj-DkRDtS_kv1NuPY,part_315,2026-09-20 20:16:55
Campa cola and cold drink distributer,Supermarket,Grocery delivery service,Grocery delivery service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,4.3,,"Nripen Ghosh Sarani Rd, Hariharpur, Palpara, Hridaypur, Kolkata, West Bengal 700127","Hariharpur, Palpara, Hridaypur",22.7108501,88.4684382,ChIJKaI9VNuZ-DkROQK5maezcko,https://www.google.com/maps/place/?q=place_id:ChIJKaI9VNuZ-DkROQK5maezcko,part_315,2026-09-20 20:16:55
Anup Traders,Supermarket,Iron & Steel Store,Iron & Steel Store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98361 93877,N/A,3.3,,"1514, 1, Santiniketan Pally, Kolkata, West Bengal 700126",Santiniketan Pally,22.721517799999997,88.465126,ChIJ6U4nPJyZ-DkRA6njgbqpLTE,https://www.google.com/maps/place/?q=place_id:ChIJ6U4nPJyZ-DkRA6njgbqpLTE,part_315,2026-09-20 20:16:55
Ma Tara Drugs Barasat,Supermarket,Pharmacy,"Pharmacy, Wholesaler",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 96748 86630,N/A,5.0,,"6 no, Dakshinpara Rd, Barowaritola, Barasat, Kolkata, West Bengal 700124","Barowaritola, Barasat",22.709206599999998,88.4789971,ChIJsVnucqiZ-DkRmEMTtTYYT9s,https://www.google.com/maps/place/?q=place_id:ChIJsVnucqiZ-DkRmEMTtTYYT9s,part_315,2026-09-20 20:16:55
More Supermarket - Agarpara,Supermarket,Supermarket,"Supermarket, Grocery store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 81081 38000,https://more.in/,4.1,,"M9PP+7RG, Tarapukur Main Rd, Tara Pukur South, Agarpara, Kolkata, Panihati, West Bengal 700109","Tara Pukur South, Agarpara",22.685734,88.3869349,ChIJoQU9KGid-DkRLkcBIA6sTyM,https://www.google.com/maps/place/?q=place_id:ChIJoQU9KGid-DkRLkcBIA6sTyM,part_315,2026-09-20 20:16:55
More Supermarket - Kanchrapara,Supermarket,Supermarket,"Supermarket, General store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 81081 38000,https://more.in/,4.1,,"Shreya Abasan 23, 18/6 & 23/H, Bag Station Rd, beside senco gold and diamond, Halisahar, Kanchrapara, West Bengal 743145",Halisahar,22.9525865,88.4243628,ChIJgTvpfOr0MCUR3ExVosrpyis,https://www.google.com/maps/place/?q=place_id:ChIJgTvpfOr0MCUR3ExVosrpyis,part_315,2026-09-20 20:16:55
