business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Blueantz Advertising,PPC Advertising Agencies,Advertising agency,"Advertising agency, Branding agency, Design agency, E-commerce service, Graphic designer, Internet marketing service, Marketing agency, Video production service, Website designer",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 83350 67075,https://www.blueantz.in/,4.0,55.0,"Ground Floor and 2nd Floor, Trinayani Plaza, 36A, 1, Purbachal Kalitala Rd, Kolkata, West Bengal 700078","Purbachal Kalitala, Kalikapur, Haltu",22.5037242,88.399372,ChIJQUX8MlhxAjoRdTbHiTFI94g,https://www.google.com/maps/place/?q=place_id:ChIJQUX8MlhxAjoRdTbHiTFI94g,part_313,2026-09-20 20:17:30
"P3 Advertising - Best Advertising Agency In Kolkata, Poster, Dangler, Leaflets, Auto hood, Pole branding",PPC Advertising Agencies,Advertising agency,"Advertising agency, Digital printing service, Marketing agency, Offset Printer, 3D printing service",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 94321 20341,https://www.p3advertising.in/,4.9,19.0,"91/9, Bose Pukur Rd, Purba Para, Bosepukur, Kasba, Kolkata, West Bengal 700042","Purba Para, Bosepukur, Kasba",22.5150737,88.3848869,ChIJB6jWnNXHraYRMMa-uUeZl3Q,https://www.google.com/maps/place/?q=place_id:ChIJB6jWnNXHraYRMMa-uUeZl3Q,part_313,2026-09-20 20:17:30
Webfeed Solutions Private Limited,PPC Advertising Agencies,Marketing agency,"Marketing agency, Graphic designer, Internet marketing service, Website designer",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 90386 03306,https://webfeed.in/,4.9,32.0,"195, near Indira Maidan, Tanwar Colony, Bahiragath Colony, Jawpur, Dum Dum, Kolkata, West Bengal 700074","Tanwar Colony, Bahiragath Colony, Jawpur, Dum Dum",22.619345,88.39777869999999,ChIJlVNqQPyd-DkR1DFxmd3PaT0,https://www.google.com/maps/place/?q=place_id:ChIJlVNqQPyd-DkR1DFxmd3PaT0,part_313,2026-09-20 20:17:30
Next-level PPC agency! SEMBEAT Digital Marketing Services,PPC Advertising Agencies,Marketing agency,"Marketing agency, Service establishment",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,https://www.sembeat.com/,4.8,5.0,"Next-level PPC agency! SEMBEAT Digital Marketing Services, 700030, India",700030,14.157641199999999,-95.4303869,ChIJQ-LQ77bBHEIR-hk9MLbh3Mo,https://www.google.com/maps/place/?q=place_id:ChIJQ-LQ77bBHEIR-hk9MLbh3Mo,part_313,2026-09-20 20:17:31
Genesis Advertising Pvt Ltd,PPC Advertising Agencies,Advertising agency,Advertising agency,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 33 2287 5744,http://www.genesisad.com/,4.3,16.0,"227, AJC Bose Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5406706,88.35585429999999,ChIJJW4vMDB3AjoRmlLubgrL1Ao,https://www.google.com/maps/place/?q=place_id:ChIJJW4vMDB3AjoRmlLubgrL1Ao,part_313,2026-09-20 20:17:31
"SysTab - Digital Marketing Agency in Sreebhumi, Lake Town, Kolkata",PPC Advertising Agencies,Marketing agency,Marketing agency,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 99038 70143,N/A,4.9,18.0,"Sporting Club, Kalpatru Apartment, Sreebhumi, Lake Town, South Dumdum, West Bengal 700048","Sreebhumi, Lake Town",22.5988832,88.4026569,ChIJS3Juz_11AjoRQRv85LqWfWY,https://www.google.com/maps/place/?q=place_id:ChIJS3Juz_11AjoRQRv85LqWfWY,part_313,2026-09-20 20:17:31
AD ESSENCE SERVICES PVT LTD,PPC Advertising Agencies,Advertising agency,"Advertising agency, Service establishment",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 89100 50242,http://www.adessence.in/,4.6,12.0,"AD ESSENCE SERVICES PVT LTD, 700030, India",700030,21.0680074,82.7525294,ChIJh2gdRQ93AjoRTOs8S-YExrc,https://www.google.com/maps/place/?q=place_id:ChIJh2gdRQ93AjoRTOs8S-YExrc,part_313,2026-09-20 20:17:31
Approch India kolkata - Best Software Development Company | Jewellery Software ERP,PPC Advertising Agencies,Marketing agency,"Marketing agency, Business development service, Business to business service, Graphic designer, Internet marketing service, Software company, Marketing consultant, Website designer",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98833 77338,https://www.approch.co.in/,4.9,15.0,"123A, Lake Town Rd, Bangur Avenue, Block A, Lake Town, Kolkata, South Dumdum, West Bengal 700089","Bangur Avenue, Block A, Lake Town",22.609071999999998,88.4033517,ChIJX92_vll1AjoRQfkUjxBGAcQ,https://www.google.com/maps/place/?q=place_id:ChIJX92_vll1AjoRQfkUjxBGAcQ,part_313,2026-09-20 20:17:31
Next Screen | Website Design & Development | Logo & Graphic Design | Digital Marketing,PPC Advertising Agencies,Marketing agency,"Marketing agency, Business development service, Computer support and services, Design agency, Graphic designer, Website designer, Marketing consultant, Web hosting company",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 90627 71010,https://www.nextscreen.in/,4.5,304.0,"210B, 1B, KC Ghosh Rd, Roy Para, Sinthee, Kolkata, West Bengal 700050","Roy Para, Sinthee",22.6271013,88.3890016,ChIJKZ7W--6d-DkRJy4TsWD055o,https://www.google.com/maps/place/?q=place_id:ChIJKZ7W--6d-DkRJy4TsWD055o,part_313,2026-09-20 20:17:31
Keyline DigiTech Pvt. Ltd.,PPC Advertising Agencies,Marketing agency,"Marketing agency, Design agency, Internet marketing service, Website designer",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 93301 09091,https://keylines.net/,5.0,,"36A, Chandi Ghosh Rd, Kudghat, Ashok Nagar, Tollygunge, Kolkata, West Bengal 700040","Kudghat, Ashok Nagar, Tollygunge",22.4820018,88.34653689999999,ChIJCUg-vu1wAjoRp1RpPluRLSM,https://www.google.com/maps/place/?q=place_id:ChIJCUg-vu1wAjoRp1RpPluRLSM,part_313,2026-09-20 20:17:31
House of Leads,PPC Advertising Agencies,Marketing agency,"Marketing agency, Branding agency, Copywriting service, Design agency, Graphic designer, Internet marketing service, Marketing consultant, Media house, Video editing service, Video production service",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 99039 34396,https://houseofleads.in/digital-marketing-company-in-kolkata/,5.0,9.0,"1st floor, 1, Kapalitala Ln, Pilkhana, Kolkata, West Bengal 700012",Pilkhana,22.569151299999998,88.3558122,ChIJ7W2zM91tCWgRdsdWDeIsJU8,https://www.google.com/maps/place/?q=place_id:ChIJ7W2zM91tCWgRdsdWDeIsJU8,part_313,2026-09-20 20:17:32
