business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ROYAL KOLKATA TRAVELS,Bus Booking Agency,Bus ticket agency,Bus ticket agency,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,4.0,,"11C SAMAR SARANI, Palbagan, Dum Dum, Kolkata, West Bengal 700002","Biswanath Colony, Dum Dum",22.6229807,88.3833291,ChIJ8fC4iBad-DkRkb7uKC28THA,https://www.google.com/maps/place/?q=place_id:ChIJ8fC4iBad-DkRkb7uKC28THA,part_313,2026-09-20 20:17:07
Destination Expanding Horizons,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Bus ticket agency, Tour agency, Tour operator, Railway Ticket Agent",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98301 82913,https://www.yourdestination.in/,4.9,,"6 W, Umakanta Sen Ln, Paikpara, Kolkata, West Bengal 700030",Paikpara,22.616350699999998,88.3878221,ChIJl3Tckfad-DkRonRhAaqbadQ,https://www.google.com/maps/place/?q=place_id:ChIJl3Tckfad-DkRonRhAaqbadQ,part_313,2026-09-20 20:17:07
Biswakarma travels and interior,Bus Booking Agency,Travel agency,"Travel agency, Car leasing service, Car rental agency, Tour operator",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,4.8,,"HI 20, Jyangra, Baguiati, Kolkata, West Bengal 700159","Jyangra, Baguiati",22.6128335,88.43004169999999,ChIJK3RZEn2f-DkR1Isb3FqFmRY,https://www.google.com/maps/place/?q=place_id:ChIJK3RZEn2f-DkR1Isb3FqFmRY,part_313,2026-09-20 20:17:07
Majumder House(Villa)( 💥 Majumder Tour's And Travel [MG] 💥 ),Bus Booking Agency,Travel agency,Travel agency,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 85850 49596,https://www.facebook.com/profile.php?id=61556189256346&mibextid=ZbWKwL,4.9,,"Kunjamallick Bag colony, Galaxy Apartment, 33, Ghughudanga, Kolkata, West Bengal 700030","Kundubagan, Ghughudanga, Dum Dum",22.6187781,88.3950259,ChIJOUIcIwCd-DkRqExDugy2RpI,https://www.google.com/maps/place/?q=place_id:ChIJOUIcIwCd-DkRqExDugy2RpI,part_313,2026-09-20 20:17:07
Royal Cruiser Ticket Counter,Bus Booking Agency,Bus ticket agency,Bus ticket agency,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 99034 00913,http://www.royalcruiser.com/,3.3,,"Gate No.2, Karunamoyee Bus Station Complex, Central Park, Sector 3, Bidhannagar, Kolkata, West Bengal 700091","Central Park, Sector 3, Bidhannagar",22.5862928,88.42113479999999,ChIJL__jiL91AjoRSVEmkwNNysY,https://www.google.com/maps/place/?q=place_id:ChIJL__jiL91AjoRSVEmkwNNysY,part_313,2026-09-20 20:17:07
Tourism India,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Bus ticket agency, Bus tour agency, Car leasing service, Tour operator, Railway Ticket Agent, Vacation home rental agency",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 86228 22932,N/A,4.7,,"2E, H, 1, Dum Dum Rd, Goshala Basti, Satpukur, Kolkata, West Bengal 700002","Goshala Basti, Satpukur",22.6193693,88.3828551,ChIJn0qvuYyd-DkRm4qWn5gb_Wk,https://www.google.com/maps/place/?q=place_id:ChIJn0qvuYyd-DkRm4qWn5gb_Wk,part_313,2026-09-20 20:17:07
CHOWDHURY TRAVELS LUXURY BUS TRANSPORTATION,Bus Booking Agency,Travel agency,Travel agency,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 91636 38888,http://www.chowdhurytravels.com/,4.1,,"Oppo more, super market, 61/21 Manik Bandopadhyay Sarani, Moore Avenue, Kolkata, West Bengal 700040","Vivekananda Nagar, Barua Para, Ashok Nagar, Regent Park",22.4841509,88.35046659999999,ChIJ8cedHvtwAjoRKuSDZhFGCNQ,https://www.google.com/maps/place/?q=place_id:ChIJ8cedHvtwAjoRKuSDZhFGCNQ,part_313,2026-09-20 20:17:07
Dream Light Tours N Travels,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Bus ticket agency, Car leasing service, Hotel, Resort hotel, Tour operator, Tourist information center, Railway Ticket Agent",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 90510 82235,https://dream-light-tours-n.grexa.site/,4.7,,"Sulekha, Mukundapur Auto Stand, Sukanta Setu, Jadavpur, Kolkata, West Bengal 700032",Jadavpur,22.4914487,88.3730159,ChIJ9yzfFRlxAjoRk1LzE9Uhavo,https://www.google.com/maps/place/?q=place_id:ChIJ9yzfFRlxAjoRk1LzE9Uhavo,part_313,2026-09-20 20:17:07
Chohan Tours and Travels,Bus Booking Agency,Tour agency,Tour agency,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98360 00999,http://www.chohantoursandtravels.com/,4.1,,"Ground Floor, Indrapuri Apartments, 70/1, Hazra Rd, Dover Terrace, Ballygunge, Kolkata, West Bengal 700029","Dover Terrace, Ballygunge",22.5246311,88.35564529999999,ChIJWwvHpU53AjoRkK2D8u8dEYg,https://www.google.com/maps/place/?q=place_id:ChIJWwvHpU53AjoRkK2D8u8dEYg,part_313,2026-09-20 20:17:07
Discover Sundarban,Bus Booking Agency,Bus tour agency,Bus tour agency,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 90513 33335,https://www.discoversundarban.co.in/,4.8,,"32, Mata Monmohini Nagar, Subhas Pally Park, Bonhooghly, Baranagar, West Bengal 700108","Mata Monmohini Nagar, Subhas Pally Park, Bonhooghly, Baranagar",22.6465757,88.3797024,ChIJsz_1FS2d-DkRNF8rDBwv9oU,https://www.google.com/maps/place/?q=place_id:ChIJsz_1FS2d-DkRNF8rDBwv9oU,part_313,2026-09-20 20:17:07
