business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
INFINITY Car AC AUTO Electrical Work,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 79071 72667,N/A,4.6,13.0,"Kazakuttam, Ambalathinkara, Kazhakkoottam, Keralam 695582",Ambalathinkara,8.5648628,76.87861099999999,ChIJ9aJPjw2_BTsRsGHUhosm5MQ,https://www.google.com/maps/place/?q=place_id:ChIJ9aJPjw2_BTsRsGHUhosm5MQ,part_311,2026-09-20 20:17:11,2248
Rek Sun,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Auto air conditioning service",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 94472 16612,http://www.reksuncaracrepairtrivandrum.co.in/,4.8,721.0,"Bakery Jct Rd, opposite S.N.V. Sadanam, Vanross, Palayam, Thiruvananthapuram, Keralam 695034","Vanross, Palayam",8.500544099999999,76.95331689999999,ChIJhz60Zbe7BTsRf4au8sikr-A,https://www.google.com/maps/place/?q=place_id:ChIJhz60Zbe7BTsRf4au8sikr-A,part_311,2026-09-20 20:17:11,2249
Anju Auto Electricals,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 93491 22220,N/A,4.3,218.0,"Ward No. 78, 1489/2, Kovalam Rd, Paruthikuzhy, Thiruvananthapuram, Keralam 695008",Paruthikuzhy,8.4622634,76.939751,ChIJoQwL6mq7BTsRNe_1e_IG3zI,https://www.google.com/maps/place/?q=place_id:ChIJoQwL6mq7BTsRNe_1e_IG3zI,part_311,2026-09-20 20:17:11,2250
Kerala Auto Electrical Works,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 99468 64544,N/A,4.7,6.0,"HVM6+7RW, Kaniyapuram, Keralam 695301",695307,8.583233,76.8620724,ChIJi2n6FaO_BTsR2YJ6D5fkH1k,https://www.google.com/maps/place/?q=place_id:ChIJi2n6FaO_BTsR2YJ6D5fkH1k,part_311,2026-09-20 20:17:11,2251
Sreyas Auto Electrical Works,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Battery Store, Electrical supply store",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 98465 63933,N/A,4.0,14.0,"HVF9+3W3, NH Road, Kazhakuttam, Vadakkumbhagam, Thiruvananthapuram, Keralam 695582","Kazhakuttam, Vadakkumbhagam",8.5726369,76.8697899,ChIJmz_a9Km_BTsRf59mK7Yvybk,https://www.google.com/maps/place/?q=place_id:ChIJmz_a9Km_BTsRf59mK7Yvybk,part_311,2026-09-20 20:17:11,2252
Cochin Super Coolers,Auto Electrician and AC Repair,Auto air conditioning service,Auto air conditioning service,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 93493 33315,N/A,4.4,223.0,"Shed 10, Mini Industrial Estate, Panananvila, Paruthippara, Thiruvananthapuram, Keralam 695015","Panananvila, Paruthippara",8.5376163,76.93956419999999,ChIJjbRTU9a7BTsRwvvf869V5vg,https://www.google.com/maps/place/?q=place_id:ChIJjbRTU9a7BTsRwvvf869V5vg,part_311,2026-09-20 20:17:11,2253
Trivandrum Auto Electricals,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Battery Store",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 94466 13952,N/A,5.0,5.0,"HVF9+4V6, Ambalapalli, Kazhakkoottam, Thiruvananthapuram, Kerala 695582","Kazhakuttam, Kazhakkoottam",8.5727821,76.8696367,ChIJ2_3QkKm_BTsRmarW06Yn08E,https://www.google.com/maps/place/?q=place_id:ChIJ2_3QkKm_BTsRmarW06Yn08E,part_311,2026-09-20 20:17:11,2254
AUTO COOLING CAR,Auto Electrician and AC Repair,Auto repair shop,"Auto repair shop, Auto air conditioning service",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 99956 78753,N/A,4.3,87.0,"23,NH BYPASS SERVICE ROAD, Manacaud - Muttathara Rd, Muttathara, Thiruvananthapuram, Keralam 695008",Muttathara,8.470313299999999,76.9367778,ChIJgX8awm27BTsRoCm8VhGabEM,https://www.google.com/maps/place/?q=place_id:ChIJgX8awm27BTsRoCm8VhGabEM,part_311,2026-09-20 20:17:11,2255
Friends Auto Electrical Works,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 94470 43215,N/A,4.3,120.0,"mukkolakal, NH 47 Bypass Road, Kulathoor, Kazhakkoottam, Keralam 695582",Kulathoor,8.5463696,76.8768821,ChIJB75ikvS-BTsRUP-2egMGXiw,https://www.google.com/maps/place/?q=place_id:ChIJB75ikvS-BTsRUP-2egMGXiw,part_311,2026-09-20 20:17:11,2256
AYOOB AUTOMOTIVE (Bharath Motors),Auto Electrician and AC Repair,Car repair and maintenance service,"Car repair and maintenance service, Auto repair shop",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 97470 00561,N/A,4.1,209.0,"opposite VSSC GARAGE, Pattom, Thiruvananthapuram, Keralam 695004",Pattom,8.521193,76.944897,ChIJ8WaGkt67BTsR1yuUOi5CZXs,https://www.google.com/maps/place/?q=place_id:ChIJ8WaGkt67BTsR1yuUOi5CZXs,part_311,2026-09-20 20:17:11,2257
