business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Four S Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 99952 52697,N/A,4.2,337.0,"NH 47 Bypass Road, Mukkalakkal Near Technopark Phase 3, PO, Kulathoor, Thiruvananthapuram, Keralam 695583",Kulathoor,8.545154,76.8774016,ChIJX53RrfS-BTsRT8Jb-rf-k1w,https://www.google.com/maps/place/?q=place_id:ChIJX53RrfS-BTsRT8Jb-rf-k1w,part_311,2026-09-20 20:17:29,4278
Kripa Cafe,Internet Cafe,Internet cafe,Internet cafe,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 98470 14184,N/A,3.9,60.0,"YMR Jct, Nanthancodu, Thiruvananthapuram, Keralam 695003",Nanthancodu,8.5186344,76.9509927,ChIJz8iZRtq7BTsRq3uKssYQQwU,https://www.google.com/maps/place/?q=place_id:ChIJz8iZRtq7BTsRq3uKssYQQwU,part_311,2026-09-20 20:17:29,4279
Arif Communication,Internet Cafe,Internet cafe,Internet cafe,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,N/A,4.1,109.0,"Poojappura Main Rd, Shastri Nagar, Poojapura, Thiruvananthapuram, Keralam 695012","Shastri Nagar, Poojapura",8.492178299999999,76.97435329999999,ChIJo2nLBQC7BTsRh_9siUaZmiA,https://www.google.com/maps/place/?q=place_id:ChIJo2nLBQC7BTsRh_9siUaZmiA,part_311,2026-09-20 20:17:29,4280
Sarada internet cafe,Internet Cafe,Internet cafe,"Internet cafe, Desktop publishing service",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 471 401 0867,N/A,4.3,150.0,"FWJR+QQ9, West St, Fort, P O, East Fort, Pazhavangadi, Thiruvananthapuram, Keralam 695023","Fort, P O, East Fort, Pazhavangadi",8.481904499999999,76.9419695,ChIJ5wRwrwq7BTsRES2lw8JuOSA,https://www.google.com/maps/place/?q=place_id:ChIJ5wRwrwq7BTsRES2lw8JuOSA,part_311,2026-09-20 20:17:29,4281
Sudha Internet Cafe,Internet Cafe,Internet cafe,Internet cafe,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 98478 53664,N/A,4.3,8.0,"Pulimoodu, Thiruvananthapuram, Koonthalloor, Keralam 695304",Pulimoodu,8.6634434,76.79496499999999,ChIJlWEmsUXqBTsRJ7eNZWPcCVA,https://www.google.com/maps/place/?q=place_id:ChIJlWEmsUXqBTsRJ7eNZWPcCVA,part_311,2026-09-20 20:17:29,4282
SoftTecH Online Services,Internet Cafe,Internet cafe,Internet cafe,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 96336 44209,N/A,4.4,18.0,"HVQ4+93X, Kaniyapuram, Keralam 695301",695307,8.5884887,76.855249,ChIJBUggb5a_BTsR6tR4_ZJLDTA,https://www.google.com/maps/place/?q=place_id:ChIJBUggb5a_BTsR6tR4_ZJLDTA,part_311,2026-09-20 20:17:29,4283
Karthika Computers,Internet Cafe,Internet cafe,"Internet cafe, Lamination service, Print shop, Railway Ticket Agent",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 99953 15512,N/A,4.1,94.0,"GXGR+6XC, Thoppumukku, Vattiyoorkavu, Thiruvananthapuram, Keralam 695013","Thoppumukku, Vattiyoorkavu",8.525552,76.99238869999999,ChIJxQ7jux-6BTsRL5iOvy2MnyM,https://www.google.com/maps/place/?q=place_id:ChIJxQ7jux-6BTsRL5iOvy2MnyM,part_311,2026-09-20 20:17:29,4284
IceNet Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 93888 88252,N/A,3.8,12.0,"GWW4+Q5F, CET Parking Dr, Ambady Nagar, Thiruvananthapuram, Keralam 695016",Ambady Nagar,8.546927199999999,76.9054113,ChIJS0YswMe-BTsRVn_0lof10Fc,https://www.google.com/maps/place/?q=place_id:ChIJS0YswMe-BTsRVn_0lof10Fc,part_311,2026-09-20 20:17:29,4285
DEV INTERNET CAFE,Internet Cafe,Internet cafe,"Internet cafe, Print shop, Typist, Video game store",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 97468 23892,N/A,4.3,15.0,"Pettah, Thiruvananthapuram, Keralam 695024",Pettah,8.494421899999999,76.9289457,ChIJfY3pxI-7BTsRQJM0gQPefUI,https://www.google.com/maps/place/?q=place_id:ChIJfY3pxI-7BTsRQJM0gQPefUI,part_311,2026-09-20 20:17:29,4286
AS SQUARE CYBER SOLUTION,Internet Cafe,Internet shop,Internet shop,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 62383 13250,N/A,5.0,2.0,"P O, TC 65/1022 , THIRUVALLAM NEAR BANK OF INDIA, Thiruvallam, Thiruvananthapuram, Keralam 695026",Thiruvallam,8.4478996,76.9556643,ChIJa8MV-iq7BTsRV3ys-Km2bvY,https://www.google.com/maps/place/?q=place_id:ChIJa8MV-iq7BTsRV3ys-Km2bvY,part_311,2026-09-20 20:17:29,4287
