business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Yamaha Motor Showroom - Shreya Motors,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,http://www.shreyamotors.com/,4.7,,"Alba Tower, jn, near Korani, Korani, Attingal, Keralam 695104",695307,8.6642864,76.83888429999999,ChIJdV9gRAfqBTsRl1mLvNiu3rY,https://www.google.com/maps/place/?q=place_id:ChIJdV9gRAfqBTsRl1mLvNiu3rY,part_311,2026-09-20 20:17:10,2058
MOST WANTED MULTI BRAND USED BIKE SHOWROOM,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 89212 87638,N/A,4.7,,"Building No:PP-XI/311 A&B, N H, Main Road, Mudavoorpara, Vedivachankoil, Pallichal, Keralam 695501","Mudavoorpara, Vedivachankoil",8.4302402,77.0327762,ChIJq2dqicmvBTsRYUwg2XtXIEA,https://www.google.com/maps/place/?q=place_id:ChIJq2dqicmvBTsRYUwg2XtXIEA,part_311,2026-09-20 20:17:10,2059
Multi brand Bike Bazar,Two Wheeler Showroom and Dealer,Motor vehicle dealer,Motor vehicle dealer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,N/A,4.7,,"Thozhuvancode, Manchadimoodu, Vattiyoorkavu, Thiruvananthapuram, Kerala 695013","Thozhuvancode, Manchadimoodu, Vattiyoorkavu",8.5228329,76.9829451,ChIJmx34oAO7BTsR2P5s-xSRuuM,https://www.google.com/maps/place/?q=place_id:ChIJmx34oAO7BTsR2P5s-xSRuuM,part_311,2026-09-20 20:17:10,2060
Assured Motors,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 90480 00330,N/A,3.0,,"vetturoad, Kaniyapuram, Keralam 695301",695307,8.5839342,76.8616395,ChIJ003gJKO_BTsR_r63cybBnY8,https://www.google.com/maps/place/?q=place_id:ChIJ003gJKO_BTsR_r63cybBnY8,part_311,2026-09-20 20:17:10,2061
GV Motors TVS (2 wheeler & EV) - Kattayikonam,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 8071 406 123,https://showroom.tvsmotor.com/locator/thiruvananthapuram//gvmotors-tvs-2-wheeler-ev-in-thiruvananthapuram--4yKq22/home,4.7,,"Kalarikkal Building, No PP 67, nearby Kazhakoottam - Thaikod Road, Oruvamoola, Kattaikonam, Pothencode, Thiruvananthapuram, Keralam 695584","Oruvamoola, Kattaikonam",8.6051927,76.8973664,ChIJYyuvx1-_BTsRr8AItcm5-4E,https://www.google.com/maps/place/?q=place_id:ChIJYyuvx1-_BTsRr8AItcm5-4E,part_311,2026-09-20 20:17:10,2062
Honda AV Motors Sales And Service,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 97784 07001,N/A,4.0,,"Near Valloor Jn, NH 66, Manambur, Kallambalam, Keralam 695605",695307,8.7546582,76.7942237,ChIJn110-ELoBTsRCIsHJCSesgw,https://www.google.com/maps/place/?q=place_id:ChIJn110-ELoBTsRCIsHJCSesgw,part_311,2026-09-20 20:17:10,2063
TVS - Blossom Automobiles Pvt Ltd,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 99629 75127,https://dealers.tvsmotor.com/tvs-motors/tvs-blossom-automobiles-pvt-ltd-two-wheeler-dealer-attingal-thiruvananthapuram-252795/Home?utm_source=locator&utm_medium=googleplaces,4.7,,"NSS Taluk Union Building, Kacheri Junction, Attingal, Keralam 695101",695307,8.7006337,76.8138298,ChIJV358QD3pBTsRCAbEzmBuQeQ,https://www.google.com/maps/place/?q=place_id:ChIJV358QD3pBTsRCAbEzmBuQeQ,part_311,2026-09-20 20:17:10,2064
Ancy Automobiles - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,https://dealers.heromotocorp.com/locator/thiruvananthapuram/peyad/ancy-automobiles-hero-motocorp-in-peyad-thiruvananthapuram--7BT7nd/home,4.8,,"No VP, 4/450/452, nearby Juma Massjid, Peyad, Thiruvananthapuram, Keralam 695573",695307,8.5128369,77.0147568,ChIJmTe3dhSxBTsRoQWx1y-K2Vs,https://www.google.com/maps/place/?q=place_id:ChIJmTe3dhSxBTsRoQWx1y-K2Vs,part_311,2026-09-20 20:17:10,2065
ELANJIKKAL MOTORS,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 90614 26999,N/A,2.9,,"Pallimukku, Kadakkavoor, Keezhattingal, Keralam 695306",Pallimukku,8.6917688,76.7762042,ChIJw7-Gt2LrBTsRrGyc1DP6Dgk,https://www.google.com/maps/place/?q=place_id:ChIJw7-Gt2LrBTsRrGyc1DP6Dgk,part_311,2026-09-20 20:17:10,2066
"Suzuki Motorcycle (Indus Suzuki, Trivandrum, Trivandrum-Pattom)",Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 88791 91694,https://www.suzukimotorcyclenalanchira.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.5,,"Indus Suzuki, Sarada Complex, Step Junction, Nalanchira, Thiruvananthapuram, Keralam 695015","Step Junction, Nalanchira",8.5505338,76.9418807,ChIJLZAWJym5BTsR17Gn-ra6-jg,https://www.google.com/maps/place/?q=place_id:ChIJLZAWJym5BTsR17Gn-ra6-jg,part_311,2026-09-20 20:17:10,2067
