business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ayurvedic Store,Provision Store,General store,General store,700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO,+91 80137 31382,N/A,5.0,,"Junction, Beharapara, Baruipur, Kolkata, West Bengal 700144",Beharapara,22.3661219,88.431372,ChIJceJEkyZtAjoREFw85r86iDg,https://www.google.com/maps/place/?q=place_id:ChIJceJEkyZtAjoREFw85r86iDg,part_315,2026-09-20 20:29:58,35941
TRINAYANI VARIETY STORES,Provision Store,General store,General store,700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO,+91 98362 75264,N/A,5.0,2.0,"Southern Bypass, Shasan Rd, near Indian Bank Branch, Mukherjeepara, Baruipur, Kolkata, West Bengal 700144",Mukherjeepara,22.3481173,88.43237049999999,ChIJlS-2rkRtAjoRh6UKWpjmyW0,https://www.google.com/maps/place/?q=place_id:ChIJlS-2rkRtAjoRh6UKWpjmyW0,part_315,2026-09-20 20:29:58,35942
NEW STORES,Provision Store,General store,General store,700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO,+91 98319 94886,N/A,4.5,,"Near Rasmath, Baruipur - Canning Rd, Puratan Bazar, Kolkata, West Bengal 700144","Puratan Bazar, Subuddhipur",22.3498597,88.4405221,ChIJHWfnL6BtAjoRpDBy9r9g7_A,https://www.google.com/maps/place/?q=place_id:ChIJHWfnL6BtAjoRpDBy9r9g7_A,part_315,2026-09-20 20:29:59,35943
RAM GROCERY STORES,Provision Store,General store,General store,700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO,+91 98744 24232,N/A,5.0,,"Ghosh Para Road Near Sitala Mandir, Ghosh para, Salepur, Baruipur, Baruipur, Kolkata, West Bengal 700144",Baruipur,22.374464099999997,88.42746079999999,ChIJeT_gE-9tAjoR8gsG-4ZIHZw,https://www.google.com/maps/place/?q=place_id:ChIJeT_gE-9tAjoR8gsG-4ZIHZw,part_315,2026-09-20 20:29:59,35944
জগদ্ধাত্রী ভান্ডার,Provision Store,General store,General store,700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO,N/A,N/A,,,"PK Banerjee Rd, Puratan Bazar, Maha Prabhu Tala, Baruipur, West Bengal 700144","Puratan Bazar, Maha Prabhu Tala",22.3474085,88.4380999,ChIJvWaCPQBtAjoRZbbV0Cm4zrM,https://www.google.com/maps/place/?q=place_id:ChIJvWaCPQBtAjoRZbbV0Cm4zrM,part_315,2026-09-20 20:29:59,35945
BARUIPUR JAN AUSHADHI SEVA SANGH,Provision Store,Medical supply store,Medical supply store,700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO,+91 70033 88355,N/A,4.9,,"G.BOSE.SARANI, Khodar Bazar Uttarpara, Baruipur, West Bengal 700144",Khodar Bazar Uttarpara,22.3632487,88.4300533,ChIJSyqpCxBtAjoRdh7fQDH5wd0,https://www.google.com/maps/place/?q=place_id:ChIJSyqpCxBtAjoRdh7fQDH5wd0,part_315,2026-09-20 20:29:59,35946
SAMIMA TEA HOUSE,Provision Store,General store,General store,700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO,+91 70038 50963,https://samimateahouse.com/,4.7,,"Baraipur, Kachri Bazar, Kolkata, West Bengal 700144",Khodar Bazar Uttarpara,22.366283499999998,88.4279157,ChIJUcS4CnFtAjoRAY7zNHO6kbQ,https://www.google.com/maps/place/?q=place_id:ChIJUcS4CnFtAjoRAY7zNHO6kbQ,part_315,2026-09-20 20:29:59,35947
JOY SRI RAM STORES,Provision Store,General store,General store,700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO,+91 82401 29837,N/A,4.0,,"9C8G+HVG, Kachari Bazar, Khodar Bazar Uttarpara, Baruipur, West Bengal 700144","Kachari Bazar, Khodar Bazar Uttarpara",22.366438,88.4272101,ChIJV3QolU5sAjoRhm1-d2dW6v4,https://www.google.com/maps/place/?q=place_id:ChIJV3QolU5sAjoRhm1-d2dW6v4,part_315,2026-09-20 20:29:59,35948
Maa Shibani Dashokorma Bhandar,Provision Store,General store,General store,700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO,+91 90628 27005,N/A,5.0,,"Puratan Bazar, Maha Prabhu Tala, Baruipur, West Bengal 700144","Puratan Bazar, Maha Prabhu Tala",22.347609,88.438429,ChIJ91sfd_BtAjoRBlkh2H83Zcc,https://www.google.com/maps/place/?q=place_id:ChIJ91sfd_BtAjoRBlkh2H83Zcc,part_315,2026-09-20 20:29:59,35949
Sadhana variety Store,Provision Store,General store,General store,700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO,N/A,N/A,5.0,3.0,"9CCQ+CQJ, Natunpara, Baruipur, Baruipur P, West Bengal 743610",Natunpara,22.3710524,88.4393929,ChIJqZbvLABtAjoRyKcwxpkNvIs,https://www.google.com/maps/place/?q=place_id:ChIJqZbvLABtAjoRyKcwxpkNvIs,part_315,2026-09-20 20:29:59,35950
