business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Ayur Agni wellness center,",Wellness Center,Wellness center,Wellness center,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 62352 62637,N/A,5.0,12.0,"Kazhakuttam, Vadakkumbhagam, Kazhakkoottam, Thiruvananthapuram, Keralam 695582","Kazhakuttam, Vadakkumbhagam",8.5726021,76.8693014,ChIJja0uZQC_BTsRs9TaKhTkxkA,https://www.google.com/maps/place/?q=place_id:ChIJja0uZQC_BTsRs9TaKhTkxkA,part_312,2026-09-20 20:17:20
Wellness Hub,Wellness Center,Wellness center,"Wellness center, Fitness center, Health consultant, Nutritionist, Weight loss service",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 95146 98882,N/A,5.0,68.0,"N Square, T.C.100/34-19-5, Attinkuzhy, PO, opposite to St Joseph's Church, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",695585,8.5605468,76.87445679999999,ChIJj0Ces3q_BTsRpzBONYCl79M,https://www.google.com/maps/place/?q=place_id:ChIJj0Ces3q_BTsRpzBONYCl79M,part_312,2026-09-20 20:17:20
Wellness Radiance Nutrition Centre,Wellness Center,Nutritionist,Nutritionist,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 85473 30744,N/A,5.0,18.0,"Kazhakuttam, Vadakkumbhagam, Kazhakkoottam, Thiruvananthapuram, Keralam 695582","Kazhakuttam, Vadakkumbhagam",8.5725251,76.8698574,ChIJ1eivoOC_BTsRm0rqERW2LWU,https://www.google.com/maps/place/?q=place_id:ChIJ1eivoOC_BTsRm0rqERW2LWU,part_312,2026-09-20 20:17:20
Herbalife Branded Centre,Wellness Center,Wellness center,"Wellness center, Nutritionist, Weight loss service",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 96456 15155,https://has-hase.com/,5.0,104.0,"Sara tower, near Sainik School, Thiruvananthapuram, Kaniyapuram, Keralam 695585",695585,8.5838968,76.8676579,ChIJdSGiTS2_BTsRS7NaTDQXkqo,https://www.google.com/maps/place/?q=place_id:ChIJdSGiTS2_BTsRS7NaTDQXkqo,part_312,2026-09-20 20:17:20
Vibrance Spa and Ayurvedic Wellness Centre,Wellness Center,Day spa,"Day spa, Alternative medicine practitioner, Massage therapist",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 88930 73461,http://www.spavibrance.com/,4.9,707.0,"1st Floor Chitra Multi Speciality Dental Clinic Aakkulam Road Near Elamkulam Mahadeva Temple, Sreekaryam, Thiruvananthapuram, Keralam 695017",Sreekaryam,8.5484853,76.9197765,ChIJ0ynGlcq-BTsR5O7x6ULy0jM,https://www.google.com/maps/place/?q=place_id:ChIJ0ynGlcq-BTsR5O7x6ULy0jM,part_312,2026-09-20 20:17:20
Ayurchakra Ayurveda Wellness Center,Wellness Center,Wellness center,"Wellness center, Medical spa, Pregnancy care center, Skin care clinic, Alternative medicine practitioner, Yoga Retreat Center",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 94000 16464,http://www.ayurchakra.co.in/,4.9,393.0,"Kesavadasapuram Jct, opp. Chinnus Hotel (Besides Bank of Baroda Building, Kesavadasapuram, Thiruvananthapuram, Keralam 695004",Kesavadasapuram,8.5304446,76.9386038,ChIJYwzralC5BTsR-RXmXgdc9aM,https://www.google.com/maps/place/?q=place_id:ChIJYwzralC5BTsR-RXmXgdc9aM,part_312,2026-09-20 20:17:20
Vibrance Spa and Ayurvedic Wellness Centre Pattom,Wellness Center,Wellness center,"Wellness center, Day spa",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 70128 65262,https://www.spavibrance.com/,4.9,255.0,"Second floor of, Chitra Multispeciality Dental Centre, Adam's Tower, Pattom - Kowdiar Rd, near Sunny Diamonds, Pattom, Thiruvananthapuram, Keralam 695004",Pattom,8.519318799999999,76.9428142,ChIJLY8DsN67BTsRnWIMrhPZqh4,https://www.google.com/maps/place/?q=place_id:ChIJLY8DsN67BTsRnWIMrhPZqh4,part_312,2026-09-20 20:17:20
Sherin's Wellness Centre,Wellness Center,Wellness center,Wellness center,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 88487 72210,N/A,5.0,7.0,"Press Rd, near pathayam, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Keralam 695001","Santhi Nagar, Pulimoodu",8.4946019,76.95093229999999,ChIJNVF_Udq7BTsRRd200rv6ndM,https://www.google.com/maps/place/?q=place_id:ChIJNVF_Udq7BTsRRd200rv6ndM,part_312,2026-09-20 20:17:20
Vedha Mithra Wellness Centre,Wellness Center,Spa,Spa,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 83174 53560,https://vedhamithrawellnesscentre.store/,4.2,22.0,"Pottakuzhy Rd, Veerabhadra Gardens, Pattom, Thiruvananthapuram, Keralam 695004","Veerabhadra Gardens, Pattom",8.5133001,76.9383508,ChIJAxr54tC7BTsRBNPVeemv79E,https://www.google.com/maps/place/?q=place_id:ChIJAxr54tC7BTsRBNPVeemv79E,part_312,2026-09-20 20:17:20
Urban Health and Wellness Centre,Wellness Center,Medical clinic,Medical clinic,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,N/A,,,"124, Parottukonam, Thiruvananthapuram, Keralam 695015",Parottukonam,8.5383137,76.9338575,ChIJGZ-kegC5BTsR2H-_Xsi6njw,https://www.google.com/maps/place/?q=place_id:ChIJGZ-kegC5BTsR2H-_Xsi6njw,part_312,2026-09-20 20:17:20
Wellness Lab & Diagnostic Centre,Wellness Center,Laboratory,Laboratory,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,N/A,5.0,8.0,"Kochar Rd, near Malabar Restaurant, Althara Nagar, Edapazhanji, Thiruvananthapuram, Keralam 695010","Althara Nagar, Edapazhanji",8.5062097,76.96974399999999,ChIJwx4uQ9C7BTsRgLYP74RAJNE,https://www.google.com/maps/place/?q=place_id:ChIJwx4uQ9C7BTsRgLYP74RAJNE,part_312,2026-09-20 20:17:20
Almond Wellness and Spa,Wellness Center,Day spa,Day spa,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,https://www.ayuryogawc.in/,4.9,45.0,"opposite Technopark, near B6 Bar, Pallinada, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",Pallinada,8.556540499999999,76.8761564,ChIJz_EYmZC_BTsRFiVodp01mNo,https://www.google.com/maps/place/?q=place_id:ChIJz_EYmZC_BTsRFiVodp01mNo,part_312,2026-09-20 20:17:21
Trenditionz Wellness Spa,Wellness Center,Spa,Spa,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 88481 56699,https://spasnear.com/spa/trenditionz-wellness/,4.9,105.0,"3rd Floor, Vivin Luxury Suites, Palayam Airport Rd, Pattoor, Thiruvananthapuram, Keralam 695024",Pattoor,8.4975869,76.93583339999999,ChIJX3F7POa7BTsRff001DpMw1I,https://www.google.com/maps/place/?q=place_id:ChIJX3F7POa7BTsRff001DpMw1I,part_312,2026-09-20 20:17:21
Ayur Hermitage Sivadha Ayurvedic Centre,Wellness Center,Health resort,"Health resort, Ayurvedic clinic",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 94465 64211,http://www.ayurhermitage.com/,4.9,150.0,"Beach Rd, Kovalam, Keralam 695527",695585,8.3937682,76.9792549,ChIJSYIQ86alBTsRQoyhxMQv-Eo,https://www.google.com/maps/place/?q=place_id:ChIJSYIQ86alBTsRQoyhxMQv-Eo,part_312,2026-09-20 20:17:21
WELLNESS & NUTRITION CENTRE,Wellness Center,Wellness center,Wellness center,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 90748 41975,N/A,,,"Sreekariyam - Pothencode Rd, Chenkottukonam, Thiruvananthapuram, Uliyazhathura, Keralam 695587",Chenkottukonam,8.5822915,76.903453,ChIJC8FzBp2_BTsRMjfUJL0Uy8w,https://www.google.com/maps/place/?q=place_id:ChIJC8FzBp2_BTsRMjfUJL0Uy8w,part_312,2026-09-20 20:17:21
