business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CSI Mission Hospital,Multispeciality Hospital,Private hospital,"Private hospital, Doctor, Hospital",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 91887 97107,http://www.csimissionhospital.com/,2.8,,"HVF9+RCH, Panvel - Kochi - Kanyakumari Hwy, opp. Al-Saj International Convention Centre, Kazhakuttam, Vadakkumbhagam, Kazhakkoottam, Thiruvananthapuram, Keralam 695582","Kazhakuttam, Vadakkumbhagam",8.574639,76.8685675,ChIJJ_nG8ai_BTsRXLwEFOv3VKs,https://www.google.com/maps/place/?q=place_id:ChIJJ_nG8ai_BTsRXLwEFOv3VKs,part_312,2026-09-20 20:17:06
PULSE MEDICARE HOSPITAL PVT LTD,Multispeciality Hospital,Hospital,Hospital,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 93840 00372,http://www.pulsemch.com/,4.5,,"SH 1, Mannanthala, Thiruvananthapuram, Keralam 695015",Mannanthala,8.5685252,76.94502399999999,ChIJ13uZoQy5BTsRmnHhnzAoPZc,https://www.google.com/maps/place/?q=place_id:ChIJ13uZoQy5BTsRmnHhnzAoPZc,part_312,2026-09-20 20:17:06
Super speciality,Multispeciality Hospital,Hospital,Hospital,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,N/A,4.0,,"GWGH+34W, Ulloor, Thiruvananthapuram, Keralam 695011",Ulloor,8.5252341,76.9278336,ChIJxV3P52q7BTsRh2v8iYbuXds,https://www.google.com/maps/place/?q=place_id:ChIJxV3P52q7BTsRh2v8iYbuXds,part_312,2026-09-20 20:17:06
Sree Uthradom Thirunal (SUT) Hospital,Multispeciality Hospital,Private hospital,"Private hospital, Doctor, General hospital",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 471 407 7777,https://sutpattom.com/,4.8,,"Near, Palace View Rd, Vrindavan Gardens, Pattom, Thiruvananthapuram, Keralam 695004","Vrindavan Gardens, Pattom",8.5163362,76.9406789,ChIJj19Xmt27BTsR5xfgAYs0L9E,https://www.google.com/maps/place/?q=place_id:ChIJj19Xmt27BTsR5xfgAYs0L9E,part_312,2026-09-20 20:17:06
CARE HOSPITAL,Multispeciality Hospital,Hospital,Hospital,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 80899 93367,http://www.carehospitaltrivandrum.com/,4.5,,"PETROL PUMB, VENJARAMOODU ROAD, near SANTHIGIRI, POOLANTHARA, Pothencode, Koliyakode, Keralam 695589",POOLANTHARA,8.6336072,76.90234749999999,ChIJdwXIHQDBBTsRjQWDHmW9nmk,https://www.google.com/maps/place/?q=place_id:ChIJdwXIHQDBBTsRjQWDHmW9nmk,part_312,2026-09-20 20:17:06
GG Hospital,Multispeciality Hospital,Hospital,"Hospital, Doctor, General hospital, Private hospital",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 471 429 9299,https://ggsignaturehospital.com/,4.6,,"Medical College, Pattom Kumarapuram Rd, Murinjapalam, Thiruvananthapuram, Keralam 695011",Murinjapalam,8.5158075,76.93329729999999,ChIJGQ35oOS7BTsR85lRXCcxXW4,https://www.google.com/maps/place/?q=place_id:ChIJGQ35oOS7BTsR85lRXCcxXW4,part_312,2026-09-20 20:17:06
Ananthapuri Hospitals and Research Institute (AHRI),Multispeciality Hospital,Private hospital,"Private hospital, General hospital",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 471 660 9900,http://www.ananthapurihospitals.com/,4.1,,"NH bypass 66, Airport Rd, near Courtyard Garden, Chackai, Thiruvananthapuram, Keralam 695024",Chackai,8.4865432,76.927335,ChIJAQAAAHe8BTsRM2NltTqnEas,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAHe8BTsRM2NltTqnEas,part_312,2026-09-20 20:17:06
S. R Hospital,Multispeciality Hospital,Hospital,Hospital,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 471 241 9425,N/A,2.6,,"JV8W+WRG, Pothencode, Thiruvananthapuram, Pothencode, Keralam 695584",Pothencode,8.6173133,76.8970915,ChIJfeZGWqLABTsR5NLm5OdZj-w,https://www.google.com/maps/place/?q=place_id:ChIJfeZGWqLABTsR5NLm5OdZj-w,part_312,2026-09-20 20:17:06
Al Arif Hospital,Multispeciality Hospital,Private hospital,"Private hospital, Dentist, Emergency care service, Hospital, Medical Center, Medical laboratory, MRI center",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 90377 77830,https://alarifhospital.com/,4.3,,"Al Arif Hospital, Ambalathara, Thiruvananthapuram, Keralam 695026",Ambalathara,8.452496,76.9518114,ChIJCSVK2zq7BTsROnHauiC_4_s,https://www.google.com/maps/place/?q=place_id:ChIJCSVK2zq7BTsROnHauiC_4_s,part_312,2026-09-20 20:17:06
SP Fort Hospital,Multispeciality Hospital,Private hospital,"Private hospital, Ambulance service, Doctor, Medical Center",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 471 245 0540,http://www.spfort.com/,4.6,,"Anakottil St, West Fort, Pazhavangadi, Thiruvananthapuram, Keralam 695023","West Fort, Pazhavangadi",8.484642599999999,76.9417308,ChIJQ_LgK6C7BTsRlJqmbjOEwII,https://www.google.com/maps/place/?q=place_id:ChIJQ_LgK6C7BTsRlJqmbjOEwII,part_312,2026-09-20 20:17:06
