business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SREE MOOKAMBIKA CNC CUTTING TRIVANDRUM,CNC Machining and Laser Cutting,Machine workshop,Machine workshop,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 73568 26001,http://cnccuttingtrivandrum.com/,4.7,,"Pallichal - Vizhinjam Rd, Thiruvananthapuram, Pallichal, Keralam 695020",695585,8.4371511,77.0200468,ChIJ0bvIdlaxBTsRK4StS1shaag,https://www.google.com/maps/place/?q=place_id:ChIJ0bvIdlaxBTsRK4StS1shaag,part_312,2026-09-20 20:17:33
AMBIENCE CNC LASER CUTTING HUB,CNC Machining and Laser Cutting,Laser Cutting Service Provider,"Laser Cutting Service Provider, Furniture Manufacturer, Interior construction contractor, Interior designer, Interior fitting contractor, Lamination service, Metal fabricator, Metal working shop, Metal workshop, Outlet store",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 96050 72359,https://www.ambienceinterio.com/,4.7,,"of Amaron Battery showroom, Opposite of Khalifa Mandhi Restaurant, Attakkulangara-Killippalam bypass road, Near Chalai,Trivandrum Left side road, Attakkulangara - Killippalam Bypass Rd, near Chalai, Thiruvananthapuram, Keralam 695009",Attakulangara,8.478646699999999,76.95472389999999,ChIJLU0CM6K7BTsREYac9Xa1m0Y,https://www.google.com/maps/place/?q=place_id:ChIJLU0CM6K7BTsREYac9Xa1m0Y,part_312,2026-09-20 20:17:33
T & T Fab | CNC METAL LASER CUTTING,CNC Machining and Laser Cutting,Laser Cutting Service Provider,"Laser Cutting Service Provider, Acrylic Dealer, Aluminum welder, Metal fabricator, Steel fabricator",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 80756 07328,https://www.instagram.com/tt_fab25/,5.0,,"near Fathima Matha Church, Kochuthope, Vallakkadavu, Thiruvananthapuram, Keralam 695008","Kochuthope, Vallakkadavu",8.472154699999999,76.9214027,ChIJYznoKli7BTsRlA8S3Yp2SWw,https://www.google.com/maps/place/?q=place_id:ChIJYznoKli7BTsRlA8S3Yp2SWw,part_312,2026-09-20 20:17:33
ArtiCNC,CNC Machining and Laser Cutting,Interior designer,"Interior designer, Advertising agency, Interior Decorator, Laser Cutting Service Provider, Plywood supplier, Sign shop, Woodworking supply store",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 75928 26242,N/A,4.9,,"Veiloor, Kallambalam, Karavaram, Keralam 695605",Veiloor,8.757115299999999,76.79326329999999,ChIJvxjTw6jpBTsReq_8ZB4XLyE,https://www.google.com/maps/place/?q=place_id:ChIJvxjTw6jpBTsReq_8ZB4XLyE,part_312,2026-09-20 20:17:33
Zebra The Signage Hub | Laser cutting | Acrylic | LED Signages| Signs & Banner Service in Trivandrum,CNC Machining and Laser Cutting,Laser Cutting Service Provider,"Laser Cutting Service Provider, Acrylic Dealer, Advertising agency, Commercial printer, Digital printer, Sign shop",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 96455 54401,http://www.zebrasignage.com/,3.9,,"Swathy Nagar Rd, opp. Icici Bank, Kazhakuttam, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",Kazhakuttam,8.569727799999999,76.87271249999999,ChIJZYzMzVi_BTsRTWADR08lA4g,https://www.google.com/maps/place/?q=place_id:ChIJZYzMzVi_BTsRTWADR08lA4g,part_312,2026-09-20 20:17:33
ARTMAN CNC CUTTING & DESIGNING,CNC Machining and Laser Cutting,Industrial design company,Industrial design company,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 92070 00369,N/A,5.0,,"4GH9+RPC, Oachira, Keralam 690526",695585,9.1295625,76.5193125,ChIJn_f8mP4dBjsRADpTvJpKKAM,https://www.google.com/maps/place/?q=place_id:ChIJn_f8mP4dBjsRADpTvJpKKAM,part_312,2026-09-20 20:17:33
THE LASER HUB,CNC Machining and Laser Cutting,Laser Cutting Service Provider,Laser Cutting Service Provider,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,http://www.laserhub.co.in/,4.6,,"B Near Heritage, Plot No. C 12, IDA Uppal, Uppal, Hyderabad, Telangana 500039","IDA Uppal, Uppal",17.3944552,78.5454905,ChIJAwCcCt2ZyzsRdERptngf-L8,https://www.google.com/maps/place/?q=place_id:ChIJAwCcCt2ZyzsRdERptngf-L8,part_312,2026-09-20 20:17:33
MMT Automation,CNC Machining and Laser Cutting,Laser Cutting Service Provider,"Laser Cutting Service Provider, Engraver, Roofing contractor",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 97455 00660,http://www.mmtautomation.in/,4.1,,"Aluva-Paravur Road,Near TVS Kottapuram, Alangad, Kochi, Keralam 683511",695585,10.1284187,76.3042679,ChIJu_WqO3IaCDsRbkvLHboDv38,https://www.google.com/maps/place/?q=place_id:ChIJu_WqO3IaCDsRbkvLHboDv38,part_312,2026-09-20 20:17:33
The CNC Lab,CNC Machining and Laser Cutting,Laser Cutting Service Provider,Laser Cutting Service Provider,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 83180 32621,https://www.thecnclab.in/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12088990348885356649,4.9,,"1 and 3, Ware house, 118/1B, Kaggadasapura Main Rd, opposite CASDIC, Varsova Layout, C V Raman Nagar, Bengaluru, Karnataka 560093","Varsova Layout, C V Raman Nagar",12.9851063,77.6709753,ChIJyZv5xbVJYCARILZHJD6QTrc,https://www.google.com/maps/place/?q=place_id:ChIJyZv5xbVJYCARILZHJD6QTrc,part_312,2026-09-20 20:17:33
CNC TECH MECH - PRECISION LASER CUTTING WORKS,CNC Machining and Laser Cutting,Laser Cutting Service Provider,"Laser Cutting Service Provider, Engraver, Mechanical engineer, Metal fabricator, Metal stamping service, Tool & die shop, Tool manufacturer",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 80779 45413,https://engineersera.com/,5.0,,"KHASRA NO 1101, INDUSTRIAL AREA, Salempur Rajputan, Roorkee, Uttarakhand 247667",INDUSTRIAL AREA,29.8794839,77.86299749999999,ChIJz7-SX5q1DjkR6N-WD4pxZqo,https://www.google.com/maps/place/?q=place_id:ChIJz7-SX5q1DjkR6N-WD4pxZqo,part_312,2026-09-20 20:17:33
