business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
New Sebayan Nursing Home Barasat,Nursing Home and Maternity Hospital,Nursing home,Nursing home,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 33 2552 5500,http://www.newsebayannursinghome.com/,4.4,346.0,"PF9Q+2GX, Kolkata - Basirhat Rd, Barasat, Kolkata, West Bengal 700124",Barasat,22.717622,88.4888622,ChIJQWp9zRqi-DkRuvZ___C45qw,https://www.google.com/maps/place/?q=place_id:ChIJQWp9zRqi-DkRuvZ___C45qw,part_315,2026-09-20 20:17:03,1624
Care & Cure Hospital,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, General hospital",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 33 2542 2899,http://ccnr.in/,3.2,273.0,"choto bazar post, SN road, ps, Surendranath Colony, Nabapally, Barasat, Kolkata, West Bengal 700126","Surendranath Colony, Nabapally, Barasat",22.7237308,88.4739535,ChIJeZBTJaSY-DkR0Qfz1W1x2hU,https://www.google.com/maps/place/?q=place_id:ChIJeZBTJaSY-DkR0Qfz1W1x2hU,part_315,2026-09-20 20:17:03,1625
Barasat Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,3.3,6.0,"43/1, near IndianOil, Champadali, Gupta Colony, Barasat, West Bengal 700124","Champadali, Gupta Colony, Barasat",22.718857999999997,88.4847506,ChIJP9jGfvej-DkRo61GyRr-nzc,https://www.google.com/maps/place/?q=place_id:ChIJP9jGfvej-DkRo61GyRr-nzc,part_315,2026-09-20 20:17:03,1626
Megacity Nursing Home Pvt. Ltd.,Nursing Home and Maternity Hospital,Nursing home,Nursing home,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 62903 37393,https://megacitynh.in/,3.1,129.0,"12 Jessore Road, More, Champadali, Barasat, Kolkata, West Bengal 700124","Champadali, Barasat",22.7203324,88.48868689999999,ChIJP-ES7Aai-DkR-ML-9kF-tXk,https://www.google.com/maps/place/?q=place_id:ChIJP-ES7Aai-DkR-ML-9kF-tXk,part_315,2026-09-20 20:17:03,1627
Ideal Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 94777 02148,N/A,3.9,31.0,"NH 35, Kolkata, Nandagarh, Kolkata, West Bengal 700125",Nandagarh,22.7251034,88.49419859999999,ChIJZ_Y5sRai-DkRqvw0yRMwReQ,https://www.google.com/maps/place/?q=place_id:ChIJZ_Y5sRai-DkRqvw0yRMwReQ,part_315,2026-09-20 20:17:03,1628
Samrajnee Nursing home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 91230 86484,N/A,4.3,4.0,"PGP4+PR, Bamunpara, Kolkata, West Bengal 700125",Bamunpara,22.7369377,88.5070892,ChIJn0qZJTyj-DkRwThv8vg56m4,https://www.google.com/maps/place/?q=place_id:ChIJn0qZJTyj-DkRwThv8vg56m4,part_315,2026-09-20 20:17:03,1629
Cure Point Nursing Home & Diagnostics,Nursing Home and Maternity Hospital,Nursing home,Nursing home,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98366 10825,N/A,2.7,31.0,"102/1 Srikrishna pur, Taki Rd, Kazipara, Barasat, Kolkata, West Bengal 700125","Kazipara, Barasat",22.7141081,88.50373839999999,ChIJl8qMqSai-DkRDIw9GNyqmH0,https://www.google.com/maps/place/?q=place_id:ChIJl8qMqSai-DkRDIw9GNyqmH0,part_315,2026-09-20 20:17:03,1630
Sanjhbati Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 86972 50312,https://www.sanjhbati.in/,4.8,21.0,"55-58, Baikuntha Deb Rd, 2nd Lane, Madhyamgram, Kolkata, West Bengal 700130","2nd Lane, Madhyamgram",22.6984115,88.4449033,ChIJaaV4Jm2f-DkRvsuWflpC8Cc,https://www.google.com/maps/place/?q=place_id:ChIJaaV4Jm2f-DkRvsuWflpC8Cc,part_315,2026-09-20 20:17:03,1631
New Barrackpur Nursing Home,Nursing Home and Maternity Hospital,Nursing home,Nursing home,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 33 2567 3535,N/A,2.8,4.0,"700131, 8/2, Chowhati High School Road, Kodalia Battala, Rajpur, New Barrackpur, Kolkata, West Bengal 700131","Kodalia Battala, Rajpur, New Barrackpur",22.685462899999997,88.4438121,ChIJx6IbvyGf-DkR5RVNrMrrkjk,https://www.google.com/maps/place/?q=place_id:ChIJx6IbvyGf-DkR5RVNrMrrkjk,part_315,2026-09-20 20:17:03,1632
City Hospital Barasat,Nursing Home and Maternity Hospital,Housing complex,Housing complex,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 33 2552 0005,N/A,4.1,144.0,"PGJ2+6Q7, AH1, Kazipara, Uttar Seethi, Kolkata, West Bengal 700125","Kazipara, Uttar Seethi",22.730135999999998,88.5016751,ChIJb08_GCCj-DkRCZkpsryF06k,https://www.google.com/maps/place/?q=place_id:ChIJb08_GCCj-DkRCZkpsryF06k,part_315,2026-09-20 20:17:03,1633
SAMPARKA NURSING HOME,Nursing Home and Maternity Hospital,Hospital,Hospital,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 77975 51821,http://nursinghome.in.net/,3.2,13.0,"6CHX+929, near POST OFFICE, Mastikari, Dakshin Barasat, West Bengal 743372",700127,22.2283756,88.4476277,ChIJ08nh3ShAAjoRVv3DvowK8Xs,https://www.google.com/maps/place/?q=place_id:ChIJ08nh3ShAAjoRVv3DvowK8Xs,part_315,2026-09-20 20:17:03,1634
MAA SARADA MATERNITY NURSING HOME & DIAGNOSTICS,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Child health care center, Dermatologist, Diagnostic center, Fertility clinic, Maternity Centre, Medical Center, Medical clinic, Orthopedic clinic, Skin care clinic",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98300 62315,N/A,4.5,17.0,"near SHIVSHITALA MANDIR, Chiriamo, Kaikhali, Kolkata, West Bengal 700052","Chiriamo, Kaikhali",22.6349208,88.43867329999999,ChIJV-BNcjWe-DkRn0QbDgqZ-uk,https://www.google.com/maps/place/?q=place_id:ChIJV-BNcjWe-DkRn0QbDgqZ-uk,part_315,2026-09-20 20:17:03,1635
Bindubasini Nursing Home,Nursing Home and Maternity Hospital,General hospital,General hospital,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98742 48087,https://bindubasininh.com/,3.9,142.0,"76, MB Rd, Pratiraksha Nagar, Birati, North Dumdum, West Bengal 700051","Pratiraksha Nagar, Birati",22.6636554,88.425083,ChIJbwIH1fSe-DkRO7FCCfuLDK0,https://www.google.com/maps/place/?q=place_id:ChIJbwIH1fSe-DkRO7FCCfuLDK0,part_315,2026-09-20 20:17:03,1636
