business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Reet Technologies,CRM Data Enrichment Companies,Software company,"Software company, Advertising agency, Computer support and services, Software Training Institute",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 90229 93526,https://www.reettechit.com/,5.0,19.0,"Nandan Probiz, Laxman Nagar, Balewadi, Pune, Maharashtra 411045","Laxman Nagar, Balewadi",18.5727165,73.7713338,ChIJJQqZHmkdi0UR8lOZpi9xZtg,https://www.google.com/maps/place/?q=place_id:ChIJJQqZHmkdi0UR8lOZpi9xZtg,part_315,2026-09-20 20:17:36,5604
Code Desk,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,0321 6076465,N/A,4.6,13.0,"Code Desk, 700127, India",700127,30.3629572,68.9966984,ChIJ40hgwMkDGTkR7ktCEIarzDc,https://www.google.com/maps/place/?q=place_id:ChIJ40hgwMkDGTkR7ktCEIarzDc,part_315,2026-09-20 20:17:36,5605
CyberTek Web Design & Software Development,CRM Data Enrichment Companies,Software company,"Software company, Architectural designer, Business development service, Data Entry Service Provider, Database Management Company, Design engineer, Service establishment, Graphic designer, Research and product development, Website designer",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,5.0,1.0,"CyberTek Web Design & Software Development, 700127, India",700127,46.423669,-129.9427086,ChIJSzOngOT3zIkRixc3RrS_udU,https://www.google.com/maps/place/?q=place_id:ChIJSzOngOT3zIkRixc3RrS_udU,part_315,2026-09-20 20:17:36,5606
Infotechzone,CRM Data Enrichment Companies,Website designer,"Website designer, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 76689 76702,https://infotechzone.in/,5.0,1.0,"Infotechzone, 700127, India",700127,21.0680074,74.4265045,ChIJoVqsXKqL9KcRP9CSLxNJNEo,https://www.google.com/maps/place/?q=place_id:ChIJoVqsXKqL9KcRP9CSLxNJNEo,part_315,2026-09-20 20:17:36,5607
DataEntryIndia.in,CRM Data Enrichment Companies,Data Entry Service Provider,"Data Entry Service Provider, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 11 4264 4426,https://www.dataentryindia.in/,1.0,1.0,"DataEntryIndia.in, 700127, India",700127,46.423669,-79.5417226,ChIJZWN6WMYDDTkR8yeW-o_SIF0,https://www.google.com/maps/place/?q=place_id:ChIJZWN6WMYDDTkR8yeW-o_SIF0,part_315,2026-09-20 20:17:36,5608
DataWare Corporation,CRM Data Enrichment Companies,Data Entry Service Provider,"Data Entry Service Provider, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 76782 30910,N/A,5.0,1.0,"DataWare Corporation, 700127, India",700127,21.0680074,82.7525294,ChIJoVxd3DiF0G0RBd30EuniviM,https://www.google.com/maps/place/?q=place_id:ChIJoVxd3DiF0G0RBd30EuniviM,part_315,2026-09-20 20:17:36,5609
Generect,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,https://generect.com/,5.0,1.0,"Generect, 700127, India",700127,48.7673154,31.182437399999998,ChIJ_xWWq-F1vaURFp2wBVGIRqE,https://www.google.com/maps/place/?q=place_id:ChIJ_xWWq-F1vaURFp2wBVGIRqE,part_315,2026-09-20 20:17:36,5610
DefinedWeb IT Solutions,CRM Data Enrichment Companies,Website designer,"Website designer, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,https://definedwebit.com/,,,"DefinedWeb IT Solutions, 700127, India",700127,12.7335786,121.89598919999999,ChIJhfc4mpfs-SsRBbv8kp9xL6s,https://www.google.com/maps/place/?q=place_id:ChIJhfc4mpfs-SsRBbv8kp9xL6s,part_315,2026-09-20 20:17:36,5611
Cybernalytix Professionals Company Limited,CRM Data Enrichment Companies,Business management consultant,"Business management consultant, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,https://cybernalytix.com/,4.8,4.0,"Cybernalytix Professionals Company Limited, 700127, India",700127,9.0338725,8.6707713,ChIJj_8dB_YA_SERSq6e7Aah_fw,https://www.google.com/maps/place/?q=place_id:ChIJj_8dB_YA_SERSq6e7Aah_fw,part_315,2026-09-20 20:17:36,5612
Darker IT Solutions,CRM Data Enrichment Companies,Web hosting company,"Web hosting company, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,01953 303537,https://www.darkeritsolutions.uk/,5.0,1.0,"Darker IT Solutions, 700127, India",700127,47.73855,12.508827499999999,ChIJ2VbTyU_c2UcR3sAM4v3TI1E,https://www.google.com/maps/place/?q=place_id:ChIJ2VbTyU_c2UcR3sAM4v3TI1E,part_315,2026-09-20 20:17:36,5613
Komplete Tech Solutions,CRM Data Enrichment Companies,Business development service,"Business development service, Automation company, Computer consultant, Computer repair service, Computer support and services, Service establishment, Graphic designer, Marketing agency, Marketing consultant, Web hosting company, Website designer",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,https://www.kompletetech.com/,,,"Komplete Tech Solutions, 700127, India",700127,46.423669,-129.9427086,ChIJMdB0uO3v54kRCNc417o3YQc,https://www.google.com/maps/place/?q=place_id:ChIJMdB0uO3v54kRCNc417o3YQc,part_315,2026-09-20 20:17:36,5614
EzyCerts Solutions,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,http://www.ezycerts.com/,,,"EzyCerts Solutions, 700127, India",700127,21.0680074,82.7525294,ChIJKXuV2X3bDDkROQAK5_pWzOU,https://www.google.com/maps/place/?q=place_id:ChIJKXuV2X3bDDkROQAK5_pWzOU,part_315,2026-09-20 20:17:36,5615
ZenHost Web Solutions,CRM Data Enrichment Companies,Web hosting company,"Web hosting company, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,https://zenhost.co.za/,5.0,2.0,"ZenHost Web Solutions, 700127, India",700127,-30.0675504,23.284734399999998,ChIJ5_uW0rJnzB0RIdD8Yr7olI0,https://www.google.com/maps/place/?q=place_id:ChIJ5_uW0rJnzB0RIdD8Yr7olI0,part_315,2026-09-20 20:17:36,5616
Contriver Tech,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,,,"Contriver Tech, 700127, India",700127,21.0680074,82.7525294,ChIJ8wEQ60-35zsR-1Ltvaz9c94,https://www.google.com/maps/place/?q=place_id:ChIJ8wEQ60-35zsR-1Ltvaz9c94,part_315,2026-09-20 20:17:36,5617
Infonet IT Services,CRM Data Enrichment Companies,Software company,"Software company, Automation company, Business management consultant, Computer networking service, Computer security service, Internet marketing service, Computer support and services, Telecommunications contractor, Web hosting company, Website designer",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 87778 41451,https://infonet-it-services.grexa.site/,5.0,9.0,"124, Shri Aurobindo Sarani Rd, Sovabazar, Goa Bagan, Kolkata, West Bengal 700006","Sovabazar, Goa Bagan",22.5944069,88.37156809999999,ChIJqx8486h3AjoRd28HGnePnmI,https://www.google.com/maps/place/?q=place_id:ChIJqx8486h3AjoRd28HGnePnmI,part_315,2026-09-20 20:17:36,5618
Meraqi Digital,CRM Data Enrichment Companies,Advertising agency,"Advertising agency, Graphic designer, Marketing agency, Media company, Website designer",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 93305 17930,http://www.meraqi.in/,4.4,21.0,"Floor 18, Unit 06, Imagine Tech Park, Plot No. 6, Salt Lake Bypass, DP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","DP Block, Sector V, Bidhannagar",22.5747164,88.43538939999999,ChIJxXtbFrR3AjoROeWmTZTfxRI,https://www.google.com/maps/place/?q=place_id:ChIJxXtbFrR3AjoROeWmTZTfxRI,part_315,2026-09-20 20:18:23,9194
Call Center Dashboards,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,https://www.callcenterdashboards.com/,5.0,29.0,"Call Center Dashboards, 700128, India",700128,46.423669,-129.9427086,ChIJQ7WMALmapgARZVLRuPakFTQ,https://www.google.com/maps/place/?q=place_id:ChIJQ7WMALmapgARZVLRuPakFTQ,part_315,2026-09-20 20:18:23,9195
RK Smart Info Solution Pvt Ltd,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,N/A,5.0,2.0,"RK Smart Info Solution Pvt Ltd, 700128, India",700128,21.0680074,82.7525294,ChIJBzVgO6UJGToRpukcMlNJNsU,https://www.google.com/maps/place/?q=place_id:ChIJBzVgO6UJGToRpukcMlNJNsU,part_315,2026-09-20 20:18:23,9196
SunTec India,CRM Data Enrichment Companies,BPO Company,"BPO Company, Computer support and services, Data Entry Service Provider, E - Commerce Agency, E-commerce service, Internet marketing service, Video editing service, Website designer",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 11 4264 4425,https://www.suntecindia.com/,3.5,,"DDA Community Centre, Floor 3, Vardhman Times Plaza, Plot 13, Rd Number 44, Pitampura, New Delhi, Delhi 110034","Saint Nagar Delhi, Rani Bagh, Pitampura",28.6887023,77.1339792,ChIJWyIwYsYDDTkRUTLKwD_gnKY,https://www.google.com/maps/place/?q=place_id:ChIJWyIwYsYDDTkRUTLKwD_gnKY,part_315,2026-09-20 20:18:24,9197
Kazma Technology Pvt Ltd,CRM Data Enrichment Companies,Software company,Software company,700129,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram SO, East Udayrajpur BO, Udayrajpur BO",+91 90525 31507,https://kazmatechnology.com/,4.5,,"Chatterjee International Center 33 A , Jawaharlal Nehru Rd, Park St, Kolkata, West Bengal 700071",Park Street area,22.5532488,88.35011569999999,ChIJq2tOmnV2AjoRq8nAscYTVN4,https://www.google.com/maps/place/?q=place_id:ChIJq2tOmnV2AjoRq8nAscYTVN4,part_315,2026-09-20 20:19:09,11804
1Channel,CRM Data Enrichment Companies,Software company,Software company,700129,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram SO, East Udayrajpur BO, Udayrajpur BO",+91 88261 11079,https://1channel.co/,,,"Plot, 6, Office space 12, 23rd Floor, Salt Lake Bypass, DP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","DP Block, Sector V, Bidhannagar",22.5745529,88.4352557,ChIJ8awbY2R1AjoRkXsp_GpQfYE,https://www.google.com/maps/place/?q=place_id:ChIJ8awbY2R1AjoRkXsp_GpQfYE,part_315,2026-09-20 20:19:09,11805
CR Software Solutions,CRM Data Enrichment Companies,Software company,"Software company, Service establishment, Marketing agency, Website designer, Web hosting company",700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",N/A,https://crsoftware.tech/,5.0,,"CR Software Solutions, 700131, India",700131,42.4234434,-83.35499539999999,ChIJg6H8t_5TO4gRTrGeNobBtmw,https://www.google.com/maps/place/?q=place_id:ChIJg6H8t_5TO4gRTrGeNobBtmw,part_315,2026-09-20 20:20:41,16402
Codemint Dev,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",N/A,N/A,,,"Codemint Dev, 700131, India",700131,40.266869,-179.3878585,ChIJ9a69A2j7NToRnKuXGglquZs,https://www.google.com/maps/place/?q=place_id:ChIJ9a69A2j7NToRnKuXGglquZs,part_315,2026-09-20 20:20:41,16403
"Data Futures, Inc.",CRM Data Enrichment Companies,Computer consultant,"Computer consultant, Service establishment",700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",N/A,http://www.data-futures.com/,,,"Data Futures, Inc., 700131, India",700131,46.423669,-129.9427086,ChIJkRO2b38b2YgR5ZmSKxsvF1U,https://www.google.com/maps/place/?q=place_id:ChIJkRO2b38b2YgR5ZmSKxsvF1U,part_315,2026-09-20 20:20:41,16404
Hash Code Experts,CRM Data Enrichment Companies,Computer support and services,"Computer support and services, Service establishment",700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",N/A,N/A,,,"Hash Code Experts, 700131, India",700131,21.0680074,82.7525294,ChIJH4gYi2gfDTkRByibJwuYP4A,https://www.google.com/maps/place/?q=place_id:ChIJH4gYi2gfDTkRByibJwuYP4A,part_315,2026-09-20 20:20:41,16405
"Web Code NOW, LLC",CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",N/A,http://www.webcodenow.com/,,,"Web Code NOW, LLC, 700131, India",700131,46.423669,-129.9427086,ChIJd-hsLKWz2YgRLKGty1pykw0,https://www.google.com/maps/place/?q=place_id:ChIJd-hsLKWz2YgRLKGty1pykw0,part_315,2026-09-20 20:20:41,16406
software company,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,N/A,http://www.fusiontechlab.com/,,,"software company, 700133, India",700133,21.0680074,82.7525294,ChIJcxgIAaEPPCARRE6C_VxwXc4,https://www.google.com/maps/place/?q=place_id:ChIJcxgIAaEPPCARRE6C_VxwXc4,part_315,2026-09-20 20:22:10,18988
DATA PROVIDER,CRM Data Enrichment Companies,Database Management Company,"Database Management Company, Service establishment",700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 96571 15677,N/A,5.0,,"DATA PROVIDER, 700133, India",700133,21.0680074,82.7525294,ChIJi6EDF7rB1DsRWDr7_OMSzeQ,https://www.google.com/maps/place/?q=place_id:ChIJi6EDF7rB1DsRWDr7_OMSzeQ,part_315,2026-09-20 20:22:10,18989
Digital Core Web Services,CRM Data Enrichment Companies,Computer support and services,"Computer support and services, Service establishment",700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,N/A,N/A,5.0,,"Digital Core Web Services, 700133, India",700133,28.692404999999997,77.090042,ChIJtWVaKWcHDTkRcyrnhzCUklg,https://www.google.com/maps/place/?q=place_id:ChIJtWVaKWcHDTkRcyrnhzCUklg,part_315,2026-09-20 20:22:10,18990
Digital Service Center,CRM Data Enrichment Companies,Computer support and services,"Computer support and services, Service establishment",700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 88024 08047,N/A,5.0,,"Digital Service Center, 700133, India",700133,21.0680074,82.7525294,ChIJm29VCEgFDTkRWDMcUxebF4Q,https://www.google.com/maps/place/?q=place_id:ChIJm29VCEgFDTkRWDMcUxebF4Q,part_315,2026-09-20 20:22:10,18991
Densecom IT Services Private Limimted,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 70862 45203,https://www.densecom.in/,,,"Densecom IT Services Private Limimted, 700133, India",700133,21.0680074,82.7525294,ChIJx02k0wBinwwRrS_LjPFWpSk,https://www.google.com/maps/place/?q=place_id:ChIJx02k0wBinwwRrS_LjPFWpSk,part_315,2026-09-20 20:22:10,18992
Bitscale,CRM Data Enrichment Companies,Software company,Software company,700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 94795 48358,https://bitscale.ai/,,,"637, Desqworx, JMD MEGAPOLIS, Badshahpur Sohna Rd, Sector 48, Gurugram, Haryana 122018",Sector 48,28.4194487,77.03881559999999,ChIJ5RKEvVEjDTkRz44vPP3ndGA,https://www.google.com/maps/place/?q=place_id:ChIJ5RKEvVEjDTkRz44vPP3ndGA,part_315,2026-09-20 20:22:11,18993
LinkedoJet | B2B Lead Generation,CRM Data Enrichment Companies,Internet marketing service,"Internet marketing service, Service establishment",700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 99904 31244,https://www.linkedojet.com/,5.0,7.0,"LinkedoJet | B2B Lead Generation, 700133, India",700133,9.374110199999999,-74.9524576,ChIJ____PwDjDDkRhYhhwfDY7IQ,https://www.google.com/maps/place/?q=place_id:ChIJ____PwDjDDkRhYhhwfDY7IQ,part_315,2026-09-20 20:22:11,18994
Flint De Orient,CRM Data Enrichment Companies,Software company,"Software company, Service establishment",700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,N/A,https://flintdeorient.com/,5.0,5.0,"Flint De Orient, 700134, India",700134,21.0680074,82.7525294,ChIJcT480vGDjE4RUlhKk3KW-hw,https://www.google.com/maps/place/?q=place_id:ChIJcT480vGDjE4RUlhKk3KW-hw,part_315,2026-09-20 20:22:56,20422
Metacognite Software,CRM Data Enrichment Companies,Software company,Software company,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",+91 70015 47565,https://metacognite.com/,5.0,,"Jashra Talpukur, Mitra Para, Chakdaha, West Bengal 741222",Mitra Para,23.0726665,88.51697399999999,ChIJ910aKgLB-DkR6AzF8QWfOS4,https://www.google.com/maps/place/?q=place_id:ChIJ910aKgLB-DkR6AzF8QWfOS4,part_315,2026-09-20 20:23:44,23696
INTELLIGENT SOLUTIONS,CRM Data Enrichment Companies,Apartment building,Apartment building,700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",+91 33 2353 8019,N/A,5.0,,"55/4 Chaulpatty Road, Beliaghata, Kolkata, West Bengal 700010",Tangra,22.558884,88.407336,ChIJZavbGyx0AjoR1cMVV1_Hjos,https://www.google.com/maps/place/?q=place_id:ChIJZavbGyx0AjoR1cMVV1_Hjos,part_315,2026-09-20 20:23:44,23697
