business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nag Flower Corner & Decoration,Flower Decorator,Florist,"Florist, Gift shop",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 89068 21335,N/A,5.0,7.0,"Jamari Bazar Paschim, West Bengal 713335",713335,23.799853799999998,86.8733666,ChIJLZoe-L7f9jkRlCSaknpiy9c,https://www.google.com/maps/place/?q=place_id:ChIJLZoe-L7f9jkRlCSaknpiy9c,part_320,2026-09-20 20:17:16
Ak flowers decorations,Flower Decorator,Flower designer,"Flower designer, DJ service, Event planner, Light bulb supplier, Lighting contractor",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 81019 49721,https://youtube.com/@Akeventmanagement24?si=QrQctnXCOzQMQhID,5.0,2.0,"Samdi Rd, annolege, Lohat, Asansol, West Bengal 713359",annolege,23.7825401,86.9180547,ChIJRQ-cTOEh9zkRG1NTOm__604,https://www.google.com/maps/place/?q=place_id:ChIJRQ-cTOEh9zkRG1NTOm__604,part_320,2026-09-20 20:17:16
Shree Ganpati Flower Decoration,Flower Decorator,Florist,Florist,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 81160 76816,N/A,4.9,11.0,"Neamatur Bazar Barakar, Asansol - Chittaranjan Rd, near Hdfc Bank, Neamatpur, Asansol, West Bengal 713359",713335,23.7167443,86.88089029999999,ChIJrwHl7bHh9jkRvYuYUc8DL18,https://www.google.com/maps/place/?q=place_id:ChIJrwHl7bHh9jkRvYuYUc8DL18,part_320,2026-09-20 20:17:16
Das Flower Decoration,Flower Decorator,Flower designer,Flower designer,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 70298 15347,https://www.facebook.com/share/17PtV4azW9/,5.0,2.0,"Jamalpur, Masagram, West Bengal 713401",Jamalpur,23.1335279,88.0399767,ChIJIUg4H1pb-DkRZcRaCAEsbNU,https://www.google.com/maps/place/?q=place_id:ChIJIUg4H1pb-DkRZcRaCAEsbNU,part_320,2026-09-20 20:17:16
Maa kalyanshwary flower & light decoration,Flower Decorator,Store,Store,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 95639 00573,N/A,5.0,1.0,"Lachmonpur, Asansol, Salanpur, West Bengal 713357",Lachmonpur,23.7544091,86.8693368,ChIJGck3_tPf9jkRWisO3BZl0FY,https://www.google.com/maps/place/?q=place_id:ChIJGck3_tPf9jkRWisO3BZl0FY,part_320,2026-09-20 20:17:16
Joy Maa Raksha Kali Flower Decoration,Flower Decorator,Florist,Florist,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 91260 73181,N/A,,,"QWX3+RVH, Samdi Rd, Achhra, West Bengal 713335",713335,23.7995505,86.9047269,ChIJ79t8X54g9zkRLXLLEwZYHtk,https://www.google.com/maps/place/?q=place_id:ChIJ79t8X54g9zkRLXLLEwZYHtk,part_320,2026-09-20 20:17:16
Pinki Flower Decoration & Event Planner,Flower Decorator,Event planner,Event planner,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,1.0,"Garui Ghosh para, Kanyapur, Asansol, West Bengal 713341",Kanyapur,23.7175111,86.9404149,ChIJgx0sWQAf9zkR091rxjvHfkY,https://www.google.com/maps/place/?q=place_id:ChIJgx0sWQAf9zkR091rxjvHfkY,part_320,2026-09-20 20:17:16
RK Flowers,Flower Decorator,Event planner,Event planner,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 89006 32597,https://www.instagram.com/suman_jhariat?igsh=M3RtaXBtYWl1bG1w,5.0,2.0,"713360, AG Church Rd, Radhanagar, West Bengal 713333",713335,23.693385799999998,86.86339269999999,ChIJ75K2CADh9jkRJwWPR_sqQJg,https://www.google.com/maps/place/?q=place_id:ChIJ75K2CADh9jkRJwWPR_sqQJg,part_320,2026-09-20 20:17:16
Maa kalyaneshwari flower decoration,Flower Decorator,Wedding planner,Wedding planner,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 70297 27099,N/A,,,"Neamatpur, Sitarampur, West Bengal 713359",713335,23.7204587,86.89025339999999,ChIJpemEAEbh9jkRsiAe14g4J8A,https://www.google.com/maps/place/?q=place_id:ChIJpemEAEbh9jkRsiAe14g4J8A,part_320,2026-09-20 20:17:16
Nasir Raj Flower decoration,Flower Decorator,Flower market,Flower market,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,3.7,3.0,"Asansol - Chittaranjan Rd, Neamatpur, West Bengal 713359",713335,23.717339499999998,86.8790765,ChIJL7hRMQDh9jkRrgKHCZatLVk,https://www.google.com/maps/place/?q=place_id:ChIJL7hRMQDh9jkRrgKHCZatLVk,part_320,2026-09-20 20:17:16
Manjusri flower designer,Flower Decorator,Flower designer,Flower designer,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 75850 88972,https://www.facebook.com/arupam7/,4.8,29.0,"Burdwan, Burdwan 1, Banpash, West Bengal 713127",713335,23.385515599999998,87.8100068,ChIJBU6Yp-XL-TkRMitYPo9mGr4,https://www.google.com/maps/place/?q=place_id:ChIJBU6Yp-XL-TkRMitYPo9mGr4,part_320,2026-09-20 20:17:16
Sky Flower's decoration,Flower Decorator,Wedding planner,Wedding planner,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 83056 06406,https://www.google.com/search?q=sky+flower+decoration+barakar&oq=sky+flower+decoration+barakar&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjIICAQQABgWGB4yCggFEAAYgAQYogQyCggGEAAYgAQYogQyCggHEAAYgAQYogQyBwgIEAAY7wUyBwgJECEYjwIyBwgKECEYjwLSAQkxMTI4MWowajSoAgGwAgE&client=ms-android-vivo-rvo3&sourceid=chrome-mobile&ie=UTF-8#ebo=0,5.0,5.0,"Baltoria, BARAKAR, Kulti, West Bengal 713324",713335,23.7452699,86.826977,ChIJNTJB4XHf9jkR07gkxHqGL44,https://www.google.com/maps/place/?q=place_id:ChIJNTJB4XHf9jkR07gkxHqGL44,part_320,2026-09-20 20:17:16
Maa Bhagwati Flower Decoration,Flower Decorator,Florist,Florist,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 82107 44410,https://maabhagwatidecoration.shop/,5.0,3.0,"Kumar Dhubi, near Auto Stand, Chirkunda, Jharkhand 828202",713335,23.747657,86.7868793,ChIJ749NXF7d9jkRZb5RfsqjSZo,https://www.google.com/maps/place/?q=place_id:ChIJ749NXF7d9jkRZb5RfsqjSZo,part_320,2026-09-20 20:17:16
Maa Dashokorma Nursery & Joy Bijoy Flower Shop,Flower Decorator,Flower designer,Flower designer,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 87680 60522,https://www.facebook.com/joybijoyflowershop?mibextid=ZbWKwL,4.8,207.0,"Chowhatta Bus Stand Road, Chowhatta - Sainthia Rd, West Bengal 731201",713335,23.824061099999998,87.7511066,ChIJLWo8Bjzp-TkRX68tKSurHM4,https://www.google.com/maps/place/?q=place_id:ChIJLWo8Bjzp-TkRX68tKSurHM4,part_320,2026-09-20 20:17:16
AYUSH FLOWER DECORATION,Flower Decorator,Florist,Florist,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 90931 77823,http://bubai.liveblog365.com/,5.0,6.0,"Sripally, Police LIne Bazar, UTTARPARA, Bardhaman, West Bengal 713103","Sripally, Police LIne Bazar",23.2231252,87.86953199999999,ChIJ9Rs-E0RJ-DkRihkuknJK9i4,https://www.google.com/maps/place/?q=place_id:ChIJ9Rs-E0RJ-DkRihkuknJK9i4,part_320,2026-09-20 20:17:16
