business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAI+ Education,Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 86178 73737,N/A,5.0,5.0,"Chittaranjan - Neamatpur Rd, Rupnarayanpur, West Bengal 713335",713335,23.8081875,86.8768125,ChIJb9P_ZW3f9jkRd2r28qDaJIA,https://www.google.com/maps/place/?q=place_id:ChIJb9P_ZW3f9jkRd2r28qDaJIA,part_320,2026-09-20 20:17:21
Al-Azhar Tutorial (আজহারউদ্দিন স্যার),Tuition Center,Private Tutor,Private Tutor,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 97322 61500,https://alazhartutorial.blogspot.com/,4.9,16.0,"Jemari - Basudevpur Rd, Basudebpur, West Bengal 713335",713335,23.7917018,86.8807384,ChIJEy5hriPf9jkRwEFNWH1M2qU,https://www.google.com/maps/place/?q=place_id:ChIJEy5hriPf9jkRwEFNWH1M2qU,part_320,2026-09-20 20:17:21
Commerce & Maths Learning Centre (Inspiration Academy),Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 79084 25945,https://m.facebook.com/profile.php?id=100063561686917,5.0,24.0,"guest house, Shastri Pally, behind HCL Road, Rupnarayanpur, West Bengal 713386",713335,23.823361499999997,86.8940435,ChIJG-7HYZPf9jkRl0PzZRSfZms,https://www.google.com/maps/place/?q=place_id:ChIJG-7HYZPf9jkRl0PzZRSfZms,part_320,2026-09-20 20:17:21
Maths Home Tuition,Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,1.0,"Hindustan, Arabinda Nagar Road no 2 PO, Cables Rd, Chittaranjan, West Bengal 713335",Aurobindo Nagar,23.8335877,86.90993879999999,ChIJR9UIK5In9zkRXqKWFouMfSY,https://www.google.com/maps/place/?q=place_id:ChIJR9UIK5In9zkRXqKWFouMfSY,part_320,2026-09-20 20:17:21
KAUSTAV ROY'S TUTORIAL CLASSES,Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 75017 02385,https://youtube.com/channel/UCU9ElTQeCSLm7Utg5n82K3A,5.0,23.0,"Durga Mandir Rd, Rupnarayanpur, West Bengal 713386",713335,23.8147153,86.8853043,ChIJTzHPvD_f9jkRkACKlssune8,https://www.google.com/maps/place/?q=place_id:ChIJTzHPvD_f9jkRkACKlssune8,part_320,2026-09-20 20:17:21
Vivek Sir Class,Tuition Center,Tutoring service,"Tutoring service, CBSE School, Coaching Center, Counselor, Education center, ICSE School, Private Tutor, School center",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 70636 23463,https://satyvivek.wordpress.com/icse/,4.7,63.0,"East Market, near Aata Chaki, Chittaranjan, West Bengal 713331",713335,23.8606846,86.89105219999999,ChIJxbilIZDY9jkRAGZPz8DI0bc,https://www.google.com/maps/place/?q=place_id:ChIJxbilIZDY9jkRAGZPz8DI0bc,part_320,2026-09-20 20:17:21
Biswas Coaching and tution,Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 99329 32434,N/A,5.0,7.0,"RWM4+4GJ, Road 6, Aurobindo Nagar, Rupnarayanpur, Chittaranjan, West Bengal 713335",Aurobindo Nagar,23.832829099999998,86.9062538,ChIJx5FqMfsn9zkRhoYr0iryYGA,https://www.google.com/maps/place/?q=place_id:ChIJx5FqMfsn9zkRhoYr0iryYGA,part_320,2026-09-20 20:17:21
Ravi Kumar Singh (RKS) coaching centre,Tuition Center,Coaching Center,Coaching Center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,1.0,"Damagoria Colliery, Kalyaneshwari, West Bengal 713369",713335,23.774241,86.8380658,ChIJb2aG3Gff9jkRYgt8rvFNcVU,https://www.google.com/maps/place/?q=place_id:ChIJb2aG3Gff9jkRYgt8rvFNcVU,part_320,2026-09-20 20:17:21
Mandi & Mandi brothers Private tution,Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 81016 89973,N/A,5.0,5.0,"Quarter No 3, 1b Ribbon Area, Prashant Avenue, Chittaranjan, West Bengal 713331",713335,23.8492455,86.9019814,ChIJ2StzuM7Z9jkRv1Ln2wCdjuw,https://www.google.com/maps/place/?q=place_id:ChIJ2StzuM7Z9jkRv1Ln2wCdjuw,part_320,2026-09-20 20:17:21
"Success Point Coaching Centre, the modern way of education",Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.0,1.0,"Rupnarayanpur, Dhaminberia, West Bengal 713386",713335,23.812052299999998,86.8856411,ChIJU36jOM_f9jkREkDYoxkSyDo,https://www.google.com/maps/place/?q=place_id:ChIJU36jOM_f9jkREkDYoxkSyDo,part_320,2026-09-20 20:17:21
Study Center(Nikhil) Education/Tution,Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 75015 18472,N/A,,,"Samdi Laha Para Kali Temple Samdi - Mahishmura, Road, Shyamdi, West Bengal 713335",713335,23.7833908,86.9180008,ChIJl44eSOIh9zkRGtkI23w3_AU,https://www.google.com/maps/place/?q=place_id:ChIJl44eSOIh9zkRGtkI23w3_AU,part_320,2026-09-20 20:17:21
AVSSSAR CLASSES COACHING CENTRE,Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.7,3.0,"SP East Market, Chittaranjan, West Bengal 713331",713335,23.860837699999998,86.8912584,ChIJOb7FBEbZ9jkRtHLxCxQifls,https://www.google.com/maps/place/?q=place_id:ChIJOb7FBEbZ9jkRtHLxCxQifls,part_320,2026-09-20 20:17:21
Tutorial Point,Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,,,"Golap Bagan Ln, behind B.T.Electronics, Rupnarayanpur, West Bengal 713386",713335,23.8136118,86.8859399,ChIJOdi7Vybf9jkRTCS0ZOIjL1c,https://www.google.com/maps/place/?q=place_id:ChIJOdi7Vybf9jkRTCS0ZOIjL1c,part_320,2026-09-20 20:17:21
Debobrata Mukherjee ( Science Teacher) 📚📝,Tuition Center,Education center,"Education center, Private Tutor",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 79087 29243,N/A,5.0,2.0,"Rupnarayanpur, West Bengal 713386",713335,23.8146594,86.88935649999999,ChIJx3kwdADf9jkRH0c8du1XBik,https://www.google.com/maps/place/?q=place_id:ChIJx3kwdADf9jkRH0c8du1XBik,part_320,2026-09-20 20:17:21
Maitrayee Chakraborty's CLASSES,Tuition Center,Education center,"Education center, Educational institution",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,https://maitrayeechakrabortysclasses.blogspot.com/?m=1,5.0,2.0,"Rupasini Apartment, HCL Rd, opp. Hotel Rajeswari, West Rangamatia, Rupnarayanpur, West Bengal 713386",West Rangamatia,23.817895399999998,86.8925192,ChIJswrH593f9jkR_Lzp5cn8W2Y,https://www.google.com/maps/place/?q=place_id:ChIJswrH593f9jkR_Lzp5cn8W2Y,part_320,2026-09-20 20:17:21
Infinity Foundation Classes,Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 80169 93963,N/A,4.6,13.0,"R7 market, Amaladehi, Chittaranjan, West Bengal 713331",Amaladehi,23.8454931,86.8912878,ChIJGa7g59fZ9jkRABUptouDe1g,https://www.google.com/maps/place/?q=place_id:ChIJGa7g59fZ9jkRABUptouDe1g,part_320,2026-09-20 20:17:21
"SAGAR COACHING CENTRE, MIHIJAM",Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 80847 08900,N/A,4.9,29.0,"Rd Number 1, Krishna Nagar, Mihijam, Jharkhand 815354",Krishna Nagar,23.859524399999998,86.87648709999999,ChIJEf5XGsfZ9jkRg2fuZtn4p4A,https://www.google.com/maps/place/?q=place_id:ChIJEf5XGsfZ9jkRg2fuZtn4p4A,part_320,2026-09-20 20:17:21
(DSK)DEBGYAN SIKSHA KENDRA,Tuition Center,Coaching Center,Coaching Center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 99321 49281,https://www.dsklearning.in/,4.9,62.0,"Bartaria Village, Burnpur, Asansol, West Bengal 713326","Bartaria Village, Burnpur",23.6910691,86.92180809999999,ChIJ_4uabuQf9zkRMUz_MJlpKKM,https://www.google.com/maps/place/?q=place_id:ChIJ_4uabuQf9zkRMUz_MJlpKKM,part_320,2026-09-20 20:17:22
SHARMA TUITION CENTRE,Tuition Center,Education center,Education center,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 92798 40063,N/A,5.0,1.0,"Gourangdi, Asansol, West Bengal 713315",713335,23.8152926,86.9805184,ChIJLfXyeHAh9zkRE87NDiBzDIc,https://www.google.com/maps/place/?q=place_id:ChIJLfXyeHAh9zkRE87NDiBzDIc,part_320,2026-09-20 20:17:22
