business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Officiis International,CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer security service, Computer support and services, Security guard service, Closed circuit television, Security system supplier",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 94319 80031,https://sites.google.com/view/officiisindia/home?authuser=3,5.0,8.0,"P.O, near Main Gate, Maithon, Amtalla, Maithon, Jharkhand 828207",Amtalla,23.7734998,86.79752769999999,ChIJy1-UUyLd9jkRM1RHuQT3BoM,https://www.google.com/maps/place/?q=place_id:ChIJy1-UUyLd9jkRM1RHuQT3BoM,part_320,2026-09-20 20:17:24
Advance Placement & Security Services,CCTV Installation and Security System,Security service,Security service,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 96095 86867,N/A,4.8,20.0,"Badamtala, Natunpally, Nutanpally, West Bengal 713103",Badamtala,23.236548199999998,87.874066,ChIJB8Z55rlJ-DkRvv2TDMDYEmc,https://www.google.com/maps/place/?q=place_id:ChIJB8Z55rlJ-DkRvv2TDMDYEmc,part_320,2026-09-20 20:17:24
KR Tech & Security Systems,CCTV Installation and Security System,Security system supplier,"Security system supplier, Automation company, Electrician, Security guard service, Security system installation service, Solar Energy Company, Solar energy equipment supplier",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 95669 55668,https://www.krtechsolutions.in/,5.0,33.0,"no.15/5, Kamakshi nagar, behind BDO office, Walajapet, Tamil Nadu 632513",713335,12.931336499999999,79.3662484,ChIJuRYcYfo1rTsRzlhZB1UNc7o,https://www.google.com/maps/place/?q=place_id:ChIJuRYcYfo1rTsRzlhZB1UNc7o,part_320,2026-09-20 20:17:24
Alive security & service,CCTV Installation and Security System,Security guard service,"Security guard service, Tax consultant",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 73650 28122,N/A,4.4,52.0,"more, Asansol, near Ningha Road, Nigha, West Bengal 713370",713335,23.6704859,87.03444619999999,ChIJy4atRRgZ9zkRCfEfGPU2v6I,https://www.google.com/maps/place/?q=place_id:ChIJy4atRRgZ9zkRCfEfGPU2v6I,part_320,2026-09-20 20:17:24
Top Eye Security & Facility Management Services,CCTV Installation and Security System,Security service,Security service,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 82505 54316,https://www.facebook.com/Topeye.s.s/,4.5,15.0,"Dewandighi, near Bamdeb Hotel, Burdwan, Mirzapur, West Bengal 713407",713335,23.281107799999997,87.8779374,ChIJgbWkMmVJ-DkRup-0vXR21WE,https://www.google.com/maps/place/?q=place_id:ChIJgbWkMmVJ-DkRup-0vXR21WE,part_320,2026-09-20 20:17:24
GENIUS SECURITY SERVICES,CCTV Installation and Security System,Security guard service,Security guard service,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,http://www.geniussecurityservices.in/,3.8,5.0,"Chittaranjan - Neamatpur Rd, beside daddy ground, Kulti, neamatpur, West Bengal 713357",713335,23.7885354,86.8696538,ChIJI_OJmW3f9jkRJOuLKSHwBM0,https://www.google.com/maps/place/?q=place_id:ChIJI_OJmW3f9jkRJOuLKSHwBM0,part_320,2026-09-20 20:17:24
EX-SERVICEMAN SECURITY SERVICE,CCTV Installation and Security System,Security service,Security service,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 81700 62475,N/A,4.3,10.0,"near, Greenland Nursing Home Rd, Keshabganj Chatti, Khagragorh, Bardhaman, West Bengal 713104","Keshabganj Chatti, Khagragorh",23.2598319,87.8445965,ChIJiVvpIhs2-DkRvSQJcNmNNL4,https://www.google.com/maps/place/?q=place_id:ChIJiVvpIhs2-DkRvSQJcNmNNL4,part_320,2026-09-20 20:17:24
Defend Security Service,CCTV Installation and Security System,Security service,Security service,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 96411 86821,N/A,5.0,6.0,"NH 2, near Nilkantha Bhaban, Galsi, West Bengal 713406",East Galsi,23.3368552,87.6946531,ChIJaXpSJbQt-DkRnLTrxo46mPo,https://www.google.com/maps/place/?q=place_id:ChIJaXpSJbQt-DkRnLTrxo46mPo,part_320,2026-09-20 20:17:24
ABHISHEK INFO ON SERVICES,CCTV Installation and Security System,Computer security service,"Computer security service, Internet cafe, Computer support and services",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,,,"SHOP NO 2, TITAS APARTMENT, Grand Trunk Rd, SOUTH, Gopalpur, Asansol, West Bengal 713304","SOUTH, Gopalpur",23.700018699999998,86.9339364,ChIJQRzrGwAf9zkRlwm7RaGsKJQ,https://www.google.com/maps/place/?q=place_id:ChIJQRzrGwAf9zkRlwm7RaGsKJQ,part_320,2026-09-20 20:17:24
I-SPY SECURITY SOLUTION,CCTV Installation and Security System,Security system supplier,"Security system supplier, Security system installation service",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 70034 58886,http://www.ispysecurity.in/,4.8,123.0,"RUPNAGAR, near KALI TEMPLE PO & PS, Rajpur Sonarpur, Kolkata, West Bengal 700150",Arabinda Nagar,22.445120199999998,88.4429317,ChIJ1-upLotyAjoR0gxF2WTQkc0,https://www.google.com/maps/place/?q=place_id:ChIJ1-upLotyAjoR0gxF2WTQkc0,part_320,2026-09-20 20:17:24
MSA SECURITY SOLUTIONS SHANKARPALLY,CCTV Installation and Security System,Security system installation service,Security system installation service,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 93810 25948,N/A,5.0,107.0,"Hyderabad mokila road, Shankarpalli - Hyderabad Rd, above balaji wines, Shankarpalle, Telangana 501203",713335,17.4534154,78.1441723,ChIJ89nbGpTvyzsR1mqYJl17K8Y,https://www.google.com/maps/place/?q=place_id:ChIJ89nbGpTvyzsR1mqYJl17K8Y,part_320,2026-09-20 20:17:24
"Security system & solution , cctv camera",CCTV Installation and Security System,Security system installation service,Security system installation service,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 99844 78494,N/A,5.0,5.0,"H. No. 10, road, ginni nagar, Gaura Chawki, babhnan, Uttar Pradesh 271312",ginni nagar,27.0616219,82.480936,ChIJhzb_r4RLlzkRT9lgjCx4xFk,https://www.google.com/maps/place/?q=place_id:ChIJhzb_r4RLlzkRT9lgjCx4xFk,part_320,2026-09-20 20:17:24
nt smart security solutions,CCTV Installation and Security System,Security system installation service,Security system installation service,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 98425 08725,http://www.ntsmartsoft.com/,5.0,123.0,"1 st floor, of Prem Electronics, 14, Saravana Theatre Rd, near the Chennai Mobiles, Gobichettipalayam, Tamil Nadu 638476",713335,11.455345399999999,77.4382242,ChIJH7fFXiM9qTsRxZONZrRwfzs,https://www.google.com/maps/place/?q=place_id:ChIJH7fFXiM9qTsRxZONZrRwfzs,part_320,2026-09-20 20:17:24
