business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Eco village,Property Developers,Real estate developer,"Real estate developer, Real Estate Builders & Construction Company",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,https://www.facebook.com/profile.php?id=61584191211121,4.9,31.0,"Eco Village, Katwa - Bardhaman Rd, Bardhaman, Malkita, West Bengal 713407",713335,23.3072661,87.8849388,ChIJdUTQjxdL-DkR1XjX4JEbYJA,https://www.google.com/maps/place/?q=place_id:ChIJdUTQjxdL-DkR1XjX4JEbYJA,part_320,2026-09-20 20:17:28
Sanjib paramanik,Property Developers,Housing development,Housing development,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,3.0,1.0,"RW33+8PV, Asansol, Achhra, West Bengal 713335",713335,23.8033747,86.9042983,ChIJL96-LnIh9zkRZun2pIdAzG0,https://www.google.com/maps/place/?q=place_id:ChIJL96-LnIh9zkRZun2pIdAzG0,part_320,2026-09-20 20:17:28
Archana Villa,Property Developers,Housing development,Housing development,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,1.0,"RV9F+58V, Muchidi, West Bengal 713335",713335,23.8179755,86.8732843,ChIJe5-A7Ejf9jkRdmFzRYUReUQ,https://www.google.com/maps/place/?q=place_id:ChIJe5-A7Ejf9jkRdmFzRYUReUQ,part_320,2026-09-20 20:17:28
Manik Mangala Residency,Property Developers,Housing development,Housing development,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.0,6.0,"RW53+Q6H, Rupnarayanpur - Panuria Rd, Chittaranjan, West Bengal 713335",713335,23.809434099999997,86.90311009999999,ChIJ828V8XUh9zkRFL9KBI9wDI8,https://www.google.com/maps/place/?q=place_id:ChIJ828V8XUh9zkRFL9KBI9wDI8,part_320,2026-09-20 20:17:28
Haludkanali,Property Developers,Housing development,Housing development,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,1.0,"Mondal House, Po, Vill-Haludkanali, Rupnarayanpur, Chittaranjan, West Bengal 713335",Vill-Haludkanali,23.8158063,86.9083213,ChIJQ4llfQAh9zkRc1DGMlyNMwU,https://www.google.com/maps/place/?q=place_id:ChIJQ4llfQAh9zkRc1DGMlyNMwU,part_320,2026-09-20 20:17:28
SHINGHANIA HOUSE,Property Developers,Housing society,Housing society,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,1.0,"QVRH+CJ4, Jemari - Basudevpur Rd, Basudebpur, West Bengal 713335",713335,23.791004899999997,86.8790708,ChIJgdvBmxjf9jkRtEILmMsRob8,https://www.google.com/maps/place/?q=place_id:ChIJgdvBmxjf9jkRtEILmMsRob8,part_320,2026-09-20 20:17:28
Prantapally,Property Developers,Housing society,Housing society,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.0,1.0,"RWC7+M56, Kusumkanali, Chittaranjan, West Bengal 713335",713335,23.8208225,86.9136633,ChIJ0YPQeAAh9zkRR7DO-oYTeoM,https://www.google.com/maps/place/?q=place_id:ChIJ0YPQeAAh9zkRR7DO-oYTeoM,part_320,2026-09-20 20:17:28
ECO VILLAGE,Property Developers,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 62944 78311,N/A,,,"NH-19, Kanyapur, Asansol, West Bengal 713305",Kanyapur,23.716300999999998,86.95250759999999,ChIJ_d0rGsgf9zkRnWx3Nyu-8_E,https://www.google.com/maps/place/?q=place_id:ChIJ_d0rGsgf9zkRnWx3Nyu-8_E,part_320,2026-09-20 20:17:28
"Housing Development, Vrindaban Residential plot",Property Developers,Housing development,Housing development,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 90465 91573,N/A,,,"QWX5+2MG, Dabar, West Bengal 713335",713335,23.7975744,86.9091979,ChIJK5G2zPIh9zkRAAaM_rXg3_Y,https://www.google.com/maps/place/?q=place_id:ChIJK5G2zPIh9zkRAAaM_rXg3_Y,part_320,2026-09-20 20:17:28
Pradip Home,Property Developers,Housing society,Housing society,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,1.0,"RW7F+9GV Chayan our, Manahara, West Bengal 713335",713335,23.8134795,86.92378769999999,ChIJ07Efb1Qh9zkRzS4RRbmGLUU,https://www.google.com/maps/place/?q=place_id:ChIJ07Efb1Qh9zkRzS4RRbmGLUU,part_320,2026-09-20 20:17:28
SINGH NIWASH,Property Developers,Housing development,Housing development,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,,"Unnamed Road, Asansol, Kanyapur B, West Bengal 713341",713335,23.732727999999998,86.9467313,ChIJG5hrdvEf9zkRi-hlLYj2Mfo,https://www.google.com/maps/place/?q=place_id:ChIJG5hrdvEf9zkRi-hlLYj2Mfo,part_320,2026-09-20 20:17:28
