business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dolon Ladies And Gift Corner,Gifting,Gift shop,Gift shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 89275 86581,N/A,5.0,1.0,"Dabar, West Bengal 713335",713335,23.8053767,86.9172766,ChIJ1zw64L0g9zkRE64irOX2GT8,https://www.google.com/maps/place/?q=place_id:ChIJ1zw64L0g9zkRE64irOX2GT8,part_320,2026-09-20 20:17:19
Roop Darpan,Gifting,Gift shop,Gift shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 98004 78518,N/A,4.9,105.0,"Grand Trunk Rd, JP Market, Asansol, Neamatpur, West Bengal 713359",JP Market,23.7169801,86.8795693,ChIJ46XPqFvh9jkRqMHxIuWHekg,https://www.google.com/maps/place/?q=place_id:ChIJ46XPqFvh9jkRqMHxIuWHekg,part_320,2026-09-20 20:17:19
LAXMI VARIETY STORES,Gifting,Gift shop,Gift shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,5.0,1.0,"Daskeary, Asansol, West Bengal 713315",713335,23.8398996,86.9751,ChIJy6w3Mfkn9zkRhcG9avyICfo,https://www.google.com/maps/place/?q=place_id:ChIJy6w3Mfkn9zkRhcG9avyICfo,part_320,2026-09-20 20:17:19
Hot Zone,Gifting,Gift shop,Gift shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 89189 98822,N/A,4.9,12.0,"Sataisa Road, near Muslim Free Primary School, Old Sitarampur, Sitarampur Rd, Asansol, West Bengal 713359",713335,23.7161261,86.90686079999999,ChIJF19foKYf9zkR3nHA7cY8ZaQ,https://www.google.com/maps/place/?q=place_id:ChIJF19foKYf9zkR3nHA7cY8ZaQ,part_320,2026-09-20 20:17:19
TULIP GIFTERY,Gifting,Gift shop,Gift shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 81160 19946,N/A,5.0,1.0,"HCL Rd, Rupnarayanpur, Benagarya, West Bengal 713386",713335,23.816950499999997,86.8884073,ChIJSe1jEADf9jkRcxycjbNtLSo,https://www.google.com/maps/place/?q=place_id:ChIJSe1jEADf9jkRcxycjbNtLSo,part_320,2026-09-20 20:17:19
MUSTAKIM LIGHT AND GIFT CENTRE,Gifting,Gift shop,Gift shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 95930 82787,N/A,5.0,1.0,"Jemari - Basudevpur Rd, near Rali Gate, Jemari, Ramdi, West Bengal 713335",713335,23.800893799999997,86.87448169999999,ChIJwxZvieXf9jkR9p90JQDmop4,https://www.google.com/maps/place/?q=place_id:ChIJwxZvieXf9jkR9p90JQDmop4,part_320,2026-09-20 20:17:19
Ishika Sports & Gift House,Gifting,Gift shop,Gift shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 82503 56347,N/A,4.3,4.0,"Neatmatpur, Lithuria Rd, Asansol, Neamatpur, West Bengal 713359",713335,23.713230199999998,86.8772498,ChIJPyv9zlfh9jkRmwZrStcQdAg,https://www.google.com/maps/place/?q=place_id:ChIJPyv9zlfh9jkRmwZrStcQdAg,part_320,2026-09-20 20:17:19
Home Craft,Gifting,Gift shop,"Gift shop, Artificial plant supplier, Countertop store, Glassware store, Toy store",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 97496 42635,N/A,4.3,13.0,"Mahabir Colony, East Rangamatia, Rupnarayanpur, Chittaranjan, West Bengal 713386","Mahabir Colony, East Rangamatia",23.8122667,86.8918486,ChIJV9WiMn7f9jkRwYXGBiEwANY,https://www.google.com/maps/place/?q=place_id:ChIJV9WiMn7f9jkRwYXGBiEwANY,part_320,2026-09-20 20:17:19
Tipu Store,Gifting,Gift shop,Gift shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 80164 88020,N/A,5.0,1.0,"Taharam, Lithuria Rd, near Hanuman Mandir, Neamatpur, Asansol, West Bengal 713359",713335,23.712212599999997,86.87687,ChIJt8VVFgDh9jkRdyABwHOh-48,https://www.google.com/maps/place/?q=place_id:ChIJt8VVFgDh9jkRdyABwHOh-48,part_320,2026-09-20 20:17:19
UNICRAFTY,Gifting,Gift shop,Gift shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,https://unicrafty.com/,,,"SALANPUR, MORE, B, Alladi, Jemari, West Bengal 713335","MORE, B",23.808531199999997,86.8749599,ChIJRWoAzzLf9jkRhcqWQ2nXXD0,https://www.google.com/maps/place/?q=place_id:ChIJRWoAzzLf9jkRhcqWQ2nXXD0,part_320,2026-09-20 20:17:19
