business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
New Government Junior College and Degree College,Junior College and Degree College,Junior college,"Junior college, Government college",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,N/A,4.2,,"Oppsite, Anusha Granites, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4810801,78.41537,ChIJxfEBIaWRyzsRVo-RliSGy5Y,https://www.google.com/maps/place/?q=place_id:ChIJxfEBIaWRyzsRVo-RliSGy5Y,part_312,2026-09-20 20:17:25,3665
Sri Medhavi Junior College,Junior College and Degree College,Junior college,Junior college,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 96402 22223,https://www.srimedhavi.com/,4.4,,"8-7-5/6, Sri Mukhi Complex, Nagarjuna Sagar Rd, Hasthinapuram Central, Hastinapuram, Hyderabad, Telangana 500079","Shirdi Sai Nagar, Hasthinapuram Central, Laxmi Narashima Puram Colony, Hastinapuram",17.3291589,78.5538369,ChIJ5WyIkA-iyzsR-6Lm8qY2GRQ,https://www.google.com/maps/place/?q=place_id:ChIJ5WyIkA-iyzsR-6Lm8qY2GRQ,part_312,2026-09-20 20:17:25,3666
PGR JUNIOR COLLEGE,Junior College and Degree College,College,College,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 91000 97077,https://pgrjuniorcollege.com/,4.7,,"6-2/271/A, opp. BJP Office Road, M J Colony, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","M J Colony, Vivek Nagar, Kukatpally",17.4825038,78.4135866,ChIJoY3EkbeRyzsRYqagE9ivxF8,https://www.google.com/maps/place/?q=place_id:ChIJoY3EkbeRyzsRYqagE9ivxF8,part_312,2026-09-20 20:17:25,3667
Akshara Junior College,Junior College and Degree College,Junior college,Junior college,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 91001 08310,http://aksharajuniorcollege.com/,4.0,,"8-7-91/115/43P, near B.D. Reddy Gadens, Phase 4, Teachers Colony, B.N Reddy Nagar, Hyderabad, Telangana 500079","Phase 4, Teachers Colony, B.N Reddy Nagar",17.323518699999997,78.5574986,ChIJVVVVFRaiyzsRbyVycjlO9vE,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFRaiyzsRbyVycjlO9vE,part_312,2026-09-20 20:17:25,3668
Sri Saraswathi Junior College,Junior College and Degree College,Junior college,"Junior college, After school program, Educational institution",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 91334 44771,https://ssaraswathi.com/?utm_source=gmb&utm_medium=hp,4.9,,"Sri Saraswathi Junior College, 8-2-609/M, Rd Number 11, near Minerva Grand Hotel, opposite Dawood Jung Valley, Gaffar Khan Colony, Banjara Hills, Hyderabad, Telangana 500034","Gaffar Khan Colony, Banjara Hills",17.4138257,78.4427396,ChIJRRX7WguXyzsRZefWxSZVur0,https://www.google.com/maps/place/?q=place_id:ChIJRRX7WguXyzsRZefWxSZVur0,part_312,2026-09-20 20:17:25,3669
Avinash College of Commerce (Degree) - KPHB,Junior College and Degree College,Educational institution,Educational institution,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 99492 22244,https://acc.edu.in/kukatpally-degree-branch/,4.5,,"53 & 54, ACC Towers, Plot No. 21, Usha Mullapudi Rd, behind South India Shopping Mall, Kukatpally Housing Board Colony, A.S.Raju Nagar, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Kukatpally Housing Board Colony, A.S.Raju Nagar, Vivekananda Nagar, Kukatpally",17.4936836,78.40468369999999,ChIJv7hHuZSRyzsRgyRSNhnq26w,https://www.google.com/maps/place/?q=place_id:ChIJv7hHuZSRyzsRgyRSNhnq26w,part_312,2026-09-20 20:17:25,3670
"Government Degree College, Kukatpally",Junior College and Degree College,College,College,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,https://gdcts.cgg.gov.in/kukatpally.edu,4.1,,"FCJ8+J67, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4815298,78.4155518,ChIJSf8GhpiRyzsR_yUB8t-DFmw,https://www.google.com/maps/place/?q=place_id:ChIJSf8GhpiRyzsR_yUB8t-DFmw,part_312,2026-09-20 20:17:25,3671
Jahnavi Degree & PG College Near boduppal kaman,Junior College and Degree College,College,College,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 94903 17027,http://jahnavicolleges.com/,4.0,,"Sri Sai Nagar Colony, Medipally, Peerzadiguda, Medipally, Hyderabad, Telangana 500098","Sri Sai Nagar Colony, Medipally, Peerzadiguda",17.406499999999998,78.60815649999999,ChIJASDtDGyfyzsRa7oM1WwTqrk,https://www.google.com/maps/place/?q=place_id:ChIJASDtDGyfyzsRa7oM1WwTqrk,part_312,2026-09-20 20:17:25,3672
CMS Commerce Junior College - JNTU,Junior College and Degree College,College,College,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 97011 00339,http://cmsforca.in/,4.2,,"Sy No 145 (Part, H No: 32/17,18, 23 & 24, Sardar Patel Nagar Rd, Hydernagar, Nizampet, Hyderabad, Telangana 500085","Kukatpally Housing Board Colony, Hydernagar, Nizampet",17.497927,78.3887621,ChIJgQ_opvaRyzsR7w5UXGLyOCQ,https://www.google.com/maps/place/?q=place_id:ChIJgQ_opvaRyzsR7w5UXGLyOCQ,part_312,2026-09-20 20:17:25,3673
Royal Junior College,Junior College and Degree College,Junior college,Junior college,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 40 2370 1130,http://www.royalcolleges.in/,4.1,,"No. 14/3RT, Opp Andhra Bank, Sanjeeva Reddy Nagar Road, Sanjeeva Reddy Nagar, Hyderabad, Telangana 500038","Sanjeeva Reddy Nagar Office Area, Sanjeeva Reddy Nagar",17.442288599999998,78.4423139,ChIJryAFo8SQyzsR-1rbDZJyoQQ,https://www.google.com/maps/place/?q=place_id:ChIJryAFo8SQyzsR-1rbDZJyoQQ,part_312,2026-09-20 20:17:25,3674
Gauthami Junior & Degree College,Junior College and Degree College,College,College,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 91821 57802,https://www.gauthami.in/,3.8,180.0,"H.No. 5-1-44, Behind, BJP Office Rd, Kukatpally, Hyderabad, Telangana 500072","Shanthi Nagar, Kukatpally",17.483274899999998,78.4147582,ChIJVx-6SNyRyzsRnuAvzxZC9ks,https://www.google.com/maps/place/?q=place_id:ChIJVx-6SNyRyzsRnuAvzxZC9ks,part_312,2026-09-20 20:17:26,3675
University of Kerala Karyavattom Campus,Junior College and Degree College,University,University,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 91885 26671,http://keralauniversity.ac.in/,4.4,1813.0,"Salem - Kochi - Kanyakumari Hwy, Karyavattom, Thiruvananthapuram, Keralam 695581",695586,8.5645968,76.8851597,ChIJp5Hft-O-BTsRd4gPkyZK_Vs,https://www.google.com/maps/place/?q=place_id:ChIJp5Hft-O-BTsRd4gPkyZK_Vs,part_312,2026-09-20 20:18:13,6591
Saraswathi College of Arts and Science,Junior College and Degree College,College,College,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 471 228 8838,http://www.saraswathicollege.edu.in/,4.0,155.0,"G2MP+887, Vilappilsala, Keralam 695573",695586,8.5332759,77.0357844,ChIJxeeuwDW3BTsRtPAt5NRR87s,https://www.google.com/maps/place/?q=place_id:ChIJxeeuwDW3BTsRtPAt5NRR87s,part_312,2026-09-20 20:18:13,6592
Pragathi Junior College,Junior College and Degree College,College,College,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 99496 24412,http://www.pragathicolleges.com/,3.6,77.0,"5-2-4/2/1, Bagh Ameer, Sumitra Nagar Colony, Kukatpally, Hyderabad, Telangana 500072","Bagh Ameer, Sumitra Nagar Colony, Kukatpally",17.485411499999998,78.41250699999999,ChIJy3ZOeLyRyzsR9DK4x14mNk4,https://www.google.com/maps/place/?q=place_id:ChIJy3ZOeLyRyzsR9DK4x14mNk4,part_312,2026-09-20 20:18:14,6593
Pragathi Degree college,Junior College and Degree College,College,College,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 98494 84835,N/A,3.7,353.0,"padmavati palaza, near Kalamandir Lane, Bhagya Nagar Colony, Kukatpally, Hyderabad, Telangana 500072","Bhagya Nagar Colony, Kukatpally",17.4963998,78.4014333,ChIJ59EHh-uRyzsR3QThZIn3fKo,https://www.google.com/maps/place/?q=place_id:ChIJ59EHh-uRyzsR3QThZIn3fKo,part_312,2026-09-20 20:18:14,6594
Co-operative Training College Kerala,Junior College and Degree College,College,"College, University",695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 471 243 6689,https://scu.kerala.gov.in/colleges.php,4.3,68.0,"Cooperative Training College, Vikramapuram Hill Rd, near Sun Tec, Kuravankonam, Thiruvananthapuram, Keralam 695004",Kuravankonam,8.5235162,76.9490469,ChIJwZ6p5Ni7BTsRlRS_6dWvLcY,https://www.google.com/maps/place/?q=place_id:ChIJwZ6p5Ni7BTsRlRS_6dWvLcY,part_312,2026-09-20 20:18:14,6595
Government College Kariavattom,Junior College and Degree College,Government college,"Government college, College",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 471 241 7112,https://govtcollegekariavattom.ac.in/,4.2,,"Karyavattom, Thiruvananthapuram, Keralam 695581",Karyavattom,8.5710975,76.8874897,ChIJmbwUDhy_BTsRGVnuzPAxFhs,https://www.google.com/maps/place/?q=place_id:ChIJmbwUDhy_BTsRGVnuzPAxFhs,part_312,2026-09-20 20:18:56,8820
"All Saints' College, Trivandrum",Junior College and Degree College,Women's College,Women's College,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 471 250 1153,N/A,4.2,,"Veli - Perumathura Rd, Karikkakam, Thiruvananthapuram, Keralam 695007",Karikkakam,8.4967693,76.9095044,ChIJL8pddHG8BTsRpep-UWfid8k,https://www.google.com/maps/place/?q=place_id:ChIJL8pddHG8BTsRpep-UWfid8k,part_312,2026-09-20 20:18:56,8821
SN College Chempazhanthy,Junior College and Degree College,College,College,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 471 259 2077,http://www.sncollegechempazhanthy.ac.in/,4.0,,"College Rd, Chempazhanthy, Thiruvananthapuram, Keralam 695587",Chempazhanthy,8.5680578,76.91013439999999,ChIJuYQnmCm_BTsRJMCekopFrkM,https://www.google.com/maps/place/?q=place_id:ChIJuYQnmCm_BTsRJMCekopFrkM,part_312,2026-09-20 20:18:57,8822
Mar Ivanios College,Junior College and Degree College,College,College,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,N/A,http://www.marivanioscollege.ac.in/,4.4,,"Bethany Hills, Mar Ivanios College Rd, Thiruvananthapuram, Keralam 695015",695587,8.5490219,76.9410116,ChIJCeKCyz-5BTsRbY2rHgTzlE8,https://www.google.com/maps/place/?q=place_id:ChIJCeKCyz-5BTsRbY2rHgTzlE8,part_312,2026-09-20 20:18:57,8823
National College,Junior College and Degree College,Junior college,"Junior college, Community college, Faculty of science, College, Private College, University",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 471 351 1431,https://ncas.edu.in/,4.0,,"National Nagar Rd, National Nagar, Kallattumukku, Thiruvananthapuram, Keralam 695009","National Nagar, Kallattumukku",8.4585317,76.9530128,ChIJhRmi8Ty7BTsRQr9_-p_G0Xc,https://www.google.com/maps/place/?q=place_id:ChIJhRmi8Ty7BTsRQr9_-p_G0Xc,part_312,2026-09-20 20:18:57,8824
University College Thiruvananthapuram,Junior College and Degree College,Government college,Government college,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 471 247 5830,http://www.universitycollege.ac.in/,4.5,,"Mahatma Gandhi Rd, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Keralam 695034","University of Kerala Senate House Campus, Palayam",8.5016722,76.9488796,ChIJJy9lAqS7BTsRIVB_kktM50s,https://www.google.com/maps/place/?q=place_id:ChIJJy9lAqS7BTsRIVB_kktM50s,part_312,2026-09-20 20:18:57,8825
Bethany College,Junior College and Degree College,College,"College, Training center",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 82899 66152,N/A,4.0,,"GWWV+898, MC Rd, Nalanchira, unction, Thiruvananthapuram, Keralam 695015","Nalanchira, unction",8.5457754,76.9434601,ChIJb94KIWu5BTsRgH8aNpMWzWk,https://www.google.com/maps/place/?q=place_id:ChIJb94KIWu5BTsRgH8aNpMWzWk,part_312,2026-09-20 20:18:57,8826
St Jacob Training College,Junior College and Degree College,College,College,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 471 270 4251,http://www.stjacobsbed.ac.in/,4.3,,"X1v/8, Kazhakuttom Rd, Arattuvazhy, Menamkulam, Thiruvananthapuram, Keralam 695582","Arattuvazhy, Menamkulam",8.559717,76.8583017,ChIJ_____06-BTsRcsMSsRaavss,https://www.google.com/maps/place/?q=place_id:ChIJ_____06-BTsRcsMSsRaavss,part_312,2026-09-20 20:18:57,8827
"Government College, Attingal",Junior College and Degree College,Government college,Government college,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 91889 00157,N/A,4.0,,"MRW9+CHR, Attingal, Keralam 695101",695587,8.6962669,76.8199765,ChIJP2mbM_npBTsR2NyQCrE4U9c,https://www.google.com/maps/place/?q=place_id:ChIJP2mbM_npBTsR2NyQCrE4U9c,part_312,2026-09-20 20:18:57,8828
College of Engineering Trivandrum (CET),Junior College and Degree College,College,"College, Engineering school, Government college",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 471 299 8310,https://www.cet.ac.in/,4.6,,"Ambady Nagar, Sreekaryam, Thiruvananthapuram, Keralam 695016","Ambady Nagar, Sreekaryam",8.545851299999999,76.9063407,ChIJGcVBlce-BTsReDf7qrVOMpg,https://www.google.com/maps/place/?q=place_id:ChIJGcVBlce-BTsReDf7qrVOMpg,part_312,2026-09-20 20:18:57,8829
"BJ Arts & Science College, Mulayara",Junior College and Degree College,College,College,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 472 288 2266,http://bjcsicollege.org/,4.0,,"G3R2+7QC, Mulayara, Vilappilsala, Perumkulam, Keralam 695543",Mulayara,8.5406999,77.0518854,ChIJYcSQFia3BTsRnH1qJI9hlMA,https://www.google.com/maps/place/?q=place_id:ChIJYcSQFia3BTsRnH1qJI9hlMA,part_312,2026-09-20 20:18:57,8830
St. Xavier's Community College,Junior College and Degree College,Business related,Business related,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 471 257 5655,N/A,5.0,,"FWPH+MMC, Manava Nagar, Eanchakkal, Thiruvananthapuram, Keralam 695024","Manava Nagar, Eanchakkal",8.486678999999999,76.92913829999999,ChIJSYudRIO7BTsRYJjgNOVUQ6E,https://www.google.com/maps/place/?q=place_id:ChIJSYudRIO7BTsRYJjgNOVUQ6E,part_312,2026-09-20 20:18:57,8831
Sri Ram Junior And Degree College,Junior College and Degree College,College,College,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 90001 04086,N/A,4.2,6.0,"44, Telephone Colony Main Rd, Gayatri Vihar, Margadarshi Colony, Kothapet, Hyderabad, Telangana 500102","Gayatri Vihar, Margadarshi Colony, Kothapet",17.3698563,78.5476651,ChIJkTuLmMOYyzsRwJcGcCpTV2g,https://www.google.com/maps/place/?q=place_id:ChIJkTuLmMOYyzsRwJcGcCpTV2g,part_312,2026-09-20 20:18:57,8832
Pragathi junior college girls,Junior College and Degree College,College,College,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,N/A,N/A,4.5,26.0,"FCR5+G83, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivekananda Nagar, Kukatpally",17.4912729,78.4082907,ChIJnSeOHOSRyzsR52XIzcBxy8g,https://www.google.com/maps/place/?q=place_id:ChIJnSeOHOSRyzsR52XIzcBxy8g,part_312,2026-09-20 20:18:57,8833
Mahatma Gandhi College,Junior College and Degree College,College,College,695588,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Powdikonam,+91 471 254 1039,http://mgcollegetvm.ac.in/,4.4,,"GWJV+R6M, Pattom P.O, Sree Nagar, Kesavadasapuram, Thiruvananthapuram, Keralam 695004","Pattom P.O, Sree Nagar, Kesavadasapuram",8.5320843,76.9430605,ChIJq6qqal65BTsRaRvFcrLXj6M,https://www.google.com/maps/place/?q=place_id:ChIJq6qqal65BTsRaRvFcrLXj6M,part_312,2026-09-20 20:19:38,10460
