business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Digital Seva Common Service Centre - CSC Mudavanmughal,Common Service Center (CSC) / E-Seva,Internet service provider,"Internet service provider, Bank, Digital printer, Central Government Office, Information services, Non-governmental organization, Railway services, Shopping mall",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 87143 00143,N/A,4.9,,"Digital Seva Common Service Centre - CSC Mudavanmughal TC 19/742(1 Nellivila Near SK Honda Point Mudavanmughal Junction, PO, Poojapura, Thiruvananthapuram, Keralam 695012","Mudavanmugal, Shastri Nagar, Poojapura",8.4866817,76.9833841,ChIJ233XfCS7BTsRWoEVgeUnrtE,https://www.google.com/maps/place/?q=place_id:ChIJ233XfCS7BTsRWoEVgeUnrtE,part_312,2026-09-20 20:17:27,4065
CSC AADHAAR SEVA KENDRA TRIVANDRUM,Common Service Center (CSC) / E-Seva,Aadhaar center,"Aadhaar center, Corporate office",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 70632 11767,N/A,4.4,,"GENERAL HOSPITAL JUNCTION, DEEPA ARCADE, Convent Rd, Palayam, Thiruvananthapuram, Keralam 695001",Palayam,8.4985284,76.9436372,ChIJAwdbYH-7BTsReq4fc4R9FbU,https://www.google.com/maps/place/?q=place_id:ChIJAwdbYH-7BTsReq4fc4R9FbU,part_312,2026-09-20 20:17:27,4066
DIGITAL SEVA COMMON SERVICE CENTRE (CSC),Common Service Center (CSC) / E-Seva,Passport Agent,Passport Agent,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 79077 22160,N/A,4.8,,"SJS DENTAL CLINIC, opposite Winners Nagar, Vazhayila, PO, Peroorkada, Thiruvananthapuram, Keralam 695005","Vazhayila, PO, Peroorkada",8.5436622,76.9719983,ChIJp2K1ekO5BTsRtVf9YWrHLGM,https://www.google.com/maps/place/?q=place_id:ChIJp2K1ekO5BTsRtVf9YWrHLGM,part_312,2026-09-20 20:17:27,4067
Akshaya/CSC centre JANASEVANA KENDRAM sasthamangalam,Common Service Center (CSC) / E-Seva,Computer networking service,"Computer networking service, Airline ticket agency, Driver's license office, Local government office, Passport office, Train ticket office",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 80780 70117,N/A,3.1,34.0,"Bus stop, P O, Sasthamangalam Jct, near Akshaya Tower, Sasthamangalam, Thiruvananthapuram, Keralam 695010",Sasthamangalam,8.5129123,76.9722936,ChIJB6bBOga7BTsRrPNgSU8ZbNE,https://www.google.com/maps/place/?q=place_id:ChIJB6bBOga7BTsRrPNgSU8ZbNE,part_312,2026-09-20 20:17:28,4068
CSC CENTER - DIGITAL SEVA CENTRE - ONLINE SERVICE CENTER - INTERNET CENTER,Common Service Center (CSC) / E-Seva,State government office,State government office,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,N/A,4.1,8.0,"M6V8+CGF, Thalai Agraharam, Andhra Pradesh 517425",695585,12.6935507,78.2162972,ChIJN9ByKwDJrTsRydd-cM5dV-4,https://www.google.com/maps/place/?q=place_id:ChIJN9ByKwDJrTsRydd-cM5dV-4,part_312,2026-09-20 20:17:28,4069
CSC WILSON GARDEN,Common Service Center (CSC) / E-Seva,Social welfare center,"Social welfare center, Internet cafe, Internet shop, Money transfer service, Passport Agent",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,N/A,5.0,10.0,"375/34, 6th Cross Rd, Vinayaka Nagar, NGO Colony, Wilson Garden, Bengaluru, Karnataka 560027","Vinayaka Nagar, NGO Colony, Wilson Garden",12.9507397,77.596386,ChIJ10zorpgVrjsRV-4aRwTKZB4,https://www.google.com/maps/place/?q=place_id:ChIJ10zorpgVrjsRV-4aRwTKZB4,part_312,2026-09-20 20:17:28,4070
Csc Registration,Common Service Center (CSC) / E-Seva,Institute of Geography and Statistics,Institute of Geography and Statistics,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 63713 91231,https://cscregister.csccloud.in/,3.0,4.0,"Khariar - Bhandarpuri Rd, Nuapada, Odisha 766107",695585,20.806127699999998,82.5366672,ChIJJfRH5MjnJToR-bkFJ3uU83Y,https://www.google.com/maps/place/?q=place_id:ChIJJfRH5MjnJToR-bkFJ3uU83Y,part_312,2026-09-20 20:17:28,4071
CSC DIGITAL SERVICE,Common Service Center (CSC) / E-Seva,Internet cafe,Internet cafe,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,N/A,5.0,5.0,"CSC Digital Service TC 50/25(3) karakkamandapam nemom, p.0, 695020, Thiruvananthapuram, Keralam 695020",695585,8.463515,76.9905952,ChIJ5W1eGTW7BTsRiV4EU_kmC5E,https://www.google.com/maps/place/?q=place_id:ChIJ5W1eGTW7BTsRiV4EU_kmC5E,part_312,2026-09-20 20:17:28,4072
"COMMON SERVICES CENTER (CSC),DIGITAL SEVA CENTER",Common Service Center (CSC) / E-Seva,Corporate office,Corporate office,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,N/A,5.0,1.0,"డిజిటల్ సేవ (కామన్ సర్వీసెస్ సెంటర్, Laxmi Communications, SBI Bank Road, Sarangpur, Telangana 504110",695585,19.2112575,78.25474969999999,ChIJZ5Jp2pgL0jsRHapXVrNF-wE,https://www.google.com/maps/place/?q=place_id:ChIJZ5Jp2pgL0jsRHapXVrNF-wE,part_312,2026-09-20 20:17:28,4073
Digital Seva - Common Service Centre,Common Service Center (CSC) / E-Seva,E-commerce service,"E-commerce service, Financial planner, Software company, Web hosting company, Website designer",695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 70118 69418,N/A,4.0,10.0,"CMC1 Tower, 004, Supertech Capetown, Sector 74, Noida, Uttar Pradesh 201316","Supertech Capetown, Sector 74",28.575528,77.39265619999999,ChIJq6qqqlbkDDkR3wfE4z7DTb4,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqlbkDDkR3wfE4z7DTb4,part_312,2026-09-20 20:17:28,4074
