business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ayurmeds Ayurvedic Pharmacy & Clinic,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Herbal medicine store",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 79802 05714,http://ayurmeds-ayurvedic-clinic.localo.site/,5.0,87,"PADMALAXMI APPARTMENT, BA 37/38, near PRAFULLAKANAN ELECTRIC OFFICE, Prafulla Kanan, Kestopur, KOL, Kolkata, West Bengal 700101","Prafulla Kanan, Kestopur",22.605878699999998,88.4226983,ChIJn5CBXIR1AjoRcF5tC6MrD2A,https://www.google.com/maps/place/?q=place_id:ChIJn5CBXIR1AjoRcF5tC6MrD2A,part_316,2026-09-20 20:17:07
"""Kolkata Ayurveda"" – Ayurvedic Medicine Store & Ayurvedic Doctor Clinic and Panchkarma centre.",Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative medicine practitioner, Diabetes center, Herbal medicine store, Naturopathic practitioner, Urology clinic, Wellness center",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 33 2418 0010,https://kolkata-ayurveda.grexa.site/,4.9,27,"6/21, near Axis Bank, Dhakuria, Sahid Nagar, Kolkata, West Bengal 700078","Dhakuria, Sahid Nagar",22.5024846,88.3815066,ChIJc_yHu8ZxAjoRrhL9PdW82Pk,https://www.google.com/maps/place/?q=place_id:ChIJc_yHu8ZxAjoRrhL9PdW82Pk,part_316,2026-09-20 20:17:07
Naturoveda Health World - Taratala,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Diabetologist, Health consultant, Holistic medicine practitioner, Medical Center, Pain management physician, Sexologist, Urology clinic",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 33 4040 1212,https://naturoveda.com/,4.6,458,"45, Ramtanu Lahiri Road, More, near Taratala, Block C, Kolkata, West Bengal 700053","Block C, New Alipore",22.512338399999997,88.3227407,ChIJFafLjAB6AjoRgbf-amlEYBg,https://www.google.com/maps/place/?q=place_id:ChIJFafLjAB6AjoRgbf-amlEYBg,part_316,2026-09-20 20:17:07
दांया आयुर्वेदिक चिकित्सा व पंचकर्म केंद्र,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.7,3,"J7W5+3QP, Piprali, Rajasthan 332027",711111,27.6452243,75.2594487,ChIJR9kyWQC5bDkR6UeHaVEIZgY,https://www.google.com/maps/place/?q=place_id:ChIJR9kyWQC5bDkR6UeHaVEIZgY,part_316,2026-09-20 20:17:07
Naturoveda Health World - Howrah,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative medicine practitioner, Diabetologist, Health consultant, Sexologist, Skin care clinic, Wellness center",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 33 4040 1212,https://www.naturoveda.com/,4.7,414,"49, Dr Abani Dutta Rd, near Pilkhana, Babudanga, Salkia, Howrah, West Bengal 711106","Babudanga, Salkia",22.5946882,88.34004209999999,ChIJaVCoL_d3AjoRI10Nh_NnJss,https://www.google.com/maps/place/?q=place_id:ChIJaVCoL_d3AjoRI10Nh_NnJss,part_316,2026-09-20 20:17:07
Ayurmeds Ayurved Clinic | Panchakarma & Research Centre,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Medical clinic",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 74395 46502,https://ayurmedsclinic.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,5.0,8,"Ab 30/4, near SBI ATM & Post Office, Prafulla Kanan West, Prafulla Kanan, Kestopur, Kolkata, West Bengal 700101","Prafulla Kanan West, Prafulla Kanan, Kestopur",22.605252,88.42305809999999,ChIJKwWlGPd1AjoRIHJ0bTC7uVc,https://www.google.com/maps/place/?q=place_id:ChIJKwWlGPd1AjoRIHJ0bTC7uVc,part_316,2026-09-20 20:17:07
MARARRI AYURVEDIC PHARMACY & NATUROPATHY CLINIC,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,1,"Pandori Waraich, Naushehra, Punjab 143008",Pandori Waraich,31.6840172,74.9043188,ChIJB9tjb6RjGTkRvpn1aPmOAKk,https://www.google.com/maps/place/?q=place_id:ChIJB9tjb6RjGTkRvpn1aPmOAKk,part_316,2026-09-20 20:17:07
K & AYURVEDIC MEDICAL STORE,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,1,"Sahibzada Ajit Singh Nagar, Hoshiarpur, Punjab 146001",Sahibzada Ajit Singh Nagar,31.543019899999997,75.90481079999999,ChIJcVCNwsviGjkR5Pah9LvTKMc,https://www.google.com/maps/place/?q=place_id:ChIJcVCNwsviGjkR5Pah9LvTKMc,part_316,2026-09-20 20:17:07
AYURVEDIC MEDICAL STORE,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,1,"Hargobind Nagar, Transport Nagar, Harnam Daspura, Jalandhar, Punjab 144008","Hargobind Nagar, Transport Nagar, Harnam Daspura",31.3346172,75.5651318,ChIJ80b30Y1aGjkRBJ_EVqMdt8A,https://www.google.com/maps/place/?q=place_id:ChIJ80b30Y1aGjkRBJ_EVqMdt8A,part_316,2026-09-20 20:17:07
"Doctor Bassi's Ayurvedic clinic( leech therapy , skin, diabetes, pcod,low sperm ,erectyl dysfunction ) and panchkarma centre.",Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Allergist, Fertility clinic, Gastroenterologist, Hepatologist, Women's health clinic, Pain control clinic, Reproductive health clinic, Sexologist, Skin care clinic",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 70091 73209,https://bassiayurvedicclinic.com/,5.0,510,"Dr bassi ayurvedic clinic, Garhshankar - Rawal Pindi Rd, near kisan pipe store, near Cooperative bank, Garhshankar, Punjab 144527",711111,31.219022,76.14131019999999,ChIJ8cQqqHO_GjkRk98RsAxvriM,https://www.google.com/maps/place/?q=place_id:ChIJ8cQqqHO_GjkRk98RsAxvriM,part_316,2026-09-20 20:17:07
