business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MRF T&S - J B Tyre Point,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98313 32300,https://dealers.mrftyres.com/mrf-t-s-j-b-tyre-point-tyre-shop-mourigram-howrah-376970/Home?utm_source=locator&utm_medium=googleplaces,3.9,,"Ground Floor, Andul Road Halderpara Stop, Mourigram, near Narayana School, Andul, Howrah, West Bengal 711109",Andul,22.5672061,88.2749898,ChIJ88cq33F5AjoR1_NR4yigZzk,https://www.google.com/maps/place/?q=place_id:ChIJ88cq33F5AjoR1_NR4yigZzk,part_316,2026-09-20 20:17:11
NAGA TYRE PUNCTURE SHOP,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90870 54496,N/A,4.6,,"Mahatma Gandhi street, Old, Mahabalipuram Road, opposite Karapakkam, Karapakkam, capegemini, Chennai, Tamil Nadu 600097",Karapakkam,12.911768299999999,80.22970389999999,ChIJm6HtamhdUjoRPDZ95bHIW2o,https://www.google.com/maps/place/?q=place_id:ChIJm6HtamhdUjoRPDZ95bHIW2o,part_316,2026-09-20 20:17:11
Agrawal Tyre World,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Wheel alignment service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 99833 14519,https://www.justdial.com/Jaipur/Agrawal-Tyre-World-Near-Riddhi-Siddhi-Choraha-Gopalpura-Bypass/0141PX141-X141-160823184051-Y5Z6_BZDET,4.7,,"Circle, B-46, Gopalpura Bypass Rd, near Riddhi siddhi, Scheme 10B, Arjun Nagar, Jaipur, Rajasthan 302018","Scheme 10B, Arjun Nagar",26.871525799999997,75.7793597,ChIJBy79Lsq1bTkRUSb27pxF79k,https://www.google.com/maps/place/?q=place_id:ChIJBy79Lsq1bTkRUSb27pxF79k,part_316,2026-09-20 20:17:11
Ajmera Tyre Battery Oil - Lohegaon,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Car battery store, Oil change service, Wheel alignment service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 79 6173 3652,https://stores.ajmeratyres.com/ajmera-tyres/pune/Lohegaon/ajmera-tyres-in-Lohegaon-pune--3iyuOr/home,4.7,,"Survey No 295, 1A, DY Patil University Rd, nearby Nimblakar Nagar, Lohegaon, Pune, Maharashtra 411047",Lohegaon,18.613407799999997,73.91337829999999,ChIJo0vB29bHwjsR8wDT8DCGpvQ,https://www.google.com/maps/place/?q=place_id:ChIJo0vB29bHwjsR8wDT8DCGpvQ,part_316,2026-09-20 20:17:11
Md Aftab Tyre's shop ( Retrading and resole Tyres),Tyre Showroom and Puncture Shop,Tire shop,Tire shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 89108 87957,N/A,,,"Andul Rd, opposite to sunflower tower, Chunavati, Mourigram, Howrah, West Bengal 711109","Chunavati, Mourigram",22.5691641,88.26709439999999,ChIJYS6Mr8N5AjoRAV8VDMTNJBo,https://www.google.com/maps/place/?q=place_id:ChIJYS6Mr8N5AjoRAV8VDMTNJBo,part_316,2026-09-20 20:17:11
Guddu Tyre work shop,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90385 36547,https://tyreshopwww.com/,,,"new Bus terminus cf centre, Santragachi, moukhali, Howrah, West Bengal 711112",Santragachi,22.585419899999998,88.2838262,ChIJAV3z3mN5AjoRyAKvvU4Lv60,https://www.google.com/maps/place/?q=place_id:ChIJAV3z3mN5AjoRyAKvvU4Lv60,part_316,2026-09-20 20:17:11
Jaipur Puncture shop,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 82336 09424,N/A,5.0,,"hotel Lalit ke pass, Indian oil petrol pump, Jawahar Circle, Chainpura, Malviya Nagar, Jaipur, Rajasthan 302017","Chainpura, Malviya Nagar",26.840909999999997,75.8070882,ChIJX7zXbQC1bTkRDmItlRM1T4A,https://www.google.com/maps/place/?q=place_id:ChIJX7zXbQC1bTkRDmItlRM1T4A,part_316,2026-09-20 20:17:11
Speed Tyre Care,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 81239 63640,https://speedtyrecare.com/,5.0,,"Bannerghatta Rd, Industrial Area, rashtrakavi, kuvempu nagar, Bengaluru, Karnataka 560076","Industrial Area, rashtrakavi, kuvempu nagar",12.9108997,77.60022479999999,ChIJ0b5ech4VrjsRaamnxq5pfBo,https://www.google.com/maps/place/?q=place_id:ChIJ0b5ech4VrjsRaamnxq5pfBo,part_316,2026-09-20 20:17:11
Alam tyre puncher dukan,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,,,"H788+79M Chunavati, Panchpara, Duillya, Howrah, West Bengal 711109","Chunavati, Panchpara, Duillya",22.565711,88.26592219999999,ChIJ10IcFAB5AjoRD8JzSrcJ2y0,https://www.google.com/maps/place/?q=place_id:ChIJ10IcFAB5AjoRD8JzSrcJ2y0,part_316,2026-09-20 20:17:11
Sahil tyre puncture,Tyre Showroom and Puncture Shop,Mechanic,Mechanic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 93500 96831,N/A,4.9,,"1, Hamilton Ct Rd, Sector 28, Chakkarpur, Gurugram, Haryana 122009","Sector 28, Chakkarpur",28.4681419,77.0872437,ChIJ58mGBQAZDTkRckqt9YTOyLE,https://www.google.com/maps/place/?q=place_id:ChIJ58mGBQAZDTkRckqt9YTOyLE,part_316,2026-09-20 20:17:11
