business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NAYAAB,Restaurant Chains,Family restaurant,"Family restaurant, Restaurant",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 73650 87465,N/A,4.1,,"Grand Trunk Rd, opposite Shiv Temple, Boinchi, West Bengal 712134",712407,23.1193359,88.1926793,ChIJZRjQ07X3-DkRncXNyaC474w,https://www.google.com/maps/place/?q=place_id:ChIJZRjQ07X3-DkRncXNyaC474w,part_318,2026-09-20 20:17:00
ASMI HOTEL AND RESTAURANT,Restaurant Chains,Hotel,Hotel,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98744 95559,https://asmihotelbandel.in/,3.1,,"opp. DON BOSCO SCHOOL, near BANDEL CHURCH, Lenin Pally, Sahaganj, Chinsurah, West Bengal 712103","Lenin Pally, Sahaganj",22.920792799999997,88.39481579999999,ChIJsXxYJPOT-DkRpYHpcPj1n8U,https://www.google.com/maps/place/?q=place_id:ChIJsXxYJPOT-DkRpYHpcPj1n8U,part_318,2026-09-20 20:17:00
Tasty Restaurant,Restaurant Chains,Chinese restaurant,"Chinese restaurant, Country food restaurant",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 74391 66919,N/A,4.0,,"1 NO GATE, 1 No Gate, opposite ESI HOSPITAL, Kapasdanga P, Bandel, Chinsurah, West Bengal 712103",Kapasdanga P,22.910283999999997,88.3845005,ChIJUWcifeiT-DkRLJ4FJddtLvQ,https://www.google.com/maps/place/?q=place_id:ChIJUWcifeiT-DkRLJ4FJddtLvQ,part_318,2026-09-20 20:17:00
A ONE HAJI,Restaurant Chains,Biryani restaurant,"Biryani restaurant, Indian restaurant",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 86035 27543,N/A,3.9,,"K.G.R.S. Path, Bhadreswar, Chinsurah, West Bengal 712124","Tarakeswar Pally, Purbachal Pally",22.825701499999997,88.3428009,ChIJMzSUVxWQ-DkRVkHB3cU4tog,https://www.google.com/maps/place/?q=place_id:ChIJMzSUVxWQ-DkRVkHB3cU4tog,part_318,2026-09-20 20:17:00
Foodies Zone,Restaurant Chains,Chinese restaurant,Chinese restaurant,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 83770 81122,N/A,3.8,,"GT Rd, Milan Pally, Chinsurah, West Bengal 712103",Milan Pally,22.900136099999997,88.3829646,ChIJI70kwAaT-DkRl0z5ipVqG18,https://www.google.com/maps/place/?q=place_id:ChIJI70kwAaT-DkRl0z5ipVqG18,part_318,2026-09-20 20:17:00
Bangaliyana,Restaurant Chains,Bengali restaurant,Bengali restaurant,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 70031 15112,N/A,4.0,,"Hooghly Ghat Station Rd, Chinsurah R S, Kolkata, Chinsurah, West Bengal 712103",Chinsurah R S,22.9008239,88.396092,ChIJC1_fLWuT-DkREI3-UHsWtcI,https://www.google.com/maps/place/?q=place_id:ChIJC1_fLWuT-DkREI3-UHsWtcI,part_318,2026-09-20 20:17:00
Rupashi Restaurant & Guest House - Serampore,Restaurant Chains,Restaurant,"Restaurant, Bengali restaurant, Chinese restaurant, Family restaurant, Indian restaurant",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 33 2662 5333,https://www.rupashirestaurant.in/,4.2,1854.0,"585, GT Rd, Maniktala, Serampore, Hooghly, West Bengal 712201","Maniktala, Serampore",22.747854999999998,88.3487308,ChIJqT9b-Rub-DkRHeRElku9WTc,https://www.google.com/maps/place/?q=place_id:ChIJqT9b-Rub-DkRHeRElku9WTc,part_318,2026-09-20 20:17:01
Glass N Grill | Bar cum Restaurant | Hookah Bar,Restaurant Chains,Restaurant,"Restaurant, Bar tabac, Breakfast restaurant, Cafe, Hookah store, Bar",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 62918 40057,N/A,4.3,814.0,"TN Mukherjee Rd, Kushaigachhi, Makhla, Belanagar, Dankuni, West Bengal 712245","Kushaigachhi, Makhla, Belanagar",22.6753277,88.3098661,ChIJoTXy2j2D-DkRjIeoQWlPKQ4,https://www.google.com/maps/place/?q=place_id:ChIJoTXy2j2D-DkRjIeoQWlPKQ4,part_318,2026-09-20 20:17:01
Mucktoo,Restaurant Chains,Chinese restaurant,Chinese restaurant,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 91631 83438,https://www.mucktoo.com/,4.6,874.0,"48, New, GT Rd, Kotrung, Uttarpara, West Bengal 712258",Kotrung,22.656900399999998,88.34813559999999,ChIJBQhlRyKd-DkRjjCpGN3-wWI,https://www.google.com/maps/place/?q=place_id:ChIJBQhlRyKd-DkRjjCpGN3-wWI,part_318,2026-09-20 20:17:01
TAMASHA RESTAURANT,Restaurant Chains,Restaurant,"Restaurant, Bar, Hotel, Lodge, Pub",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 84508 27002,N/A,4.0,210.0,"2928+96R, Grand Trunk Rd, Mogra, Naksa, West Bengal 712148",Mogra,23.0009856,88.36550799999999,ChIJ_7QUPRrt-DkRirb2KamhQvU,https://www.google.com/maps/place/?q=place_id:ChIJ_7QUPRrt-DkRirb2KamhQvU,part_318,2026-09-20 20:17:01
