business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sk Brothers Battery House Amaron and Exide dealer,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store, Solar energy system service",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98722 11904,https://sk-brothers-battery.grexa.site/,4.8,,"Kalachara, Haripal, Jinpur, West Bengal 712405",Kalachara,22.8932322,88.1306331,ChIJgcZoZGZj-DkR6DzsH8-mcno,https://www.google.com/maps/place/?q=place_id:ChIJgcZoZGZj-DkR6DzsH8-mcno,part_318,2026-09-20 20:17:11
Bhaskar Battery Centre,Car and Bike Battery Dealer,Car battery store,"Car battery store, Tire shop",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98319 93931,N/A,4.1,,"Shop-2, Basstand, Rd Number 12, Nalikul, Durgapur, West Bengal 712407",Nalikul,22.8277051,88.1656158,ChIJfWNEN55i-DkR1WfZ9BsdEFk,https://www.google.com/maps/place/?q=place_id:ChIJfWNEN55i-DkR1WfZ9BsdEFk,part_318,2026-09-20 20:17:11
Exide Care - Pal Power Station,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 80 6982 8040,https://stores.exidecare.com/exide-care-pal-power-station-battery-store-joy-krishna-bazar-hooghly-188172/Home?utm_source=locator&utm_medium=googleplaces,4.2,,"Ground Floor, Joy Krishna Bazar, opposite IOCL Pump, Santoshpur, Tarkeshwar, West Bengal 712410",712407,22.8772862,88.01361589999999,ChIJQRnSbfZl-DkRkUq9OBS1UM0,https://www.google.com/maps/place/?q=place_id:ChIJQRnSbfZl-DkRkUq9OBS1UM0,part_318,2026-09-20 20:17:11
AARYA BATTERY,Car and Bike Battery Dealer,Battery Store,Battery Store,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 93397 32745,N/A,5.0,,"Khadinamore, near Hero Showroom, Chinsurah, West Bengal 712102","Pallysree, Leninnagar, Chinsurah R S",22.8894073,88.3783615,ChIJ-YUxlCOR-DkRgRfHDKHo0y0,https://www.google.com/maps/place/?q=place_id:ChIJ-YUxlCOR-DkRgRfHDKHo0y0,part_318,2026-09-20 20:17:11
Exide Battery,Car and Bike Battery Dealer,Battery Store,Battery Store,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 94771 14729,https://www.exideindustries.com/,3.7,,"R698+V34, Tarakeshwar Rd, near mahapravu tyers, Kamarkundu, West Bengal 712407",Kamarkundu,22.8196451,88.2151992,ChIJV6KpxY2I-DkR3lKKCiprCC4,https://www.google.com/maps/place/?q=place_id:ChIJV6KpxY2I-DkR3lKKCiprCC4,part_318,2026-09-20 20:17:11
Tata green battery & Maa Durga Auto Electric,Car and Bike Battery Dealer,Battery Store,"Battery Store, Mechanic",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 82400 79320,https://www.tatagreenbattery.com/,3.7,,"Nh-2, near B. D. Kata, Dankuni, West Bengal 712310","Monoharpur, Gobra",22.6901689,88.2922566,ChIJPVjGCbaD-DkRK0s14ZklTFs,https://www.google.com/maps/place/?q=place_id:ChIJPVjGCbaD-DkRK0s14ZklTFs,part_318,2026-09-20 20:17:11
Exide Care,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 80 6264 6655,https://stores.exidecare.com/exide-care-exide-care-power-friend-battery-store-seakhala-hooghly-337754/Home?utm_source=locator&utm_medium=googleplaces,2.8,,"Ground Floor, Sehakhala, Srirampur, Shripatipur, West Bengal 712706",Sehakhala,22.770239699999998,88.16615399999999,ChIJdxMWdxaH-DkRAu8Wshai5Ls,https://www.google.com/maps/place/?q=place_id:ChIJdxMWdxaH-DkRAu8Wshai5Ls,part_318,2026-09-20 20:17:11
AETHER MOTORS,Car and Bike Battery Dealer,Showroom,Showroom,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 95646 80838,N/A,5.0,,"Pandua, West Bengal 712149",712407,23.0816059,88.2717438,ChIJJTALoVLz-DkRCGOQiCcQBOo,https://www.google.com/maps/place/?q=place_id:ChIJJTALoVLz-DkRCGOQiCcQBOo,part_318,2026-09-20 20:17:11
D Zeeshan Battery Centre,Car and Bike Battery Dealer,Battery Wholesaler,"Battery Wholesaler, Electronics manufacturer",712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 93391 08641,N/A,4.2,,"Serampore, West Bengal 712201",Serampore,22.7560519,88.3460149,ChIJNwA2tOGa-DkRxBzHoLd6x8I,https://www.google.com/maps/place/?q=place_id:ChIJNwA2tOGa-DkRxBzHoLd6x8I,part_318,2026-09-20 20:17:11
Firoz Battery Centre,Car and Bike Battery Dealer,Car battery store,Car battery store,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,5.0,,"79 k, G T Road, Hindmotor, Uttarpara, West Bengal 712233",Hindmotor,22.685733499999998,88.3360771,ChIJg-W67nWd-DkRi-gJ1UxxgtU,https://www.google.com/maps/place/?q=place_id:ChIJg-W67nWd-DkRi-gJ1UxxgtU,part_318,2026-09-20 20:17:11
