business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mediglow Aesthetic (For Hair & Skin),Skin Clinic and Dermatologist,Cosmetic surgeon,Cosmetic surgeon,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 82329 68666,N/A,4.5,37.0,"Mallika Apartment ,AC, Abinash Chandra Mukherjee Rd, Sahaganj, Chinsurah, West Bengal 712104",Sahaganj,22.9221386,88.3955869,ChIJvcxDBomT-DkRfPS_NLXGN5U,https://www.google.com/maps/place/?q=place_id:ChIJvcxDBomT-DkRfPS_NLXGN5U,part_317,2026-09-20 20:17:07
Dr. ARNAB DUTTA,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.0,4.0,"Shivsankar Medical Hall, Hooghly Sta Rd, Kapasdanga P, Chinsurah, Bandel, West Bengal 712102",Kapasdanga P,22.911207299999997,88.3644691,ChIJQwIMSp-T-DkRaMlTarcpeQ0,https://www.google.com/maps/place/?q=place_id:ChIJQwIMSp-T-DkRaMlTarcpeQ0,part_317,2026-09-20 20:17:07
Dr. NK Basu's Clinic (Cosmoderm),Skin Clinic and Dermatologist,Doctor,Doctor,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 99038 60516,N/A,4.1,67.0,"Unnamed Road, Medicine Mart, Chinsurah R S, Chinsurah, West Bengal 712103","Medicine Mart, Chinsurah R S",22.895043899999997,88.39936519999999,ChIJxQDplieR-DkRlhZC7nksJ9I,https://www.google.com/maps/place/?q=place_id:ChIJxQDplieR-DkRlhZC7nksJ9I,part_317,2026-09-20 20:17:07
Microvision poly clinic,Skin Clinic and Dermatologist,Doctor,Doctor,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,5.0,2.0,"R9W6+46H, Mankundu Station Rd, Tematha, Mankundu, Bhadreswar, Chandannagar, West Bengal 712136","Tematha, Mankundu",22.8453135,88.3606027,ChIJn-ekJM-R-DkRIAkgdeSCVyA,https://www.google.com/maps/place/?q=place_id:ChIJn-ekJM-R-DkRIAkgdeSCVyA,part_317,2026-09-20 20:17:07
Apollo Clinic Barrackpore,Skin Clinic and Dermatologist,Diagnostic center,"Diagnostic center, Dental clinic, Diabetes center, Hair transplantation clinic, Health consultant, Laser hair removal service, Medical clinic, Physiotherapy Center, Skin care clinic",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 76050 17311,https://apollobarrackpore.com/,4.8,12543.0,"P.O, Barrackpore - Barasat Rd, near Wireless More, Nona Chandanpukur, Rabindrapally, Jaffarpur Panchanantala, Barrackpore, West Bengal 700122","Nona Chandanpukur, Rabindrapally, Jaffarpur Panchanantala",22.7674773,88.38527599999999,ChIJ8YCHGtmb-DkRCH3thIXsakY,https://www.google.com/maps/place/?q=place_id:ChIJ8YCHGtmb-DkRCH3thIXsakY,part_317,2026-09-20 20:17:07
Parichay,Skin Clinic and Dermatologist,Diagnostic center,Diagnostic center,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 70039 72573,http://www.parichaydiagnostic.com/,3.7,55.0,"19, Dr Sital Prasad Ghosh Rd, Surpara, Bagbazar, Sukhsanatantala, Chandannagar, West Bengal 712136","Surpara, Bagbazar, Sukhsanatantala",22.8634857,88.36332709999999,ChIJ0aQgIwiR-DkRHSvrKOwg6Rc,https://www.google.com/maps/place/?q=place_id:ChIJ0aQgIwiR-DkRHSvrKOwg6Rc,part_317,2026-09-20 20:17:07
Dr. Jyotirmoy Sengupta,Skin Clinic and Dermatologist,Doctor,Doctor,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.0,8.0,"W94J+XHG, Old Kodalia, Chinsurah, Kodalia, West Bengal 712123",Old Kodalia,22.9074383,88.3814441,ChIJvS03bt2T-DkRyN7vJ1u_iNc,https://www.google.com/maps/place/?q=place_id:ChIJvS03bt2T-DkRyN7vJ1u_iNc,part_317,2026-09-20 20:17:07
Dr. Saukat Ali,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,5.0,,"P5JG+M5F, Bandpur, West Bengal 712701",712121,22.731681599999998,88.1754158,ChIJt93-JJ6H-DkRDGCkqtUeizU,https://www.google.com/maps/place/?q=place_id:ChIJt93-JJ6H-DkRDGCkqtUeizU,part_317,2026-09-20 20:17:07
Dr. Surabhi Sharma | Dermatologist,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Doctor, Hair transplantation clinic, Hospital, Laser hair removal service, Dermatologist",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 80 4482 6956,https://www.apollo247.com/doctors/6f0db913-1deb-4a3f-9cd7-c9bd43318c52,4.6,16.0,"58, Canal Circular Rd, Kadapara, Phoolbagan, Kankurgachi, Kolkata, West Bengal 700054","Kadapara, Phoolbagan, Kankurgachi",22.5747525,88.4015902,ChIJjbkP9mJ3AjoRIxploOOpXw4,https://www.google.com/maps/place/?q=place_id:ChIJjbkP9mJ3AjoRIxploOOpXw4,part_317,2026-09-20 20:17:08
Dr. H. P. Chakraborty,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Fertility clinic, Fertility physician, Sexologist, Dermatologist",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 70013 87136,https://drhpchakraborty.in/,4.8,273.0,"Plot No-3, B.C Road, near HLG Memorial Hospital, Kalyanpur Housing, Kanyapur, Asansol, West Bengal 713305","Kalyanpur Housing, Kanyapur",23.7053408,86.9552582,ChIJ_aV4WCwf9zkRX36HteIrzMk,https://www.google.com/maps/place/?q=place_id:ChIJ_aV4WCwf9zkRX36HteIrzMk,part_317,2026-09-20 20:17:08
Dr. Prof. Atul Taneja,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 80 4696 1837,https://www.apollo247.com/doctors/74461c6e-75b1-4f95-aa01-4972a9414051,2.0,28.0,"Apollo Multispeciality Hospitals, Canal Circular Rd, Kadapara, Phoolbagan, Kankurgachi, Kolkata, West Bengal 700054","Kadapara, Phoolbagan, Kankurgachi",22.5747525,88.4015902,ChIJv-Vp_eJ3AjoRoYABRwzPDvE,https://www.google.com/maps/place/?q=place_id:ChIJv-Vp_eJ3AjoRoYABRwzPDvE,part_317,2026-09-20 20:17:08
Apollo Clinic Beliaghata,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dental clinic, Dermatologist, Diabetes center, Diagnostic center, Hair transplantation clinic, Medical Center, Teeth whitening service",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 76050 17311,https://apollobeliaghata.com/,4.8,4802.0,"Apollo Clinic, Hem Chandra Naskar Rd, opposite ICICI Bank, Subhas Sarobar Park, Phoolbagan, Beleghata, Kolkata, West Bengal 700010","Subhas Sarobar Park, Phoolbagan, Beleghata",22.5640796,88.39522749999999,ChIJ7wSfV2x3AjoRZ9ADlHyOpsQ,https://www.google.com/maps/place/?q=place_id:ChIJ7wSfV2x3AjoRZ9ADlHyOpsQ,part_317,2026-09-20 20:17:08
Surgident-Speciality Clinic & Information Center,Skin Clinic and Dermatologist,Medical clinic,Medical clinic,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,3.0,2.0,"Flat No 1, Prathika Appartment (1st Floor T.N. Mukherjee Road South Subhas Pally Dankuni,Opp. Style Bazar Mall, near Mangal Chandi Mandir, Dankuni, West Bengal 712311","Himnagar, Monoharpur, Gobra",22.681190599999997,88.2936751,ChIJrfRVI8yD-DkRLkonVEZ2jO0,https://www.google.com/maps/place/?q=place_id:ChIJrfRVI8yD-DkRLkonVEZ2jO0,part_317,2026-09-20 20:17:08
Dr. Uttam Lenka's Skin Cosmedical,Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Blood testing service, Dentist, Dietitian, Hair removal service, Hair transplantation clinic, Laser hair removal service, Medical clinic, Orthopedic clinic",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 89102 52642,https://druttamcosmedical.com/,4.8,1825.0,"Landmark: Ground Floor, Ashiyana Apartment, Ground Floor, Ashiana Apartment, 75, Dum Dum Rd, Ward No. 22, Kolkata Municipal Corporation, Kolkata, West Bengal 700074","Ward No. 22, Kolkata Municipal Corporation, Melabagan Estate, Basak Bagan, Dum Dum",22.6215473,88.4048097,ChIJu_fYgNV3AjoRCZuhNBPEj0U,https://www.google.com/maps/place/?q=place_id:ChIJu_fYgNV3AjoRCZuhNBPEj0U,part_317,2026-09-20 20:17:08
La Derma Skin & Hair Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Health and beauty shop, Laser hair removal service, Medical spa, Dermatologist",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 94331 66666,https://ladermaskinclinic.com/,4.7,539.0,"1st Floor, Salt Lake, BF 189, opposite to Gangotri, BF Block, Sector 1, Kolkata, West Bengal 700064","BF Block, Sector 1, Bidhannagar",22.5950123,88.42068309999999,ChIJecg9TlF1AjoR4ihTPqcxKv8,https://www.google.com/maps/place/?q=place_id:ChIJecg9TlF1AjoR4ihTPqcxKv8,part_317,2026-09-20 20:17:08
Swastik Ent and skin clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Allergist, Cosmetic surgeon, Dental clinic, Dermatologist, Ear piercing service, Hair transplantation clinic, Hearing aid store, Pediatric dermatologist, ENT Specialist",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 86975 09910,https://kivihealth.com/iam/dr..poonam.jalan.57924j946tnx,4.8,2060.0,"128, Sarat Bose Rd, Dover Terrace, Ballygunge, Kolkata, West Bengal 700029","Dover Terrace, Ballygunge",22.5224785,88.3521832,ChIJ6y15Vpt3AjoRfxNfml_ww28,https://www.google.com/maps/place/?q=place_id:ChIJ6y15Vpt3AjoRfxNfml_ww28,part_317,2026-09-20 20:17:08
