business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dream Art Interior,Interior Designers,Interior designer,"Interior designer, Architect, Civil engineer, Vastu consultant",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 79801 67076,https://www.facebook.com/profile.php?id=100004408960512,5.0,,"Manushpur, Bandel, West Bengal 712123",Keota,22.928457899999998,88.38282029999999,ChIJz45XyqyT-DkREFdaxVBfVGg,https://www.google.com/maps/place/?q=place_id:ChIJz45XyqyT-DkREFdaxVBfVGg,part_317,2026-09-20 20:17:16
AB Interior - Interior Designers,Interior Designers,Interior Decorator,Interior Decorator,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 84789 05294,https://abinteriors.in/,4.9,,"Boro para, Bansberia, Saptagram, Chak Bansberia, West Bengal 712502",Bansberia,22.9650182,88.3891609,ChIJHVL9T2WT-DkRJ3HZTTDk9Pg,https://www.google.com/maps/place/?q=place_id:ChIJHVL9T2WT-DkRJ3HZTTDk9Pg,part_317,2026-09-20 20:17:16
Aradhya Interior,Interior Designers,Interior Decorator,Interior Decorator,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 90746 25398,http://aradhya-interior.in/,4.8,,"Bandel Bazar St, Station Road, South Naldanga, Gherabagan, Bandel, West Bengal 712123","Station Road, South Naldanga",22.9210139,88.37323579999999,ChIJg0flSymT-DkRmcQHxneUMlU,https://www.google.com/maps/place/?q=place_id:ChIJg0flSymT-DkRmcQHxneUMlU,part_317,2026-09-20 20:17:16
Woven studio Architect & interior designer,Interior Designers,Architectural designer,Architectural designer,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 79800 25517,N/A,5.0,,"2 no, Old Kodalia, Kodalia, Bandel, West Bengal 712123",Old Kodalia,22.9107336,88.3790148,ChIJ1a3YhlmT-DkR7Ta08Xbewow,https://www.google.com/maps/place/?q=place_id:ChIJ1a3YhlmT-DkR7Ta08Xbewow,part_317,2026-09-20 20:17:16
Baul mon interior,Interior Designers,Interior designer,Interior designer,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98754 50837,N/A,3.0,,"more, opp. Khosla electronics, Debanandapur, Bandel, Chinsurah, West Bengal 712103",Debanandapur,22.934079,88.3714296,ChIJPxDtSTuT-DkR2sOBK-tZcu4,https://www.google.com/maps/place/?q=place_id:ChIJPxDtSTuT-DkR2sOBK-tZcu4,part_317,2026-09-20 20:17:16
HOOGHLY NO1 INTERIOR,Interior Designers,Interior designer,Interior designer,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,,,"Mogra, Gajaghanta, Amodghata, West Bengal 712148",Mogra,22.984023999999998,88.3800843,ChIJR-U3TqCT-DkRxtWAmh-jmsI,https://www.google.com/maps/place/?q=place_id:ChIJR-U3TqCT-DkRxtWAmh-jmsI,part_317,2026-09-20 20:17:16
AP Design Studio,Interior Designers,Interior designer,Interior designer,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98837 61683,N/A,5.0,,"251/3, Near Tyrebagan Durga Mandap Sarada Park Local Rd, Sahaganj, PO, PS, Sahaganj, Chinsurah, West Bengal 712104","Sarda Park, Sahaganj",22.9238881,88.3940897,ChIJ_7_rBY2T-DkRau_epxQby0Y,https://www.google.com/maps/place/?q=place_id:ChIJ_7_rBY2T-DkRau_epxQby0Y,part_317,2026-09-20 20:17:16
MODERN HOME IDEAS LLP,Interior Designers,Interior designer,"Interior designer, Home improvement store, Interior Decorator, Modular home builder, Wallpaper store",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 94772 58655,https://modernhomeideas.in/,5.0,,"Modern Home Ideas, 1st Floor, Bishalaxmitala, Debanandapur, Bandel, Chinsurah, West Bengal 712123",Debanandapur,22.934616899999998,88.36647169999999,ChIJvVXkSQKT-DkRvMsnIaWCfto,https://www.google.com/maps/place/?q=place_id:ChIJvVXkSQKT-DkRvMsnIaWCfto,part_317,2026-09-20 20:17:16
Tuhin interior,Interior Designers,Interior designer,Interior designer,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 62893 07016,N/A,5.0,,"near free school, Tribeni, Katbeltala, West Bengal 712503",Tribeni,22.9847648,88.3956762,ChIJs5SGGk-T-DkRbBBh8VKAOl8,https://www.google.com/maps/place/?q=place_id:ChIJs5SGGk-T-DkRbBBh8VKAOl8,part_317,2026-09-20 20:17:16
Ajit Celing Decoration,Interior Designers,Interior designer,"Interior designer, Interior architect office",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 93309 75107,N/A,,,"Survey College, Lichu Bagan, Subhash Nagar, Bandel, Chinsurah, West Bengal 712103",Subhash Nagar,22.922996299999998,88.3862071,ChIJA6mzbwCT-DkR3af41V1u5AA,https://www.google.com/maps/place/?q=place_id:ChIJA6mzbwCT-DkR3af41V1u5AA,part_317,2026-09-20 20:17:16
