business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bengal Hardware,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98314 79294,N/A,5.0,,"X94F+F8Q, Adisaptagram, Mogra, Chinsurah, Dakshin Hazipur, West Bengal 712121","Adisaptagram, Mogra",22.9562125,88.3733594,ChIJt8s66Q-T-DkRNY4A8cid0U8,https://www.google.com/maps/place/?q=place_id:ChIJt8s66Q-T-DkRNY4A8cid0U8,part_317,2026-09-20 20:17:13
BENGAL HARDWARE & BUILDERS,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,,,"W9WJ+QG4, GT Rd, Adisaptagram, Bansberia, Chhota Khejuria, West Bengal 712121","Adisaptagram, Bansberia",22.946890999999997,88.38131779999999,ChIJaZpJxwqT-DkRuYyZ1QWqTPw,https://www.google.com/maps/place/?q=place_id:ChIJaZpJxwqT-DkRuYyZ1QWqTPw,part_317,2026-09-20 20:17:13
Anandamayee Hardware,Hardware Store,Hardware store,"Hardware store, Building materials store",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 92395 16570,N/A,4.4,,"XC43+6FJ, Bansberia Kundu Golo, Rathtala, Bansberia, Chinsurah, West Bengal 712502",Bansberia,22.9555932,88.403634,ChIJvych5IKU-DkRBL3chjyIcWE,https://www.google.com/maps/place/?q=place_id:ChIJvych5IKU-DkRBL3chjyIcWE,part_317,2026-09-20 20:17:13
New Sadhukhan Hardware,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 93315 13056,N/A,5.0,,"Subhash Nagar, Bandel, Chinsurah, West Bengal 712123",Subhash Nagar,22.9200789,88.3854205,ChIJ9f2PEgCT-DkRYojSs0wpDpA,https://www.google.com/maps/place/?q=place_id:ChIJ9f2PEgCT-DkRYojSs0wpDpA,part_317,2026-09-20 20:17:13
Kalimata Hardware Stores,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 91237 49493,N/A,3.8,,"Tribeni Ghat Rd, Kalitala Tribeni, Mogra, Amodghata, West Bengal 712503",Mogra,22.984207299999998,88.3843466,ChIJydQJkEiT-DkRhnmFV-fv2yw,https://www.google.com/maps/place/?q=place_id:ChIJydQJkEiT-DkRhnmFV-fv2yw,part_317,2026-09-20 20:17:13
Rebati Builders,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98831 18800,N/A,4.7,,"Adisaptagram, Mogra, Chinsurah, Dakshin Hazipur, West Bengal 712121","Adisaptagram, Mogra",22.954233,88.37258709999999,ChIJFRCYCBCT-DkRdUq0alaMyTc,https://www.google.com/maps/place/?q=place_id:ChIJFRCYCBCT-DkRdUq0alaMyTc,part_317,2026-09-20 20:17:13
Loknath Hardware,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 96811 19851,N/A,4.3,,"W9MW+WW9, Sahaganj, Chinsurah, West Bengal 712104",Sahaganj,22.934795899999997,88.397353,ChIJA-iKDYaT-DkRd8TXCTDRiD8,https://www.google.com/maps/place/?q=place_id:ChIJA-iKDYaT-DkRd8TXCTDRiD8,part_317,2026-09-20 20:17:13
Vijoy Trading Co.,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 80 4897 8331,https://www.vijoytrading.com/,5.0,,"West Shek Para, Mogra, Alikhoja, West Bengal 712121","West Shek Para, Mogra",22.975538699999998,88.3724567,ChIJQRDbrCST-DkR24Hg9wVfykY,https://www.google.com/maps/place/?q=place_id:ChIJQRDbrCST-DkR24Hg9wVfykY,part_317,2026-09-20 20:17:13
Drill Domain Hardware Stores,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,,,"2nd saratpark, Debanandapur, Bandel, West Bengal 712123",Debanandapur,22.933432999999997,88.370302,ChIJP8FKmAuT-DkR2g5l-341vdk,https://www.google.com/maps/place/?q=place_id:ChIJP8FKmAuT-DkR2g5l-341vdk,part_317,2026-09-20 20:17:13
Kundu Hardware,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 79800 52144,N/A,5.0,,"W9JQ+5M3, GT Rd, Sahaganj, Chinsurah, West Bengal 712104",Sahaganj,22.9303858,88.389185,ChIJB6MnApGT-DkROT_QssrvUiE,https://www.google.com/maps/place/?q=place_id:ChIJB6MnApGT-DkROT_QssrvUiE,part_317,2026-09-20 20:17:13
Mina Hardware & Paints,Hardware Store,Hardware store,"Hardware store, Home goods store",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 89107 85610,N/A,5.0,,"More, Bandel, Kazidanga, West Bengal 712123",712121,22.923582099999997,88.3713707,ChIJceMncbeT-DkRZk54BNxkuHE,https://www.google.com/maps/place/?q=place_id:ChIJceMncbeT-DkRZk54BNxkuHE,part_317,2026-09-20 20:17:13
AVA PRODUCT,Hardware Store,Hardware store,"Hardware store, Electric utility company",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 94333 71661,N/A,5.0,,"Boropukur Area, Mogra, Kola, West Bengal 712148","Boropukur Area, Mogra",22.9869713,88.3710571,ChIJG2NGtwCT-DkR9Tb0QADL930,https://www.google.com/maps/place/?q=place_id:ChIJG2NGtwCT-DkR9Tb0QADL930,part_317,2026-09-20 20:17:13
Baba Hardware Akg,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 82409 09925,N/A,5.0,,"X99R+XPH, Sankha Nagar, Bansberia, Chak Bansberia, Kolkata, West Bengal 712502","Sankha Nagar, Bansberia",22.9699451,88.39184639999999,ChIJ3wZsrUKT-DkRe-OUGDv9Zf0,https://www.google.com/maps/place/?q=place_id:ChIJ3wZsrUKT-DkRe-OUGDv9Zf0,part_317,2026-09-20 20:17:13
Mahamaya Hardware,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 84798 62072,N/A,5.0,,"W9HQ+98W, Keota, Gate Road, Sahaganj, Bandel, Kolkata, West Bengal 712103",Sahaganj,22.9284866,88.3883324,ChIJxX0yaJGT-DkRRIEd7-wzBu8,https://www.google.com/maps/place/?q=place_id:ChIJxX0yaJGT-DkRRIEd7-wzBu8,part_317,2026-09-20 20:17:13
Naaj Traders,Hardware Store,Hardware store,"Hardware store, Building materials supplier",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 33 7964 3940,N/A,4.5,,"Shop No-3, Lichu Bagan, More, Keota, Bandel, Keota P, West Bengal 712123",Keota,22.9245368,88.3860076,ChIJg_4aipST-DkRBzTNcpJljyE,https://www.google.com/maps/place/?q=place_id:ChIJg_4aipST-DkRBzTNcpJljyE,part_317,2026-09-20 20:17:13
Malakar Hardware,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 93315 18528,N/A,5.0,,"1NO. KEOTA, GT Rd, Sahaganj, BATTALA, Chinsurah, West Bengal 712104","Sahaganj, BATTALA",22.9305113,88.38895389999999,ChIJqwwVzNaT-DkRWKiIvFAQfOQ,https://www.google.com/maps/place/?q=place_id:ChIJqwwVzNaT-DkRWKiIvFAQfOQ,part_317,2026-09-20 20:17:13
Lokenath Hardwaer And Paints,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 90078 76279,N/A,4.0,,"W97F+V7J, Hindmotorpara, South Naldanga, Bandel, Kodalia, West Bengal 712123","Hindmotorpara, South Naldanga",22.9147098,88.3731474,ChIJU6iqb8aT-DkRAAAAML8bMn8,https://www.google.com/maps/place/?q=place_id:ChIJU6iqb8aT-DkRAAAAML8bMn8,part_317,2026-09-20 20:17:13
INDIAN HARDWARE AND PLY,Hardware Store,Hardware store,Hardware store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 87775 26312,N/A,4.5,,"169, Shibpur, Tribeni, Kolkata, West Bengal 712502","Shibpur, Tribeni",22.9741614,88.395455,ChIJ6YmX21eT-DkRaXvHpK2TMKg,https://www.google.com/maps/place/?q=place_id:ChIJ6YmX21eT-DkRaXvHpK2TMKg,part_317,2026-09-20 20:17:13
