business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Aditya offset - All type of printing service in burdwan,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Banner store, Digital printing service, Print shop, Photo lab, Photo Restoration Shop",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 70019 61536,https://www.facebook.com/profile.php?id=100091606676964&mibextid=ZbWKwL,5.0,,"Kalnagate new bazar, Bardhaman, West Bengal 713101",713335,23.2367819,87.8806625,ChIJa2Em1_dJ-DkRTzbNigLfz7Y,https://www.google.com/maps/place/?q=place_id:ChIJa2Em1_dJ-DkRTzbNigLfz7Y,part_320,2026-09-20 20:17:22,3918
KRISH printing,Printing Press and Offset Printer,Print shop,Print shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.8,,"Krishi Mandi Ln, Purba, NADRA, FRAM, Bardhaman, Kalyanpur, West Bengal 713407","Purba, NADRA, FRAM",23.2419573,87.8998386,ChIJhb5KspVJ-DkRIxaBjgWatLE,https://www.google.com/maps/place/?q=place_id:ChIJhb5KspVJ-DkRIxaBjgWatLE,part_320,2026-09-20 20:17:22,3919
RAJSHA Advertisement,Printing Press and Offset Printer,Commercial printer,"Commercial printer, Advertising agency, Banner store, Custom label printer, Digital printer, Digital printing service, Offset Printer, Print shop, Printing equipment supplier, Screen printer",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 62035 33033,N/A,4.6,,"Station Rd Kumardhubi, PO, Chirkunda, Jharkhand 828202",PO,23.745574899999998,86.79316539999999,ChIJM4SEyzvd9jkRCZlIAms8GhM,https://www.google.com/maps/place/?q=place_id:ChIJM4SEyzvd9jkRCZlIAms8GhM,part_320,2026-09-20 20:17:22,3920
New Print Plaza,Printing Press and Offset Printer,Print shop,Print shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 81016 99907,N/A,5.0,,"Kendwa Rd, Nichugram, Kulti, West Bengal 713343",Nichugram,23.740359599999998,86.83633309999999,ChIJC1KLgQ7f9jkRhXlEv89FIak,https://www.google.com/maps/place/?q=place_id:ChIJC1KLgQ7f9jkRhXlEv89FIak,part_320,2026-09-20 20:17:22,3921
Just For Print,Printing Press and Offset Printer,Gift shop,Gift shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 78118 01011,N/A,4.7,,"Nutanganj, Sripally, Ambagan, Raiganj, Bardhaman, West Bengal 713102","Nutanganj, Sripally, Ambagan, Raiganj",23.235830399999998,87.849188,ChIJEVol8Z03-DkRf95eDGF7t7I,https://www.google.com/maps/place/?q=place_id:ChIJEVol8Z03-DkRf95eDGF7t7I,part_320,2026-09-20 20:17:22,3922
FLEX POINT,Printing Press and Offset Printer,Advertising agency,Advertising agency,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 70768 13917,N/A,4.3,,"Goodshed Rd, Khal Bill Math, Bardhaman, West Bengal 713103",Khal Bill Math,23.2465425,87.86995619999999,ChIJ5_VPYcFJ-DkRqvsG63eV_pQ,https://www.google.com/maps/place/?q=place_id:ChIJ5_VPYcFJ-DkRqvsG63eV_pQ,part_320,2026-09-20 20:17:22,3923
Malancha Press,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Invitation printing service, Print shop, Rubber stamp store, Screen printing shop, Stamp shop",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 81162 96574,N/A,3.7,,"Grand Trunk Rd, Neamatpur, West Bengal 713359",713335,23.7178705,86.8772989,ChIJufPDd27g9jkR-hgKN3B8hOw,https://www.google.com/maps/place/?q=place_id:ChIJufPDd27g9jkR-hgKN3B8hOw,part_320,2026-09-20 20:17:22,3924
Perfect image,Printing Press and Offset Printer,Manufacturer,Manufacturer,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.4,,"6VV9+XQX, Goodshed Rd, Tinkonia, Bardhaman, West Bengal 713103",Tinkonia,23.244944,87.86953299999999,ChIJXSRjUG5J-DkRMHpJ0zhQ1sM,https://www.google.com/maps/place/?q=place_id:ChIJXSRjUG5J-DkRMHpJ0zhQ1sM,part_320,2026-09-20 20:17:22,3925
The Sun Graphics,Printing Press and Offset Printer,Print shop,Print shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 93336 52002,N/A,3.7,,"Katwa, West Bengal 713130",713335,23.6440552,88.1258817,ChIJAat3w9mm-TkR0F667svH_wk,https://www.google.com/maps/place/?q=place_id:ChIJAat3w9mm-TkR0F667svH_wk,part_320,2026-09-20 20:17:22,3926
Shital Pay World,Printing Press and Offset Printer,Print shop,Print shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 89728 21177,https://shital-pay-world-west-bengal-713384.grexa.site/,4.8,,"More, beside football ground, Parasia, West Bengal 713384",713335,23.6470921,87.1585528,ChIJh4gAbGwV9zkRvnf5FIGdGQs,https://www.google.com/maps/place/?q=place_id:ChIJh4gAbGwV9zkRvnf5FIGdGQs,part_320,2026-09-20 20:17:22,3927
