business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Trousseau & Trinkets,Trousseau Home Decor,Event planner,Event planner,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 89104 46923,N/A,5.0,19.0,"122, Jadavgarh Colony, Haltu, Kolkata, West Bengal 700078","Jadavgarh Colony, Haltu",22.5078256,88.379716,ChIJ_YIdib1xAjoRGSVSk9hF53Y,https://www.google.com/maps/place/?q=place_id:ChIJ_YIdib1xAjoRGSVSk9hF53Y,part_313,2026-09-20 20:17:17,4679
Tray Decoration,Trousseau Home Decor,Wedding service,Wedding service,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 84449 02955,https://natheventmanagement.odoo.com/gallery,4.9,14.0,"540/20, Bombai Bagan Rd, Satin Sen Pally, Sarsuna, Kolkata, West Bengal 700061","Satin Sen Pally, Sarsuna",22.482753799999998,88.29548249999999,ChIJdfL1gYV7AjoRCV3NJyxq1mk,https://www.google.com/maps/place/?q=place_id:ChIJdfL1gYV7AjoRCV3NJyxq1mk,part_313,2026-09-20 20:17:17,4680
"Totto decoration,totto decoration,Tatwa decoration, Biswajit tatwa decoration,totto decoration,tatwa sajano",Trousseau Home Decor,Wedding store,Wedding store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 87775 77068,N/A,5.0,10.0,"RS192, Santi nagar, Salt Lake Bypass, Sukant Nagar, Sector IV, Bidhannagar, Kolkata, West Bengal 700107","Sukant Nagar, Sector IV, Bidhannagar",22.5629512,88.4173644,ChIJkVjhuhR1AjoRMqNPEK531GQ,https://www.google.com/maps/place/?q=place_id:ChIJkVjhuhR1AjoRMqNPEK531GQ,part_313,2026-09-20 20:17:17,4681
Tatwa decoration,Trousseau Home Decor,Artistic handicrafts,"Artistic handicrafts, Gift basket store, Handicrafts Wholesaler, Wedding service",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,5.0,1.0,"Purbachal Housing Estate, R-13, Purbachal, cluster 3, Sector 3, Bidhannagar, Kolkata, West Bengal 700097","Purbachal, cluster 3, Sector 3, Bidhannagar",22.5721779,88.4067652,ChIJE1qJifJ1AjoRXQjeVIJMkM4,https://www.google.com/maps/place/?q=place_id:ChIJE1qJifJ1AjoRXQjeVIJMkM4,part_313,2026-09-20 20:17:17,4682
SANA PARTY DECORATION (ZYOZI),Trousseau Home Decor,Party store,Party store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 62904 51562,http://zyozi.com/,4.8,,"31/7, Topsia Rd, Topsia, Kolkata, West Bengal 700046",Topsia,22.5334246,88.3880138,ChIJt-ibdiB3AjoRCtQxE0PBtYk,https://www.google.com/maps/place/?q=place_id:ChIJt-ibdiB3AjoRCtQxE0PBtYk,part_313,2026-09-20 20:17:18,4683
WNW by Harsh & Ankesh,Trousseau Home Decor,Bridal shop,"Bridal shop, Boutique, Clothing store, Designer Clothing Store, Embroidery shop, Fashion designer, Saree Shop, Wedding store, Women's clothing store",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98309 95850,https://www.w-n-w.in/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5043377000803828229,4.9,,"Behind Sindharam Sanwarmal, P-9, CIT Rd, CIT Scheme VII M, Kankurgachi, West Bengal 700054","CIT Scheme VII M, Kankurgachi",22.5848746,88.39109979999999,ChIJsbKVnG12AjoRW9iYKy4Q3ro,https://www.google.com/maps/place/?q=place_id:ChIJsbKVnG12AjoRW9iYKy4Q3ro,part_313,2026-09-20 20:17:18,4684
Unique Decor,Trousseau Home Decor,Interior designer,Interior designer,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 83358 67065,https://www.facebook.com/profile.php?id=61567160121674&mibextid=ZbWKwL,4.9,,"222, Garia Main Road, Sardar Lane, near Sitala Mandir, Panchu, Kolkata, West Bengal 700103",Narendrapur,22.4376209,88.39902099999999,ChIJSVjXLyhxAjoR37oaJeGdVRo,https://www.google.com/maps/place/?q=place_id:ChIJSVjXLyhxAjoR37oaJeGdVRo,part_313,2026-09-20 20:17:18,4685
"Gifting Pie - Wedding Hampers, Customized Gift Hampers, Festive Hampers, Bulk Orders",Trousseau Home Decor,Gift shop,"Gift shop, Wedding souvenir shop",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 62919 94566,https://giftingpie.com/,5.0,,"Topsia Rd, Topsia, Kolkata, West Bengal 700039",Topsia,22.533457799999997,88.3877541,ChIJ69QQfvx3AjoR1AjpXgXX_X8,https://www.google.com/maps/place/?q=place_id:ChIJ69QQfvx3AjoR1AjpXgXX_X8,part_313,2026-09-20 20:17:18,4686
Velpack Packaging Pvt Ltd,Trousseau Home Decor,Gift shop,"Gift shop, Corporate gift supplier",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98753 21892,https://www.instagram.com/velpackpackaging/?hl=en,4.6,,"shop # 122 & 123, vaibhav market, 4, Lee Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5403767,88.3497144,ChIJVYqrij13AjoRVIL4qeyLzAE,https://www.google.com/maps/place/?q=place_id:ChIJVYqrij13AjoRVIL4qeyLzAE,part_313,2026-09-20 20:17:18,4687
SHAW CARD & TRAY HOUSE,Trousseau Home Decor,Wedding store,Wedding store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 91236 86814,https://shaw-card-tray-house.grexa.site/,3.2,,"12, Indra Kumar Karnani St, Bara Bazar, Kolkata, West Bengal 700001",Bara Bazar,22.578256,88.3518168,ChIJc08Ui853AjoRrl-CD3zDk5E,https://www.google.com/maps/place/?q=place_id:ChIJc08Ui853AjoRrl-CD3zDk5E,part_313,2026-09-20 20:17:18,4688
