business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Joydeep Medical Stores,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 86977 65873,N/A,4.5,,"276/1, Purba Sinthi Rd, Purba Sinthi, Dum Dum, Kolkata, West Bengal 700030","Purba Sinthi, Dum Dum",22.6250924,88.3994061,ChIJcfiaTQCd-DkReGkx8j-cmko,https://www.google.com/maps/place/?q=place_id:ChIJcfiaTQCd-DkReGkx8j-cmko,part_313,2026-09-20 20:17:02,1873
Life Line Pharmacy,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 70440 16666,N/A,3.0,,"32, Dum Dum Rd, Jheel Bagan, Ghughudanga, Paikpara, Kolkata, West Bengal 700030","Jheel Bagan, Ghughudanga, Paikpara",22.620074799999998,88.3940626,ChIJtxiBT_qd-DkRSdCVlz1m8jY,https://www.google.com/maps/place/?q=place_id:ChIJtxiBT_qd-DkRSdCVlz1m8jY,part_313,2026-09-20 20:17:02,1874
Saha Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98748 14518,N/A,4.7,,"8/B, Purba Sinthi Rd, Madhugarh, Purba Sinthi, Dum Dum, Kolkata, West Bengal 700030","Madhugarh, Purba Sinthi, Dum Dum",22.6255906,88.3996365,ChIJ7_7g5-Kd-DkRkt9x41mJvuY,https://www.google.com/maps/place/?q=place_id:ChIJ7_7g5-Kd-DkRkt9x41mJvuY,part_313,2026-09-20 20:17:02,1875
Relax Medicine Shop,Medical Store / Pharmacy,Pharmacy,Pharmacy,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 70443 12347,N/A,4.1,,"48/37, S Sinthee Rd, Kathgola, Biswanath Colony, Sinthee, Kolkata, West Bengal 700050","Kathgola, Biswanath Colony, Sinthee",22.624515799999998,88.3879575,ChIJg7TGST-d-DkRaSMTgWwDQak,https://www.google.com/maps/place/?q=place_id:ChIJg7TGST-d-DkRaSMTgWwDQak,part_313,2026-09-20 20:17:02,1876
Das Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,,,"2/1A, Girish Chandra Ghosh Rd, Seth Bagan, Ghughudanga, Dum Dum, Kolkata, West Bengal 700030","Seth Bagan, Ghughudanga, Dum Dum",22.61835,88.3938579,ChIJpfVzL_qd-DkRRjgtSORyfMU,https://www.google.com/maps/place/?q=place_id:ChIJpfVzL_qd-DkRRjgtSORyfMU,part_313,2026-09-20 20:17:02,1877
Akshoy Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 94333 24097,N/A,4.2,,"J9CX+CJ2, Dum Dum Rd, Jheel Bagan, Jhilbagan, Dum Dum, Kolkata, West Bengal 700074","Jheel Bagan, Jhilbagan, Dum Dum",22.6210199,88.3990129,ChIJJzAu__yd-DkRQYBwsdsB8pQ,https://www.google.com/maps/place/?q=place_id:ChIJJzAu__yd-DkRQYBwsdsB8pQ,part_313,2026-09-20 20:17:02,1878
MEDIPLUS MEDICAL SHOP,Medical Store / Pharmacy,Oriental medicine store,Oriental medicine store,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,,,"14/L/1B, RBI Staff Quarters, Bir Para, Paikpara, Kolkata, West Bengal 700030","RBI Staff Quarters, Bir Para, Paikpara",22.6169729,88.3924816,ChIJ4YkedgCd-DkRHy5jeHP6PZw,https://www.google.com/maps/place/?q=place_id:ChIJ4YkedgCd-DkRHy5jeHP6PZw,part_313,2026-09-20 20:17:02,1879
GOPAL PHARMACY,Medical Store / Pharmacy,Pharmacy,Pharmacy,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 76798 73555,N/A,4.2,,"1/1C, Umakanta Sen Ln, Noongola Basti, Paikpara, Kolkata, West Bengal 700030","Noongola Basti, Paikpara",22.6161659,88.3859459,ChIJU1gEqBid-DkRSyt3TfIQVgE,https://www.google.com/maps/place/?q=place_id:ChIJU1gEqBid-DkRSyt3TfIQVgE,part_313,2026-09-20 20:17:02,1880
Vishnupriya Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 94334 24861,N/A,4.8,,"M.C 258, Purba Sinthi Rd, Purba Sinthi, Dum Dum, Kolkata, West Bengal 700030","Jheel Bagan, Purba Sinthi, Dum Dum",22.6249242,88.3950263,ChIJZR1aw-Sd-DkRFVRmFGY6ryM,https://www.google.com/maps/place/?q=place_id:ChIJZR1aw-Sd-DkRFVRmFGY6ryM,part_313,2026-09-20 20:17:02,1881
Partha Medical stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 94333 27333,N/A,3.5,,"27, Seth Bagan Rd, Seth Bagan, Ghughudanga, Dumdum, South Dumdum, West Bengal 700074","Seth Bagan, Ghughudanga, Dumdum",22.618049499999998,88.39560589999999,ChIJD46Y3vud-DkROx4rSUeOZiA,https://www.google.com/maps/place/?q=place_id:ChIJD46Y3vud-DkROx4rSUeOZiA,part_313,2026-09-20 20:17:02,1882
