business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vinco Aluminium Ltd.,Aluminium Fabrication,Manufacturer,Manufacturer,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,https://vincoaluminium.com/,4.3,,"NH16, Khalisani Kalitala, Howrah, West Bengal 711307",711111,22.5062028,88.1321127,ChIJyS61DziHAjoRhR9Hqou4v1g,https://www.google.com/maps/place/?q=place_id:ChIJyS61DziHAjoRhR9Hqou4v1g,part_316,2026-09-20 20:17:28,5743
VISHWAKARMA FABRICATOR,Aluminium Fabrication,Manufacturer,Manufacturer,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98834 32317,https://www.aluminiumladder.org/,5.0,,"36, Jaya Bibi Rd, Belur, Ghusuri, Howrah, West Bengal 711107","Belur, Ghusuri",22.6158985,88.35684909999999,ChIJAQDMP3yd-DkRFwBTGFxH35k,https://www.google.com/maps/place/?q=place_id:ChIJAQDMP3yd-DkRFwBTGFxH35k,part_316,2026-09-20 20:17:28,5744
B. D. Metal & Hardware,Aluminium Fabrication,Metal fabricator,"Metal fabricator, Store",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90380 29147,N/A,4.1,,"Fuleswar, Uluberia, Howrah, West Bengal 711316","Fuleswar, Uluberia",22.4859847,88.10923989999999,ChIJh3_p0ZSGAjoRULVIH9qvnpY,https://www.google.com/maps/place/?q=place_id:ChIJh3_p0ZSGAjoRULVIH9qvnpY,part_316,2026-09-20 20:17:28,5745
Saloni Enterprise,Aluminium Fabrication,Metal fabricator,Metal fabricator,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 82408 11311,https://saloni-enterprise-8kno.vercel.app/,4.9,,"Adarsh Nagar, 53, P.O, Danesh Sk. Lane, Howrah, West Bengal 711109",Mourigram,22.5692318,88.2758137,ChIJW4vyUId5AjoRnxe2aLRK9dk,https://www.google.com/maps/place/?q=place_id:ChIJW4vyUId5AjoRnxe2aLRK9dk,part_316,2026-09-20 20:17:28,5746
Hindalco Industries Limited,Aluminium Fabrication,Metal industry suppliers,Metal industry suppliers,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,http://www.hindalco.com/,4.2,,"39, GT Rd, Belur Math, Liluah, Howrah, West Bengal 711202","Belur Math, Liluah",22.629801999999998,88.35148219999999,ChIJueG9222d-DkR4_-EzFozZVg,https://www.google.com/maps/place/?q=place_id:ChIJueG9222d-DkR4_-EzFozZVg,part_316,2026-09-20 20:17:28,5747
Porel fabricators,Aluminium Fabrication,Metal fabricator,Metal fabricator,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 89104 30015,N/A,,,"Nandi Para Rd, Jagacha, Howrah, West Bengal 711112",Jagacha,22.5856009,88.2926226,ChIJU1zRoRt5AjoRjj0Imqb6vOE,https://www.google.com/maps/place/?q=place_id:ChIJU1zRoRt5AjoRjj0Imqb6vOE,part_316,2026-09-20 20:17:28,5748
Hindustan Aluminium Works,Aluminium Fabrication,Aluminum window,Aluminum window,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98300 29266,N/A,4.0,,"418/3, GT Rd, opposite Canara Bank, Pilkhana, More, Howrah, West Bengal 711101","Pilkhana, More",22.5926303,88.33831169999999,ChIJubGrW1Z3AjoRfa9J_dqbzhk,https://www.google.com/maps/place/?q=place_id:ChIJubGrW1Z3AjoRfa9J_dqbzhk,part_316,2026-09-20 20:17:28,5749
JMT Manufacture,Aluminium Fabrication,Engineering consultant,"Engineering consultant, Manufacturer",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 86375 88236,https://jmtmanufacture.com/,3.0,,"64, Kasundia Rd, Naora, Shibpur, Howrah, West Bengal 711104","Naora, Shibpur",22.5776348,88.314734,ChIJASilsT55AjoRXG9e3y_kw7Y,https://www.google.com/maps/place/?q=place_id:ChIJASilsT55AjoRXG9e3y_kw7Y,part_316,2026-09-20 20:17:28,5750
Jasodha Fabrication Works,Aluminium Fabrication,Manufacturer,"Manufacturer, Oil change service, Painting, Repair service, Steelwork design service, Storage facility, Transportation service, Valet parking service, Welder, Welding supply store",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,https://jasodhafabricationworks.com/,,,"Andul Rd, Mourigram, Howrah, West Bengal 711317",Mourigram,22.5706578,88.26617519999999,ChIJWRPUumN5AjoRuoDsyOZKwNQ,https://www.google.com/maps/place/?q=place_id:ChIJWRPUumN5AjoRuoDsyOZKwNQ,part_316,2026-09-20 20:17:28,5751
Kharagpur Metal,Aluminium Fabrication,Metal fabricator,Metal fabricator,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 80 4873 0477,https://www.kgpmetal-india.com/,4.4,,"H7FH+6QW, Baksara, Howrah, West Bengal 711110",Baksara,22.5731067,88.2794407,ChIJE_GDPPp4AjoR_IluVGLOjsY,https://www.google.com/maps/place/?q=place_id:ChIJE_GDPPp4AjoR_IluVGLOjsY,part_316,2026-09-20 20:17:28,5752
CRESCENT CASTING CORPORATION,Aluminium Fabrication,Metal fabricator,Metal fabricator,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98319 20334,http://crescentcastingcorpn.com/,4.4,,"P-279, Benaras Rd, Kunjapara, Belgachia, Dasnagar, Howrah, West Bengal 711108","Kunjapara, Belgachia, Dasnagar",22.605792599999997,88.31772699999999,ChIJB5xMmAZ4AjoRTYy4fa2plr0,https://www.google.com/maps/place/?q=place_id:ChIJB5xMmAZ4AjoRTYy4fa2plr0,part_316,2026-09-20 20:17:28,5753
P.D.Engineering Works,Aluminium Fabrication,Steel fabricator,Steel fabricator,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,,"Andul Rd, opposite of Paradise Market, near SBI Bank (Chunabhatti Branch, Chunabhatti, Duillya, Howrah, West Bengal 711109","Chunabhatti, Duillya",22.568257799999998,88.2669719,ChIJ-0YR0zd5AjoR4ohzZ4sY484,https://www.google.com/maps/place/?q=place_id:ChIJ-0YR0zd5AjoR4ohzZ4sY484,part_316,2026-09-20 20:17:28,5754
Shriram Warehousing Pvt Ltd,Aluminium Fabrication,Warehouse,Warehouse,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 33 4058 6666,http://www.shriramwarehousing.com/,4.0,,"J8J2+RCC, Chamrail, Howrah, West Bengal 711114",Chamrail,22.6320515,88.3010219,ChIJJ6Dt1eaD-DkRV_-x1EUKpnk,https://www.google.com/maps/place/?q=place_id:ChIJJ6Dt1eaD-DkRV_-x1EUKpnk,part_316,2026-09-20 20:17:28,5755
Shiv Glass & Aluminium Works,Aluminium Fabrication,Metal fabricator,Metal fabricator,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98747 49504,N/A,,,"H7GP+G72, Baksara, Howrah, West Bengal 711110",Baksara,22.5762619,88.2856386,ChIJq952Elh4AjoRekoZeLI1o8E,https://www.google.com/maps/place/?q=place_id:ChIJq952Elh4AjoRekoZeLI1o8E,part_316,2026-09-20 20:17:28,5756
