business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
58AM Marketing Street Private Limited,Telemarketing Firms,BPO Company,"BPO Company, Computer support and services",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 74398 53612,https://58am.co.uk/,4.8,33.0,"21, Andul Rd, Haskhali Pole, Shibpur, Howrah, West Bengal 711109","Haskhali Pole, Shibpur",22.565555399999997,88.2822849,ChIJoXJBkhR5AjoRhio5cxtxJqQ,https://www.google.com/maps/place/?q=place_id:ChIJoXJBkhR5AjoRhio5cxtxJqQ,part_316,2026-09-20 20:17:31,6276
Silfo Advertising Agency,Telemarketing Firms,Advertising agency,Advertising agency,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 94772 06643,https://silfo.in/,5.0,17.0,"LAKE LAND COUNTRY CLUB, Bankra, Howrah, Nibra, West Bengal 711403",Bankra,22.593864099999998,88.2703927,ChIJtTGZaJx5AjoRn3kBVE9JHa4,https://www.google.com/maps/place/?q=place_id:ChIJtTGZaJx5AjoRn3kBVE9JHa4,part_316,2026-09-20 20:17:31,6277
Magnito Advertising,Telemarketing Firms,Advertising agency,Advertising agency,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,2.0,"Podrah Shibtala Rd, Panchpara, Mourigram, Howrah, West Bengal 711109","Panchpara, Mourigram",22.5642252,88.2715728,ChIJQ4OxS4h5AjoRsxFqRI9i7ZQ,https://www.google.com/maps/place/?q=place_id:ChIJQ4OxS4h5AjoRsxFqRI9i7ZQ,part_316,2026-09-20 20:17:31,6278
Vishnu Solutions,Telemarketing Firms,Telephone Marketing Agency,"Telephone Marketing Agency, Call center, BPO Company",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98300 71123,https://www.vishnusolutions.com/,3.5,569.0,"First Floor, Nandi Commercial Building, 14B, Camac St, Elgin, Kolkata, West Bengal 700017",Elgin,22.54213,88.352144,ChIJ65ocT7t3AjoRrSf4lnuot1Y,https://www.google.com/maps/place/?q=place_id:ChIJ65ocT7t3AjoRrSf4lnuot1Y,part_316,2026-09-20 20:17:31,6279
MY.COM,Telemarketing Firms,Marketing consultant,Marketing consultant,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,,,"Santragachi Station Rd, Santragachi, Kolkata, Howrah, West Bengal 711104",Santragachi,22.584077699999998,88.2862907,ChIJ-UCD5Cl5AjoRoFWXAPE-2VY,https://www.google.com/maps/place/?q=place_id:ChIJ-UCD5Cl5AjoRoFWXAPE-2VY,part_316,2026-09-20 20:17:31,6280
DigiBrood,Telemarketing Firms,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Marketing consultant, Web hosting company, Website designer",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 87775 71887,https://digibrood.in/,4.9,223.0,"2nd Floor, 22, Deb Kamini Debi Ln, Ariadaha, Kolkata, West Bengal 700076",Ariadaha,22.6636231,88.35889069999999,ChIJLfV34WWd-DkRfDLdoOMx0CM,https://www.google.com/maps/place/?q=place_id:ChIJLfV34WWd-DkRfDLdoOMx0CM,part_316,2026-09-20 20:17:31,6281
AD INDIA,Telemarketing Firms,Advertising agency,"Advertising agency, Digital printing service, Marketing consultant, Sign shop",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98303 00489,N/A,5.0,2.0,"358/C, Mahiary Jagachha Rd, GIP Colony, Jagacha, Howrah, West Bengal 711112","GIP Colony, Jagacha",22.590075799999997,88.2899893,ChIJg7EhVAB5AjoRsjgK2z2SzcM,https://www.google.com/maps/place/?q=place_id:ChIJg7EhVAB5AjoRsjgK2z2SzcM,part_316,2026-09-20 20:17:31,6282
Mondal Consultancy Firm (Kiran Kumar Mondal),Telemarketing Firms,Website designer,Website designer,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 62916 86505,N/A,4.9,21.0,"Dharsa Harisavatala, West Bengal 711112",Old Jagacha,22.596066099999998,88.29017119999999,ChIJLzkT94Z5AjoRezG9Y4ZUJVE,https://www.google.com/maps/place/?q=place_id:ChIJLzkT94Z5AjoRezG9Y4ZUJVE,part_316,2026-09-20 20:17:31,6283
JP digital solution,Telemarketing Firms,Telephone Marketing Agency,Telephone Marketing Agency,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 33 4605 0897,https://jpdigital.in/,4.5,41.0,"105/A, Roy Mallick Colony, Kundubagan, Ghughudanga, Dum Dum, Kolkata, West Bengal 700074","Roy Mallick Colony, Kundubagan, Ghughudanga, Dum Dum",22.619143599999997,88.396935,ChIJQSHrqfqd-DkRFvJETm5Wyow,https://www.google.com/maps/place/?q=place_id:ChIJQSHrqfqd-DkRFvJETm5Wyow,part_316,2026-09-20 20:17:31,6284
Susovon Rana,Telemarketing Firms,Website designer,Website designer,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 79809 48504,http://srcreativesolution.co.in/,5.0,7.0,"Dhrasha harisovatala, GIP Colony, Old Jagacha, Howrah, West Bengal 711112","GIP Colony, Old Jagacha",22.5945999,88.2902514,ChIJ9SBYr1J5AjoRVt87-hBDNZQ,https://www.google.com/maps/place/?q=place_id:ChIJ9SBYr1J5AjoRVt87-hBDNZQ,part_316,2026-09-20 20:17:31,6285
Genuine Product,Telemarketing Firms,E - Commerce Agency,E - Commerce Agency,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,https://genuineproduct.in/,5.0,1.0,"136, L.M.C Sarani, Baksara, Howrah, West Bengal 711110","L.M.C Sarani, Baksara",22.5814399,88.2869295,ChIJB0Wlrht5AjoRLxm9ali_exk,https://www.google.com/maps/place/?q=place_id:ChIJB0Wlrht5AjoRLxm9ali_exk,part_316,2026-09-20 20:17:31,6286
Tecca Publicity,Telemarketing Firms,Advertising agency,Advertising agency,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98311 95798,N/A,5.0,1.0,"Friends Club Library Rd, opp. of balaka school, Santragachi, Jagacha, Howrah, West Bengal 711112","Santragachi, Jagacha",22.5854438,88.2872831,ChIJN1M8PLh5AjoRoQ29RJl21UA,https://www.google.com/maps/place/?q=place_id:ChIJN1M8PLh5AjoRoQ29RJl21UA,part_316,2026-09-20 20:17:31,6287
Trustlytics Consulting,Telemarketing Firms,Marketing agency,"Marketing agency, Business management consultant, Internet marketing service, Software company, Website designer",711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 70032 61127,https://trustlyticsconsultig.in/,5.0,2.0,"Howrah Amta Rd, Ramrajatala, Howrah, West Bengal 711113",Ramrajatala,22.6019537,88.30067439999999,ChIJ2f0ZRAB5AjoRT9LUsDnLcL0,https://www.google.com/maps/place/?q=place_id:ChIJ2f0ZRAB5AjoRT9LUsDnLcL0,part_316,2026-09-20 20:18:10,10058
