business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kochuveettil Properties,Premium Luxury Real Estate,Real estate agency,Real estate agency,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 98957 26678,https://kochuveettilproperties.com/,4.9,,"1st Floor, Vanajakshi Memorial Building Kuravankonam, Jn, Kowdiar, Thiruvananthapuram, Kerala 695003","Jn, Kowdiar",8.523919099999999,76.95318019999999,ChIJ8b2T14Y6uwURgZk6O5qW1C8,https://www.google.com/maps/place/?q=place_id:ChIJ8b2T14Y6uwURgZk6O5qW1C8,part_311,2026-09-20 20:17:35
Chevron Builders & Realtors,Premium Luxury Real Estate,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Home builder",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 93492 22299,http://www.chevronbuilders.com/,4.1,,"GX9F+483, Sasthamangalam, Thiruvananthapuram, Keralam 695010",Sasthamangalam,8.5177635,76.97328759999999,ChIJD2hCSFm5BTsRKrLBvbD3yKg,https://www.google.com/maps/place/?q=place_id:ChIJD2hCSFm5BTsRKrLBvbD3yKg,part_311,2026-09-20 20:17:35
Asset Taurus Identity,Premium Luxury Real Estate,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Apartment complex, Condominium complex, Corporate office, Home builder",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 99460 99999,http://www.assethomes.in/,4.1,,"P.O, First Floor, Devs Sakura Building, NH 66, Kulathoor, Kazhakkoottam, Keralam 695583",Kulathoor,8.5415893,76.8769567,ChIJEzkzktS7BTsR69qZhylkdw0,https://www.google.com/maps/place/?q=place_id:ChIJEzkzktS7BTsR69qZhylkdw0,part_311,2026-09-20 20:17:35
iCloudHomes - Winds of Change,Premium Luxury Real Estate,Villa,"Villa, Gated community, Housing development",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 81130 11234,https://www.icloudhomes.in/projects/winds-of-change,4.5,,"Aakkulam, Thiruvananthapuram, Keralam 695017",Aakkulam,8.5360329,76.9045822,ChIJTVA5zgG_BTsRpXtoV02eguY,https://www.google.com/maps/place/?q=place_id:ChIJTVA5zgG_BTsRpXtoV02eguY,part_311,2026-09-20 20:17:35
Favourite Homes,Premium Luxury Real Estate,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 471 403 8877,https://www.favouritehomes.com/,4.4,,"TC 82-2336-2, General Hospital Rd, Statue, Thiruvananthapuram, Keralam 695001","Statue, Palayam",8.4989945,76.94537,ChIJy-e8qL67BTsRMArDuymZoVg,https://www.google.com/maps/place/?q=place_id:ChIJy-e8qL67BTsRMArDuymZoVg,part_311,2026-09-20 20:17:35
Asset Vismayam - Asset Homes,Premium Luxury Real Estate,Apartment complex,Apartment complex,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 99460 99999,https://www.assethomes.in/asset-vismayam/,4.7,,"Vellayambalam - Sasthamangalam Rd, Jawahar Nagar, Sasthamangalam, Thiruvananthapuram, Keralam 695010","Jawahar Nagar, Sasthamangalam",8.5128764,76.9704179,ChIJiQ2UnUC7BTsRknCjZrXzOcc,https://www.google.com/maps/place/?q=place_id:ChIJiQ2UnUC7BTsRknCjZrXzOcc,part_311,2026-09-20 20:17:35
Asset Pragathi - Asset Homes,Premium Luxury Real Estate,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 99460 99999,https://www.assethomes.in/asset-pragathi/,4.0,,"Asset Pragathi, AKG Nagar, Peroorkada, Thiruvananthapuram, Keralam 695005","AKG Nagar, Peroorkada",8.5457915,76.9680343,ChIJ3YveLy25BTsRH-cDxxb6pIo,https://www.google.com/maps/place/?q=place_id:ChIJ3YveLy25BTsRH-cDxxb6pIo,part_311,2026-09-20 20:17:35
SI Property Belhaven Grande,Premium Luxury Real Estate,Apartment complex,Apartment complex,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,http://siproperty.in/,4.8,,"27, Belhaven Road, Belhaven Gardens, Kowdiar, Thiruvananthapuram, Keralam 695003","Belhaven Gardens, Kowdiar",8.5183532,76.9584634,ChIJlYgfi267BTsR97ilfoBti4Y,https://www.google.com/maps/place/?q=place_id:ChIJlYgfi267BTsR97ilfoBti4Y,part_311,2026-09-20 20:17:35
Artech Realtors,Premium Luxury Real Estate,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 471 431 8114,https://artechrealtors.com/,4.1,,"Tc. 28, Artech House, 2128, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014","Housing Board, Thycaud",8.4941819,76.9578159,ChIJ6-_sh7G7BTsRXUoRwRg8cOY,https://www.google.com/maps/place/?q=place_id:ChIJ6-_sh7G7BTsRXUoRwRg8cOY,part_311,2026-09-20 20:17:35
Kerala Real Estate,Premium Luxury Real Estate,Industrial real estate agency,Industrial real estate agency,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 70123 23361,https://keralarealestate.co.in/,5.0,,"Freeland Azhangal Gardens, Azhangal Jn, PO, Karumam, Thiruvananthapuram, Keralam 695002","PO, Karumam",8.4667101,76.9720585,ChIJweUZHXa7BTsRhItBv_kAKnQ,https://www.google.com/maps/place/?q=place_id:ChIJweUZHXa7BTsRhItBv_kAKnQ,part_311,2026-09-20 20:17:35
